Rank	EntryId	EntryName	TimeRemaining	Points	Lineup	Contest Size	Contest Format	Buy-in	Notes:	DoubleWinnings
27	807348425	STR8_CASH_HOMIES	0	123.64	TE Travis Kelce WR Ted Ginn Jr. DST Rams  WR Kendall Wright FLEX Zach Ertz RB Le'Veon Bell RB David Johnson WR Rishard Matthews QB Marcus Mariota	62	Triple	$10 		
28	813190189	ehafner	0	122.32	TE Travis Kelce RB James White DST Patriots  FLEX Jason Witten WR Dez Bryant WR Antonio Brown QB Dak Prescott WR Sterling Shepard RB Jordan Howard	62	Triple	$10 		
29	810687209	Makisupa	0	121.98	DST Steelers  WR Brandon Marshall WR Kendall Wright TE Zach Ertz RB Le'Veon Bell RB David Johnson QB Carson Wentz WR Sterling Shepard FLEX Todd Gurley II	62	Triple	$10 		
30	811238657	0123blastoff	0	119.98	WR Ted Ginn Jr. DST Cardinals  WR Larry Fitzgerald TE Zach Ertz RB Le'Veon Bell FLEX Carlos Hyde RB David Johnson WR Rishard Matthews QB Carson Wentz	62	Triple	$10 		
31	810429476	aejones	0	119.54	WR Ted Ginn Jr. DST Rams  WR Brandon Marshall QB Aaron Rodgers WR Kendall Wright TE Zach Ertz RB Le'Veon Bell FLEX Carlos Hyde RB David Johnson	62	Triple	$10 		
31	813140975	Kunu88	0	119.54	WR Ted Ginn Jr. DST Rams  WR Brandon Marshall QB Aaron Rodgers WR Kendall Wright TE Zach Ertz RB Le'Veon Bell FLEX Carlos Hyde RB David Johnson	62	Triple	$10 		
31	813180114	salmonc	0	119.54	WR Ted Ginn Jr. DST Rams  WR Brandon Marshall QB Aaron Rodgers WR Kendall Wright TE Zach Ertz RB Le'Veon Bell FLEX Carlos Hyde RB David Johnson	62	Triple	$10 		
34	812774047	papagates	0	118.94	WR Emmanuel Sanders WR Ted Ginn Jr. DST Raiders  QB Aaron Rodgers WR Larry Fitzgerald TE Zach Ertz RB David Johnson FLEX Todd Gurley II RB Jordan Howard	62	Triple	$10 		
35	810952813	Dustbuc	0	118.48	TE Rob Gronkowski DST Cardinals  RB LeSean McCoy WR Doug Baldwin WR Kendall Wright WR Alshon Jeffery FLEX Lamar Miller QB Carson Wentz RB Todd Gurley II	62	Triple	$10 		
36	812851351	Kylecunn	0	117	FLEX Brandin Cooks DST Steelers  WR Jeremy Maclin RB LeSean McCoy QB Kirk Cousins WR Terrelle Pryor Sr. WR Kevin White TE Evan Engram RB Christian McCaffrey	62	Triple	$10 		
37	813146748	GringoLocopp	0	115.58	WR Tyreek Hill QB Tom Brady RB James White TE Rob Gronkowski DST Bills  WR Jordy Nelson FLEX Shane Vereen WR Terrelle Pryor Sr. RB Jeremy Hill	62	Triple	$10 		
38	812781726	ChipotleAddict	0	115.34	WR Ted Ginn Jr. DST Raiders  WR Brandon Marshall QB Aaron Rodgers WR Larry Fitzgerald TE Zach Ertz RB David Johnson FLEX Todd Gurley II RB Jordan Howard	62	Triple	$10 		
39	807462810	CONDIA	0	114.08	WR Brandon Coleman DST Steelers  WR Brandon Marshall QB Matthew Stafford TE Zach Ertz RB Lamar Miller FLEX Le'Veon Bell RB David Johnson WR Sterling Shepard	62	Triple	$10 		
40	813316163	82Goldtop	0	113.08	QB Tom Brady WR Chris Hogan TE Rob Gronkowski DST Rams  WR Marquise Goodwin FLEX Carlos Hyde RB David Johnson WR Rishard Matthews RB Todd Gurley II	62	Triple	$10 		
41	809894653	hjonesy609	0	112.98	QB Tom Brady RB Adrian Peterson DST Ravens  FLEX Darren Sproles TE Zach Miller WR Jeremy Maclin RB LeSean McCoy WR Doug Baldwin WR Julio Jones	62	Triple	$10 		
42	813347064	H8oraide	0	110.68	RB C.J. Anderson QB Tom Brady DST Steelers  TE Delanie Walker WR Larry Fitzgerald WR Kendall Wright RB Lamar Miller FLEX Le'Veon Bell WR DeAndre Hopkins	62	Triple	$10 		
43	813388907	jojoloveheart	0	110.24	QB Sam Bradford WR Chris Hogan DST 49ers  WR Pierre Garcon FLEX Bilal Powell TE Zach Ertz RB Le'Veon Bell RB David Johnson WR Rishard Matthews	62	Triple	$10 		
44	813285208	Titos	0	109.74	DST Bills  RB Frank Gore QB Aaron Rodgers RB LeSean McCoy WR Julio Jones FLEX Kendall Wright WR T.Y. Hilton TE Zach Ertz WR Jordan Matthews	62	Triple	$10 		
45	811345073	gatoraloha	0	109.38	DST Chargers  WR Michael Crabtree TE Jermaine Gresham RB LeSean McCoy FLEX Doug Baldwin WR Pierre Garcon QB Derek Carr WR Martavis Bryant RB Christian McCaffrey	62	Triple	$10 		
46	812548376	rikkidee	0	108.98	DST Broncos  WR Brandon Marshall WR Kendall Wright TE Zach Ertz RB Le'Veon Bell RB David Johnson QB Carson Wentz WR Sterling Shepard FLEX Todd Gurley II	62	Triple	$10 		
