QB,RB,RB,WR,WR,WR,TE,FLEX,DST,QB Team ,RB Team ,RB Team ,WR Team ,WR Team ,WR Team ,TE Team ,FLEX Team ,DST Team ,QB Salary ,RB Salary ,RB Salary ,WR Salary ,WR Salary ,WR Salary ,TE Salary ,FLEX Salary ,DST Salary ,Projected Value,Scenario,Iteration
Carson Palmer,Jay Ajayi,Tevin Coleman,Antonio Brown,Pierre Garcon,Marvin Jones Jr.,Jimmy Graham,Duke Johnson Jr.,Broncos,ARI,MIA,ATL,PIT,SF,DET,SEA,CLE,DEN,6100,7400,5000,9300,5500,4000,4900,4500,3300,108.31,Scenario2,35
Trevor Siemian,Chris Carson,Mike Gillislee,Brandin Cooks,DeVante Parker,Pierre Garcon,Zach Ertz,Duke Johnson Jr.,Patriots,DEN,SEA,NE,NE,MIA,SF,PHI,CLE,NE,5200,5400,5400,7600,6700,5500,6300,4500,3400,107.87,Scenario2,36
Trevor Siemian,Jay Ajayi,Chris Carson,Antonio Brown,Brandin Cooks,DeSean Jackson,Coby Fleener,Marvin Jones Jr.,Cowboys,DEN,MIA,SEA,PIT,NE,TB,NO,DET,DAL,5200,7400,5400,9300,7600,5200,3400,4000,2500,107.41,Scenario2,37
Matthew Stafford,C.J. Anderson,Tevin Coleman,Jordan Matthews,Antonio Brown,Sammy Watkins,Zach Ertz,Duke Johnson Jr.,Patriots,DET,DEN,ATL,BUF,PIT,LAR,PHI,CLE,NE,6000,5600,5000,3900,9300,5900,6300,4500,3400,106.95,Scenario2,38
Trevor Siemian,Terrance West,Tevin Coleman,Antonio Brown,A.J. Green,Mohamed Sanu,Coby Fleener,Zach Ertz,Broncos,DEN,BAL,ATL,PIT,CIN,ATL,NO,PHI,DEN,5200,4100,5000,9300,8600,4800,3400,6300,3300,106.59,Scenario2,39
Trevor Siemian,Jay Ajayi,Mike Gillislee,Antonio Brown,Sammy Watkins,Willie Snead,Jack Doyle,Sterling Shepard,Patriots,DEN,MIA,NE,PIT,LAR,NO,IND,NYG,NE,5200,7400,5400,9300,5900,5000,3400,5000,3400,106.37,Scenario2,40
Trevor Siemian,Jay Ajayi,C.J. Anderson,Jordan Matthews,A.J. Green,DeVante Parker,Delanie Walker,Kenny Stills,Patriots,DEN,MIA,DEN,BUF,CIN,MIA,TEN,MIA,NE,5200,7400,5600,3900,8600,6700,4900,4300,3400,106.17,Scenario2,41
Matthew Stafford,C.J. Anderson,Mike Gillislee,A.J. Green,DeVante Parker,Sammy Watkins,Jack Doyle,DeSean Jackson,Cardinals,DET,DEN,NE,CIN,MIA,LAR,IND,TB,ARI,6000,5600,5400,8600,6700,5900,3400,5200,3200,105.96,Scenario2,42
Matthew Stafford,Terrance West,Jay Ajayi,A.J. Green,Adam Thielen,Willie Snead,Delanie Walker,Tevin Coleman,Cardinals,DET,BAL,MIA,CIN,MIN,NO,TEN,ATL,ARI,6000,4100,7400,8600,5800,5000,4900,5000,3200,105.66,Scenario2,43
Matthew Stafford,Tevin Coleman,Marshawn Lynch,A.J. Green,Sammy Watkins,Sterling Shepard,Rob Gronkowski,Kenny Stills,Jaguars,DET,ATL,OAK,CIN,LAR,NYG,NE,MIA,JAX,6000,5000,5000,8600,5900,5000,6600,4300,3600,105.3,Scenario2,44
Philip Rivers,C.J. Anderson,Mike Gillislee,DeVante Parker,Adam Thielen,Willie Snead,Rob Gronkowski,Sterling Shepard,Jaguars,LAC,DEN,NE,MIA,MIN,NO,NE,NYG,JAX,6300,5600,5400,6700,5800,5000,6600,5000,3600,104.9,Scenario2,45
Matthew Stafford,Mike Gillislee,Marshawn Lynch,DeVante Parker,Michael Crabtree,Chris Hogan,Rob Gronkowski,Delanie Walker,Falcons,DET,NE,OAK,MIA,OAK,NE,NE,TEN,ATL,6000,5400,5000,6700,6200,6000,6600,4900,3200,104.13,Scenario2,46
Philip Rivers,Carlos Hyde,Marshawn Lynch,Michael Crabtree,Adam Thielen,DeSean Jackson,Rob Gronkowski,Mohamed Sanu,Cardinals,LAC,SF,OAK,OAK,MIN,TB,NE,ATL,ARI,6300,6600,5000,6200,5800,5200,6600,4800,3200,103.09,Scenario2,47
Jay Cutler,Terrance West,Marshawn Lynch,Stefon Diggs,Adam Thielen,Chris Hogan,Rob Gronkowski,Amari Cooper,Jaguars,MIA,BAL,OAK,MIN,MIN,NE,NE,OAK,JAX,5800,4100,5000,7100,5800,6000,6600,6000,3600,102.36,Scenario2,48
Philip Rivers,Carlos Hyde,Marshawn Lynch,Stefon Diggs,Chris Hogan,Willie Snead,Delanie Walker,Sterling Shepard,Seahawks,LAC,SF,OAK,MIN,NE,NO,TEN,NYG,SEA,6300,6600,5000,7100,6000,5000,4900,5000,4100,101.61,Scenario2,49
Jameis Winston,LeGarrette Blount,Carlos Hyde,Stefon Diggs,Michael Crabtree,Adam Thielen,Delanie Walker,Amari Cooper,Falcons,TB,PHI,SF,MIN,OAK,MIN,TEN,OAK,ATL,5900,3900,6600,7100,6200,5800,4900,6000,3200,101.02,Scenario2,50
