QB,RB,RB,WR,WR,WR,TE,FLEX,DST,QB Team ,RB Team ,RB Team ,WR Team ,WR Team ,WR Team ,TE Team ,FLEX Team ,DST Team ,QB Salary ,RB Salary ,RB Salary ,WR Salary ,WR Salary ,WR Salary ,TE Salary ,FLEX Salary ,DST Salary ,Projected Value,Scenario,Iteration
Russell Wilson,Melvin Gordon,Isaiah Crowell,Doug Baldwin,Alshon Jeffery,Emmanuel Sanders,Charles Clay,Tyrell Williams,Bengals,SEA,LAC,CLE,SEA,PHI,DEN,BUF,LAC,CIN,7300,7000,4800,6900,6200,6100,3700,4400,3500,115.53,Scenario1,21
Tom Brady,DeMarco Murray,Isaiah Crowell,Brandin Cooks,Golden Tate,Emmanuel Sanders,Kyle Rudolph,Tyrell Williams,Lions,NE,TEN,CLE,NE,DET,DEN,MIN,LAC,DET,8000,6000,4800,7600,6300,6100,4100,4400,2700,115.08,Scenario1,22
Russell Wilson,DeMarco Murray,Isaiah Crowell,Odell Beckham Jr.,Doug Baldwin,Golden Tate,Coby Fleener,Ted Ginn Jr.,Cowboys,SEA,TEN,CLE,NYG,SEA,DET,NO,NO,DAL,7300,6000,4800,8900,6900,6300,3400,3900,2500,114.74,Scenario1,23
Russell Wilson,Melvin Gordon,Lamar Miller,Keenan Allen,Doug Baldwin,Golden Tate,Jared Cook,Kyle Rudolph,Broncos,SEA,LAC,HOU,LAC,SEA,DET,OAK,MIN,DEN,7300,7000,4500,7200,6900,6300,3400,4100,3300,113.99,Scenario1,24
Tom Brady,Melvin Gordon,Lamar Miller,Brandin Cooks,DeAndre Hopkins,Emmanuel Sanders,Coby Fleener,Ted Ginn Jr.,Vikings,NE,LAC,HOU,NE,HOU,DEN,NO,NO,MIN,8000,7000,4500,7600,6400,6100,3400,3900,3100,113.62,Scenario1,25
Matthew Stafford,Melvin Gordon,Isaiah Crowell,Keenan Allen,Golden Tate,DeAndre Hopkins,Jimmy Graham,Ted Ginn Jr.,Bengals,DET,LAC,CLE,LAC,DET,HOU,SEA,NO,CIN,6000,7000,4800,7200,6300,6400,4900,3900,3500,113.14,Scenario1,26
Tom Brady,Isaiah Crowell,Duke Johnson Jr.,Odell Beckham Jr.,Brandin Cooks,Ted Ginn Jr.,Jimmy Graham,Marvin Jones Jr.,Patriots,NE,CLE,CLE,NYG,NE,NO,SEA,DET,NE,8000,4800,4500,8900,7600,3900,4900,4000,3400,112.49,Scenario1,27
Tom Brady,LeGarrette Blount,Lamar Miller,Odell Beckham Jr.,Keenan Allen,Brandin Cooks,Jesse James,Tyrell Williams,Cowboys,NE,PHI,HOU,NYG,LAC,NE,PIT,LAC,DAL,8000,3900,4500,8900,7200,7600,3000,4400,2500,112.28,Scenario1,28
Tom Brady,Terrance West,Duke Johnson Jr.,Keenan Allen,Brandin Cooks,DeAndre Hopkins,Kyle Rudolph,Rishard Matthews,Cardinals,NE,BAL,CLE,LAC,NE,HOU,MIN,TEN,ARI,8000,4100,4500,7200,7600,6400,4100,4900,3200,111.81,Scenario1,29
Matthew Stafford,Christian McCaffrey,Lamar Miller,Odell Beckham Jr.,Keenan Allen,DeAndre Hopkins,Coby Fleener,Marvin Jones Jr.,Lions,DET,CAR,HOU,NYG,LAC,HOU,NO,DET,DET,6000,6800,4500,8900,7200,6400,3400,4000,2700,111.13,Scenario1,30
Philip Rivers,Le'Veon Bell,Lamar Miller,Odell Beckham Jr.,Pierre Garcon,Rishard Matthews,Coby Fleener,Tyrell Williams,Patriots,LAC,PIT,HOU,NYG,SF,TEN,NO,LAC,NE,6300,8700,4500,8900,5500,4900,3400,4400,3400,110.38,Scenario1,31
Matthew Stafford,Le'Veon Bell,Christian McCaffrey,Pierre Garcon,DeSean Jackson,Tyrell Williams,Zach Ertz,Marvin Jones Jr.,Vikings,DET,PIT,CAR,SF,TB,LAC,PHI,DET,MIN,6000,8700,6800,5500,5200,4400,6300,4000,3100,109.37,Scenario1,32
Matthew Stafford,Le'Veon Bell,Tevin Coleman,Antonio Brown,Rishard Matthews,Marvin Jones Jr.,Jimmy Graham,Duke Johnson Jr.,Lions,DET,PIT,ATL,PIT,TEN,DET,SEA,CLE,DET,6000,8700,5000,9300,4900,4000,4900,4500,2700,108.34,Scenario1,33
Jay Cutler,Le'Veon Bell,Christian McCaffrey,Sammy Watkins,Pierre Garcon,Rishard Matthews,Jimmy Graham,Kenny Stills,Cardinals,MIA,PIT,CAR,LAR,SF,TEN,SEA,MIA,ARI,5800,8700,6800,5900,5500,4900,4900,4300,3200,108.18,Scenario1,34
Blake Bortles,Christian McCaffrey,Chris Carson,Allen Hurns,Antonio Brown,Pierre Garcon,Jimmy Graham,Tevin Coleman,Vikings,JAX,CAR,SEA,JAX,PIT,SF,SEA,ATL,MIN,5300,6800,5400,4700,9300,5500,4900,5000,3100,107.73,Scenario1,35
Carson Palmer,Le'Veon Bell,Christian McCaffrey,DeVante Parker,Rishard Matthews,J.J. Nelson,Coby Fleener,Duke Johnson Jr.,Broncos,ARI,PIT,CAR,MIA,TEN,ARI,NO,CLE,DEN,6100,8700,6800,6700,4900,5600,3400,4500,3300,107.64,Scenario1,36
Matthew Stafford,Jay Ajayi,C.J. Anderson,Antonio Brown,Pierre Garcon,Marvin Jones Jr.,Jack Doyle,Chris Carson,Patriots,DET,MIA,DEN,PIT,SF,DET,IND,SEA,NE,6000,7400,5600,9300,5500,4000,3400,5400,3400,107.44,Scenario1,37
Jay Cutler,Chris Carson,Tevin Coleman,Antonio Brown,Sammy Watkins,Kenny Stills,Zach Ertz,Duke Johnson Jr.,Patriots,MIA,SEA,ATL,PIT,LAR,MIA,PHI,CLE,NE,5800,5400,5000,9300,5900,4300,6300,4500,3400,106.7,Scenario1,38
Jameis Winston,Jay Ajayi,Chris Carson,Jordan Matthews,DeVante Parker,Sammy Watkins,Zach Ertz,DeSean Jackson,Broncos,TB,MIA,SEA,BUF,MIA,LAR,PHI,TB,DEN,5900,7400,5400,3900,6700,5900,6300,5200,3300,106.26,Scenario1,39
