Rank	EntryId	EntryName	TimeRemaining	Points	Lineup	Contest Size	Contest Format	Buy-in	Notes
15	814114035	ChelseaFan96 (5/10)	0	161.68	RB LeSean McCoy WR Kendall Wright FLEX Todd Gurley II DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald WR Pierre Garcon	1149	Double	$1 	"Excludes Thursday, Florida games"
15	814114039	ChelseaFan96 (6/10)	0	161.68	RB LeSean McCoy WR Kendall Wright FLEX Todd Gurley II DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald WR Pierre Garcon	1149	Double	$1 	"Excludes Thursday, Florida games"
15	814118586	ChelseaFan96 (7/10)	0	161.68	RB LeSean McCoy WR Kendall Wright FLEX Todd Gurley II DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald WR Pierre Garcon	1149	Double	$1 	"Excludes Thursday, Florida games"
15	814118588	ChelseaFan96 (8/10)	0	161.68	RB LeSean McCoy WR Kendall Wright FLEX Todd Gurley II DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald WR Pierre Garcon	1149	Double	$1 	"Excludes Thursday, Florida games"
15	814118589	ChelseaFan96 (9/10)	0	161.68	RB LeSean McCoy WR Kendall Wright FLEX Todd Gurley II DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald WR Pierre Garcon	1149	Double	$1 	"Excludes Thursday, Florida games"
15	814118693	ChelseaFan96 (10/10)	0	161.68	RB LeSean McCoy WR Kendall Wright FLEX Todd Gurley II DST Rams  QB Carson Wentz TE Zach Ertz RB David Johnson WR Larry Fitzgerald WR Pierre Garcon	1149	Double	$1 	"Excludes Thursday, Florida games"
30	811514723	irishpatty	0	161.4	RB Ezekiel Elliott WR Amari Cooper FLEX Todd Gurley II WR Cooper Kupp DST Rams  TE Zach Ertz QB Kirk Cousins WR Terrelle Pryor Sr. RB Christian McCaffrey	1149	Double	$1 	"Excludes Thursday, Florida games"
31	810916216	DocterDrew (1/3)	0	161.24	RB LeSean McCoy FLEX Jason Witten QB Marcus Mariota WR Amari Cooper DST Rams  TE Zach Ertz WR Larry Fitzgerald RB Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
31	810921527	DocterDrew (2/3)	0	161.24	RB LeSean McCoy FLEX Jason Witten QB Marcus Mariota WR Amari Cooper DST Rams  TE Zach Ertz WR Larry Fitzgerald RB Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
31	810921560	DocterDrew (3/3)	0	161.24	RB LeSean McCoy FLEX Jason Witten QB Marcus Mariota WR Amari Cooper DST Rams  TE Zach Ertz WR Larry Fitzgerald RB Carlos Hyde WR Doug Baldwin	1149	Double	$1 	"Excludes Thursday, Florida games"
34	810616201	jasongovert (1/6)	0	160.14	FLEX LeSean McCoy QB Marcus Mariota TE Delanie Walker WR Amari Cooper RB Todd Gurley II DST Rams  WR Larry Fitzgerald RB Carlos Hyde WR Paul Richardson	1149	Double	$1 	"Excludes Thursday, Florida games"
