Id,Name,Position,teamAbbrev,Salary,AvgPointsPerGame,Actual,Override,Alerts
71585,De'Anthony Thomas,WR,KC,3000,0,0,0,PlayerMatchupIsGood:1
71586,Kellen Moore,QB,DAL,4000,0,0,0,PlayerMatchupIsHorribad:2
71589,Giants ,DST,NYG,3400,6.2,5,0,ExpectedStarter:1|PlayerMatchupIsBad:1
71599,Rhett Ellison,TE,NYG,2500,0,4.1,0,ThumbUp:1
71605,Cooper Kupp,WR,LAR,4100,14.5,6.3,0,ExpectedStarter:1|PlayerMatchupIsBad:1
71606,Rob Gronkowski,TE,NE,6900,19.91,26.6,0,ExpectedStarter:1|VegasGood:1|StarGood:1
71607,Tyler Higbee,TE,LAR,2600,3.16,0,0,ExpectedStarter:1|PlayerMatchupIsGreat:1|PlayerMatchupIsHorribad:1
71623,Patriots ,DST,NE,2500,7.04,2,0,ExpectedStarter:1|PlayerMatchupIsBad:1
71627,Antonio Brown,WR,PIT,9400,22.91,11.2,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|OptimalPick:1|VegasGood:1
71634,Carlos Hyde,RB,SF,4900,13.62,20.3,0,ExpectedStarter:1|PlayerMatchupIsBad:1|VegasBad:1|StarBad:1
71638,Marqise Lee,WR,JAX,3800,11.08,14.6,0,ExpectedStarter:1|PlayerMatchupIsGood:1|StarGood:1
71639,Browns ,DST,CLE,2400,3.31,6,0,ExpectedStarter:1|PlayerMatchupIsBad:1|PlayerMatchupIsGood:1
71640,Bears ,DST,CHI,2200,4.83,4,0,ExpectedStarter:1|PlayerMatchupIsGood:1
71657,Dak Prescott,QB,DAL,5600,14.59,17.92,0,ExpectedStarter:1|PlayerMatchupIsHorribad:2|StarBad:1
71670,TJ Jones,WR,DET,3000,0,0,0,PlayerMatchupIsBad:1
71673,Anthony Sherman,RB,KC,3000,0,0,0,PlayerMatchupIsBad:1
71674,Cowboys ,DST,DAL,2600,6.74,2,0,ExpectedStarter:1|PlayerMatchupIsBad:1
71677,Thomas Rawls,RB,SEA,4600,8.51,0.4,0,ExpectedStarter:1|PlayerMatchupIsGreat:2|Injured:1|ThumbUp:1|VegasGood:1|StarGood:1
71678,Willie Snead,WR,NO,4500,0,0,0,PlayerMatchupIsBad:1|Injured:1
71681,John Brown,WR,ARI,5000,0,0,0,Injured:1
71687,Brice Butler,WR,DAL,3000,0,2.8,0,PlayerMatchupIsHorribad:2
71688,Sean Culkin,TE,LAC,2500,0,0,0,PlayerMatchupIsGood:2
71693,Jonnu Smith,TE,TEN,2500,0,11,0,
71697,Chester Rogers,WR,IND,3000,0,0,0,PlayerMatchupIsGood:2|Injured:1
71701,Danny Woodhead,RB,BAL,4500,0,0,0,PlayerMatchupIsGreat:2|Injured:1
71706,Tyrell Williams,WR,LAC,4700,14.21,9.4,0,ExpectedStarter:1|PlayerIsHot:1|VegasGood:1
71712,Alvin Kamara,RB,NO,3500,10.27,8.4,0,ExpectedStarter:1|PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1
71718,Dez Bryant,WR,DAL,6600,9.89,18.9,0,ExpectedStarter:1|PlayerMatchupIsHorribad:2|ThumbDown:1|StarBad:1|VegasGood:1
71730,Austin Ekeler,RB,LAC,3000,0,0,0,PlayerMatchupIsGood:1|PlayerMatchupIsBad:1
71731,Brian Quick,WR,WAS,3000,0,0,0,PlayerMatchupIsGood:1
71732,Joshua Dobbs,QB,PIT,4000,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1
71746,Leonard Fournette,RB,JAX,6500,17.18,14.1,0,ExpectedStarter:1|PlayerMatchupIsBad:2
71748,Jake Rudock,QB,DET,4200,0,0,0,PlayerMatchupIsGood:1|PlayerMatchupIsHorribad:1
71749,Eric Ebron,TE,DET,3000,10.34,15.2,0,ExpectedStarter:1|PlayerMatchupIsGreat:1|PlayerMatchupIsBad:1|VegasBad:1
71754,AJ McCarron,QB,CIN,4700,0,0,0,PlayerMatchupIsHorribad:2
71755,Chris Manhertz,TE,CAR,2500,0,0,0,PlayerMatchupIsHorribad:1
71763,Delanie Walker,TE,TEN,4700,14.37,16.2,0,ExpectedStarter:1|PlayerIsHot:2|ThumbUp:1
71773,Allen Hurns,WR,JAX,3900,12.54,20.1,0,ExpectedStarter:1|PlayerMatchupIsGood:1|StarBad:1|VegasGood:1
71774,Scott Tolzien,QB,IND,4300,0,0,0,PlayerMatchupIsBad:1
71779,Markus Wheaton,WR,CHI,3500,0,0,0,Injured:1
71782,James Develin,RB,NE,3000,0,1.6,0,PlayerMatchupIsGood:1
71783,Emmanuel Sanders,WR,DEN,5200,14.74,24.2,0,ExpectedStarter:1|PlayerMatchupIsBad:1
71787,Devontae Booker,RB,DEN,3500,0,0,0,PlayerMatchupIsHorribad:1|Injured:1
71791,Ty Montgomery,RB,GB,5800,17.27,29,0,ExpectedStarter:1|PlayerMatchupIsBad:1|PlayerMatchupIsGood:1
71792,Demarcus Robinson,WR,KC,3000,0,0,0,PlayerMatchupIsGood:1
71798,Kyle Juszczyk,RB,SF,3000,0,0,0,PlayerMatchupIsBad:1
71799,Tommylee Lewis,WR,NO,3000,0,2.6,0,PlayerMatchupIsBad:1
71800,Victor Bolden Jr.,WR,SF,3000,0,0,0,
71802,Austin Davis,QB,SEA,4300,0,0,0,PlayerMatchupIsGreat:1
71803,Cody Kessler,QB,CLE,4200,0,0,0,PlayerMatchupIsGreat:1
71804,Brent Celek,TE,PHI,2500,0,0,0,PlayerMatchupIsHorribad:1
71806,Jay Prosch,RB,HOU,3000,0,0,0,
71810,Josh Bellamy,WR,CHI,3000,9.21,9.1,0,ExpectedStarter:1|ThumbDown:1|StarBad:1
71812,Tommy Bohanon,RB,JAX,3000,0,0,0,PlayerMatchupIsBad:2
71813,Adam Thielen,WR,MIN,5000,12.71,8.5,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|PlayerIsHot:1|OptimalPick:1|VegasGood:1
71819,Jameis Winston,QB,TB,6300,19.91,12.46,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1
71826,Aaron Ripkowski,RB,GB,3000,0,1.2,0,PlayerMatchupIsBad:1|PlayerMatchupIsGood:1
71827,Ben Roethlisberger,QB,PIT,6700,22.52,17.52,0,ExpectedStarter:1|PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1|StarGood:1
71836,Bruce Ellington,WR,HOU,3300,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
71841,Chris Carson,RB,SEA,4100,8.12,11,0,ExpectedStarter:1|PlayerMatchupIsGreat:2
71842,James White,RB,NE,4000,12.18,17.6,0,ExpectedStarter:1|PlayerMatchupIsGood:1
71843,Jordan Leggett,TE,NYJ,2500,0,0,0,PlayerMatchupIsGreat:1|Injured:1
71851,Cooper Rush,QB,DAL,4500,0,0,0,PlayerMatchupIsHorribad:2
71857,Adrian Peterson,RB,NO,4700,0,2.6,0,PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1
71863,DeVante Parker,WR,MIA,5400,14.58,12.5,0,ExpectedStarter:1|PlayerMatchupIsBad:1|ThumbUp:1|VegasGood:1|StarGood:1
71873,LeGarrette Blount,RB,PHI,4400,12.37,1,0,ExpectedStarter:1
71874,Jarvis Landry,WR,MIA,5500,14.84,20.1,0,ExpectedStarter:1|PlayerMatchupIsBad:1|ThumbDown:1
