Id,Name,Position,teamAbbrev,Salary,AvgPointsPerGame,Actual,Override,Alerts
76774,Chris Hogan,WR,NE,6000,13.94,17,0,ExpectedStarter:1|PlayerMatchupIsGood:1|PlayerIsHot:2|VegasBad:1
76775,Terrance West,RB,BAL,4100,10.15,-0.7,0,ExpectedStarter:1|PlayerMatchupIsGood:1|ThumbDown:1
76776,Patriots ,DST,NE,3400,6.59,5,0,ExpectedStarter:1|PlayerMatchupIsGood:1
76780,A.J. Green,WR,CIN,8600,23.38,17.3,0,ExpectedStarter:1|PlayerIsHot:1|ThumbUp:1|StarGood:1|VegasBad:1
76781,Tanner McEvoy,WR,SEA,3000,0,0,0,
76782,Jake Rudock,QB,DET,4200,0,0,0,PlayerMatchupIsBad:2
76783,Eric Ebron,TE,DET,3100,9.08,4.7,0,ExpectedStarter:1|ThumbUp:1|StarGood:1|VegasBad:1
76784,Ravens ,DST,BAL,3000,7.23,3,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1
76790,Walter Powell,WR,BUF,3000,0,0,0,Injured:1
76797,Rashard Higgins,WR,CLE,4500,7.69,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
76801,James White,RB,NE,5000,11.54,15.4,0,ExpectedStarter:1|PlayerMatchupIsBad:2
76802,Chiefs ,DST,KC,3100,8.41,3,0,ExpectedStarter:1|PlayerMatchupIsBad:2
76806,Delanie Walker,TE,TEN,4900,11.4,8.1,0,ExpectedStarter:1|PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1|ThumbDown:1
76807,Jack Doyle,TE,IND,3400,8.53,7.7,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|VegasGood:1
76814,Brandon Allen,QB,LAR,4000,0,0,0,PlayerMatchupIsGood:1
76819,Colt McCoy,QB,WAS,4700,0,0,0,PlayerMatchupIsGood:1|PlayerMatchupIsBad:1
76820,Travis Kelce,TE,KC,6000,16.64,27.4,0,ExpectedStarter:1|PlayerMatchupIsGreat:1|PlayerMatchupIsBad:1|StarGood:1
76824,J.J. Nelson,WR,ARI,5600,13.17,6.4,0,ExpectedStarter:1|PlayerMatchupIsGood:1|ThumbDown:2|StarBad:1
76825,Latavius Murray,RB,MIN,3200,0,4.9,0,PlayerMatchupIsBad:1
76831,Alex Smith,QB,KC,6300,16.08,27.32,0,ExpectedStarter:1|PlayerMatchupIsBad:1
76835,Darius Jennings,WR,TEN,3000,0,0,0,PlayerMatchupIsHorribad:1
76836,Cardinals ,DST,ARI,3200,8.68,6,0,ExpectedStarter:1|PlayerMatchupIsGreat:1|PlayerMatchupIsBad:1
76840,Jeff Heuerman,TE,DEN,2500,0,0,0,
