Id,Name,Position,teamAbbrev,Salary,AvgPointsPerGame,Actual,Override,Alerts
79594,Ameer Abdullah,RB,DET,4700,10.59,4.4,0,ExpectedStarter:1|PlayerMatchupIsBad:2|ThumbUp:1|StarBad:1
79595,Danny Woodhead,RB,BAL,3800,0,0,0,Injured:1
79599,Antonio Brown,WR,PIT,8400,21.17,28.7,0,ExpectedStarter:1|PlayerMatchupIsHorribad:2|PlayerIsHot:1|VegasGood:1
79602,Phillip Supernaw,TE,TEN,2500,0,9.6,0,PlayerMatchupIsGood:2
79606,Travis Kelce,TE,KC,6000,14.99,17.8,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|ThumbUp:1|StarBad:1|VegasBad:1
79610,Quan Bray,WR,IND,3000,0,0,0,PlayerMatchupIsGood:1
79611,C.J. Beathard,QB,SF,4200,0,0,0,PlayerMatchupIsGreat:2
79616,Cowboys ,DST,DAL,2100,4.17,3,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1
79621,Giants ,DST,NYG,3600,7.35,2,0,ExpectedStarter:1|PlayerMatchupIsGreat:1
79626,Kenjon Barner,RB,PHI,3000,3.96,2.3,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|StarBad:1
79627,T.Y. Hilton,WR,IND,6000,16.38,27.7,0,ExpectedStarter:1|PlayerMatchupIsGood:1|PlayerIsHot:1|VegasGood:1
79628,Tom Brady,QB,NE,8000,27.13,17.62,0,ExpectedStarter:1|PlayerMatchupIsGood:1|PlayerMatchupIsBad:1
79633,Damiere Byrd,WR,CAR,3000,0,0,0,Injured:1
79634,Tom Savage,QB,HOU,4300,0,0,0,PlayerMatchupIsGood:1|PlayerMatchupIsHorribad:1
79644,Keenan Allen,WR,LAC,7200,17.16,10.7,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|PlayerIsHot:1|VegasBad:1
79654,Beau Brinkley,TE,TEN,2500,0,0,0,PlayerMatchupIsGood:2
79658,Branden Oliver,RB,LAC,4100,0,0,0,Injured:1
79659,Vikings ,DST,MIN,3700,7.67,6,0,ExpectedStarter:1|PlayerMatchupIsBad:1|PlayerMatchupIsGreat:1
79666,Adam Humphries,WR,TB,3300,11.21,8.1,0,ExpectedStarter:1|VegasBad:2
79667,Jacoby Brissett,QB,IND,5600,15.37,21.96,0,ExpectedStarter:1|PlayerMatchupIsGreat:1
79668,Tyler Eifert,TE,CIN,3700,0,0,0,PlayerMatchupIsHorribad:1|Injured:1|ThumbDown:1
79673,Luke Willson,TE,SEA,2700,5.46,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
79675,Akeem Hunt,RB,KC,3000,0,0,0,PlayerMatchupIsBad:2
79677,Chris Thompson,WR,HOU,3000,0,2.9,0,
79678,Marcedes Lewis,TE,JAX,2800,4.57,2.4,0,ExpectedStarter:1|PlayerIsHot:1|VegasGood:1|StarBad:1
79699,Alfred Morris,RB,DAL,5000,3.08,1,0,ExpectedStarter:1|ThumbDown:1|VegasGood:1
79700,Bruce Ellington,WR,HOU,3600,3.25,5,0,ExpectedStarter:1|StarBad:1
79701,Cody Kessler,QB,CLE,4000,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsGreat:1
79705,Chad Williams,WR,ARI,3000,0,0,0,PlayerMatchupIsGreat:1|PlayerMatchupIsGood:1
79706,Davis Webb,QB,NYG,4000,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1
79711,ArDarius Stewart,WR,NYJ,3000,0,1.2,0,
79718,Evan Engram,TE,NYG,4000,9.92,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerIsHot:1|VegasGood:1
79724,David Fluellen,RB,TEN,3000,0,0,0,
79725,Eli Manning,QB,NYG,6100,19.42,15,0,ExpectedStarter:1|PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1|VegasGood:1
79726,Blaine Gabbert,QB,ARI,4300,0,0,0,PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1
79734,Joe Webb,QB,BUF,4000,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1
79737,Erik Swoope,TE,IND,2600,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1|Injured:1
79744,Chris Hogan,WR,NE,6100,12.69,21.4,0,ExpectedStarter:1|PlayerMatchupIsGood:1|PlayerIsHot:2|VegasGood:1|StarBad:1
79749,Raheem Mostert,RB,SF,3000,0,0.3,0,PlayerMatchupIsGood:1
79750,Jimmy Garoppolo,QB,NE,5500,0,0,0,PlayerMatchupIsGood:1|PlayerMatchupIsBad:1
79751,Panthers ,DST,CAR,2500,5.74,8,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1
79756,Michael Crabtree,WR,OAK,6400,11.64,20.2,0,ExpectedStarter:1|Injured:1|StarGood:1
79757,Josh Reynolds,WR,LAR,3000,0,0,0,
79758,Landry Jones,QB,PIT,4500,0,0,0,PlayerMatchupIsHorribad:2
79771,Case Keenum,QB,MIN,5100,0,11.8,0,
79776,Malcolm Brown,RB,LAR,3900,0,4.9,0,
79777,Drew Stanton,QB,ARI,4000,0,0,0,PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1
79781,Tyreek Hill,WR,KC,6700,14.96,16.8,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerIsHot:1|StarGood:1
79782,Nick Vannett,TE,SEA,2500,0,2.3,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
79786,C.J. Prosise,RB,SEA,4000,0,0,0,Injured:1
79793,Allen Hurns,WR,JAX,4700,13.02,4.1,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|PlayerIsHot:1|StarBad:1
79813,Donte Moncrief,WR,IND,3900,10.43,6.2,0,ExpectedStarter:1|PlayerMatchupIsGood:1
79817,Melvin Gordon,RB,LAC,6000,15.61,37.3,0,ExpectedStarter:1|StarBad:1|VegasBad:1
79820,Dwayne Washington,RB,DET,3800,0,0,0,PlayerMatchupIsBad:2|Injured:1
79821,Brittan Golden,WR,ARI,3000,0,0,0,PlayerMatchupIsGreat:1|PlayerMatchupIsGood:1
79826,Derek Anderson,QB,CAR,5400,0,0,0,
79830,De'Anthony Thomas,WR,KC,3000,0,8,0,PlayerMatchupIsHorribad:1
79832,Kaelin Clay,WR,BUF,3000,2.2,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
79839,Kenny Britt,WR,CLE,4300,0,0,0,PlayerMatchupIsHorribad:1|Injured:1
79843,Jaelen Strong,WR,JAX,3500,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|Injured:1
79848,Ricky Seals-Jones,TE,ARI,2500,0,0,0,PlayerMatchupIsHorribad:1
79855,Marcus Mariota,QB,TEN,6400,0,0,0,PlayerMatchupIsGreat:1|Injured:1
79858,Terrance West,RB,BAL,4000,7.32,1.7,0,ExpectedStarter:1|VegasBad:1
79859,Darrell Daniels,TE,IND,2500,0,2.3,0,PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1
79860,Xavier Grimble,TE,PIT,2500,0,0,0,
79861,Tyler Ott,TE,SEA,2500,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
79864,Roger Lewis,WR,NYG,3000,0,9.9,0,
