Id,Name,Position,teamAbbrev,Salary,AvgPointsPerGame,Actual,Override,Alerts
66176,Nate Iese,TE,CLE,2500,0,0,0,PlayerMatchupIsGood:1
66177,Malcolm Brown,RB,LAR,3900,0,7.6,0,PlayerMatchupIsGood:1
66178,Max McCaffrey,WR,GB,3000,0,0,0,PlayerMatchupIsBad:1
66179,Kendrick Bourne,WR,SF,3000,0,0,0,PlayerMatchupIsGood:1
66180,Colby Pearson,WR,GB,3000,0,0,0,PlayerMatchupIsBad:1
66181,Kevin White,WR,CHI,4200,11.04,2.6,0,ExpectedStarter:1
66182,Doug Baldwin,WR,SEA,6700,18.47,10,0,ExpectedStarter:1|PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1|PlayerIsHot:1|VegasBad:1
66183,Jamison Crowder,WR,WAS,5600,14.26,3.4,0,ExpectedStarter:1|PlayerMatchupIsGood:1|VegasGood:1
66184,Darrius Heyward-Bey,WR,PIT,3000,0,0,0,PlayerMatchupIsGood:1
66185,Trevor Davis,WR,GB,3000,0,0,0,PlayerMatchupIsBad:1
66186,Darren Fells,TE,DET,2500,0,0,0,PlayerMatchupIsHorribad:2
66187,Kellen Moore,QB,DAL,4400,0,0,0,PlayerMatchupIsGood:1|PlayerMatchupIsHorribad:1
66188,Johnny Mundt,TE,LAR,2500,0,0,0,PlayerMatchupIsGreat:1|Injured:1
66189,Cedric O'Neal,RB,BUF,3000,0,0,0,
66190,LeGarrette Blount,RB,PHI,4500,8.47,11.7,0,ExpectedStarter:1|PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1|VegasGood:1
66191,Alfred Blue,RB,HOU,4200,0,0,0,
66192,Andy Jones,WR,DAL,3000,0,0,0,PlayerMatchupIsBad:1
66193,EJ Manuel,QB,OAK,4000,0,0,0,PlayerMatchupIsGreat:1
66194,Matt Cassel,QB,TEN,4500,0,0,0,PlayerMatchupIsGood:2
66195,Cooper Rush,QB,DAL,4000,0,0,0,PlayerMatchupIsGood:1|PlayerMatchupIsHorribad:1
66196,Brock Osweiler,QB,CLE,4500,0,0,0,PlayerMatchupIsHorribad:1
66197,Jason Croom,TE,BUF,2500,0,0,0,PlayerMatchupIsGood:1
66198,Bears ,DST,CHI,2200,4.74,2,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1
66199,Victor Bolden Jr.,WR,SF,3000,0,0,0,PlayerMatchupIsGood:1
66200,Delanie Walker,TE,TEN,4300,12.54,14.6,0,ExpectedStarter:1|PlayerMatchupIsGreat:1|PlayerIsHot:2|VegasGood:1
66201,Corey Grant,RB,JAX,3000,0,0,0,PlayerMatchupIsBad:1
66202,Trevor Knight,QB,ARI,4000,0,0,0,PlayerMatchupIsGreat:1
66203,Eric Tomlinson,TE,NYJ,2500,0,4.5,0,PlayerMatchupIsHorribad:1
66204,Brice Butler,WR,DAL,3000,0,4,0,PlayerMatchupIsBad:1|ThumbDown:1
66205,C.J. Germany,WR,LAR,3000,0,0,0,
66206,Xavier Grimble,TE,PIT,2500,0,0,0,PlayerMatchupIsGreat:2
66207,Theo Riddick,RB,DET,4700,12.4,14.6,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|VegasGood:1
66208,Larry Fitzgerald,WR,ARI,5900,15.4,13.4,0,ExpectedStarter:1|PlayerMatchupIsGood:1|StarBad:1
66209,Jaguars ,DST,JAX,3700,6.41,28,0,ExpectedStarter:1
66210,Adam Zaruba,TE,PHI,2500,0,0,0,PlayerMatchupIsGreat:1|PlayerMatchupIsHorribad:1
66211,Cameron Meredith,WR,CHI,5000,0,0,0,Injured:1|PlayerIsHot:1|ThumbDown:1
66212,Mike Glennon,QB,CHI,4900,14.9,12.52,0,ExpectedStarter:1|PlayerMatchupIsGreat:2
66213,Deshaun Watson,QB,HOU,4800,0,7.68,0,PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1
66214,Dolphins ,DST,MIA,2800,0,0,0,ExpectedStarter:1|PlayerMatchupIsGood:1
66215,Brandon Tate,WR,BUF,3000,0,0,0,ThumbDown:1
66216,Kenny Lawler Jr.,WR,SEA,3000,0,0,0,PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1
66217,Tevin Coleman,RB,ATL,5400,13.79,9.8,0,ExpectedStarter:1|PlayerMatchupIsGood:1
66218,JuJu Smith-Schuster,WR,PIT,3600,0,0,0,PlayerMatchupIsGood:1
66219,Elijah McGuire,RB,NYJ,3500,0,0,0,PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1
66220,Troy Niklas,TE,ARI,2500,0,0,0,PlayerMatchupIsGood:1
66221,Brandon Shippen,WR,LAR,3000,0,0,0,
66222,RaShaun Allen,TE,HOU,2500,0,0,0,PlayerMatchupIsBad:1|Injured:1
66223,Tyler Ervin,RB,HOU,3000,0,6.6,0,
66224,Kalif Phillips,RB,GB,3000,0,0,0,PlayerMatchupIsBad:1
66225,Chris Thompson,WR,HOU,3000,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
66226,Randall Cobb,WR,GB,5300,10.91,17.5,0,ExpectedStarter:1|PlayerMatchupIsBad:1|ThumbUp:1|VegasBad:2|StarGood:1
66227,Tyler Renew,RB,ATL,3000,0,0,0,PlayerMatchupIsGood:1
66228,Gabe Marks,WR,NYJ,3000,0,0,0,
66229,Byron Marshall,RB,PHI,3000,0,0,0,PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1
66230,Kelvin Taylor,RB,ATL,3000,0,0,0,PlayerMatchupIsGood:1
66231,Alex Armah,RB,CAR,3000,0,0,0,PlayerMatchupIsGreat:2
66232,Greg Olsen,TE,CAR,6200,14.97,3.8,0,ExpectedStarter:1
66233,David Fales,QB,MIA,4000,0,0,0,PlayerMatchupIsGood:1|WindHurting:1
66234,Daniel Braverman,WR,CHI,3000,0,0,0,
66235,Curtis Samuel,WR,CAR,3600,0,0,0,PlayerMatchupIsGood:1
66236,Ishmael Zamora,WR,OAK,3000,0,0,0,PlayerMatchupIsGood:1
66237,Stephen Morris,QB,IND,4000,0,0,0,PlayerMatchupIsGreat:1
66238,Dede Westbrook,WR,JAX,3000,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
66239,Devonta Freeman,RB,ATL,7000,19.16,11.9,0,ExpectedStarter:1|PlayerMatchupIsGood:1|ThumbDown:1|StarBad:1
66240,Josh McCown,QB,NYJ,4600,14.72,11.48,0,ExpectedStarter:1|PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1|VegasBad:2
66241,Mario Alford,WR,CLE,3000,0,0,0,PlayerMatchupIsBad:1
66242,Paul Perkins,RB,NYG,4300,7.3,4.5,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|VegasGood:1
66243,Shane Vereen,RB,NYG,3800,6.53,14.2,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|ThumbDown:1
66244,Ryan O'Malley,TE,OAK,2500,0,0,0,
66245,Orleans Darkwa,RB,NYG,3100,0,2.3,0,PlayerMatchupIsHorribad:1|ThumbUp:1
66246,Rashad Jennings,RB,NYG,3000,0,0,0,PlayerMatchupIsHorribad:1|ThumbDown:1
66247,Tavon Austin,WR,LAR,3800,9.58,1.8,0,ExpectedStarter:1
66248,Karel Hamilton,WR,CIN,3000,0,0,0,PlayerMatchupIsGood:1
66249,Geno Smith,QB,NYG,4800,0,0,0,PlayerMatchupIsGood:1
66250,TJ Jones,WR,DET,3000,0,5.2,0,PlayerMatchupIsGood:1
66251,Levine Toilolo,TE,ATL,2500,0,0,0,PlayerMatchupIsBad:1
66252,Kyle Juszczyk,RB,SF,3000,0,3.7,0,PlayerMatchupIsBad:1
66253,Michael Burton,RB,CHI,3000,0,0.7,0,PlayerMatchupIsBad:1
