Id,Name,Position,Team,Salary,Projected,Scored,Override,Alerts
84719,Vince Mayle,TE,BAL,2500,0,0,0,PlayerMatchupIsHorribad:1
84724,Landry Jones,QB,PIT,4500,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1
84729,Derek Carrier,TE,LAR,2500,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
84734,Paul Perkins,RB,NYG,3300,0,0,0,Injured:1
84738,Taiwan Jones,RB,BUF,3000,0,0,0,
84739,Ifeanyi Momah,TE,ARI,2500,0,0,0,PlayerMatchupIsHorribad:1
84740,Jaguars ,DST,JAX,3700,8.96,0,0,ExpectedStarter:1|ThumbUp:1
84748,Antonio Brown,WR,PIT,8900,19.34,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|PlayerIsHot:1|OptimalPick:1|ThumbDown:1
84749,Rodney Adams,WR,MIN,3000,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
84750,Cody Kessler,QB,CLE,4000,0,0,0,PlayerMatchupIsGreat:2
84753,Jacob Hollister,TE,NE,2500,0,0,0,PlayerMatchupIsGood:1|PlayerMatchupIsHorribad:1
84765,C.J. Prosise,RB,SEA,4100,0,0,0,PlayerMatchupIsBad:1
84770,Dwayne Allen,TE,NE,2700,3.4,0,0,ExpectedStarter:1|PlayerMatchupIsGood:1|PlayerMatchupIsHorribad:1|VegasBad:1|StarBad:1
84778,Chris Ivory,RB,JAX,4800,9.16,0,0,ExpectedStarter:1|StarBad:1|VegasGood:1
84779,Lee Smith,TE,OAK,2500,0,0,0,PlayerMatchupIsHorribad:1
84785,Anthony Sherman,RB,KC,3000,0,0,0,ThumbUp:1
84786,Elijhaa Penny,RB,ARI,3000,0,0,0,
84790,Travaris Cadet,RB,NYJ,3000,0,0,0,
84795,Brock Osweiler,QB,DEN,4100,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1
84798,Mark Ingram,RB,NO,6700,14.06,0,0,ExpectedStarter:1|OptimalPick:1|VegasGood:1|StarBad:1
84799,Andre Holmes,WR,BUF,3400,3.86,0,0,ExpectedStarter:1|PlayerMatchupIsGood:1|StarGood:1
84808,Malcolm Mitchell,WR,NE,3600,0,0,0,Injured:1
84810,Niles Paul,TE,WAS,2500,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
84818,Andre Williams,RB,LAC,3000,0,0,0,PlayerMatchupIsHorribad:1
84826,Adrian Peterson,RB,ARI,5800,11.91,0,0,ExpectedStarter:1|OptimalPick:1|VegasBad:1|StarBad:1
84833,DeAndre Washington,RB,OAK,3700,0,0,0,
