player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median,New Projections,,Week,Name,Pos,DK points,New Predicted,Average Projection
Orson Charles,TE,0.12,0.2,-0.29,0.52,0.47,0,#N/A,,,,,,,
Temarrick Hemingway,TE,0.11,0.16,-0.2,0.42,0.24,0,#N/A,,,,,,,
Brian Parker,TE,0,0,0,0,,0,#N/A,,,,,,,
Asante Cleveland,TE,0,0,0,0,,0,#N/A,,,,,,,
Nic Jacobs,TE,0,0,0,0,,0,#N/A,,,,,,,
Chase Coffman,TE,0,0,0,0,,0,#N/A,,,,,,,
Jerome Cunningham,TE,0,0,0,0,,0,#N/A,,,,,,,
Mitchell Henry,TE,0,0,0,0,,0,#N/A,,,,,,,
Rob Housler,TE,0,0,0,0,,0,#N/A,,,,,,,
Marcel Jensen,TE,0,0,0,0,,0,#N/A,,,,,,,
Tony Moeaki,TE,0,0,0,0,,0,#N/A,,,,,,,
Antonio Brown,WR,22.98,7.1,8.79,37.17,21.44,25.77,21.0517733,,,,,,,
Julio Jones,WR,17.75,4.38,8.99,26.52,17.12,18.89,17.686776,,,,,,,
Jordy Nelson,WR,17.53,2.65,12.23,22.82,17.31,18.13,14.9854334,,,,,,,
A.J. Green,WR,17.38,4.72,7.94,26.81,16.58,17.84,20.294254,,,,,,,
Odell Beckham,WR,17.15,1.96,13.23,21.08,17.03,16.71,#N/A,,,,,,,
Amari Cooper,WR,16.84,4.85,7.15,26.53,16.29,14.47,19.2897522,,,,,,,
Jarvis Landry,WR,16.62,2.46,11.7,21.55,16.45,16.64,17.7292033,,,,,,,
Brandon Marshall,WR,16.6,4.24,8.11,25.09,16.16,15.37,10.620155,,,,,,,
Allen Robinson,WR,15.98,3.87,8.24,23.72,15.31,16.77,11.4505599,,,,,,,
DeAndre Hopkins,WR,15.61,5.04,5.53,25.69,14.6,16.73,15.851454,,,,,,,
Marvin Jones,WR,15.59,2.85,9.89,21.29,15.34,14.91,#N/A,,,,,,,
Emmanuel Sanders,WR,15.48,1.79,11.89,19.07,15.37,15.73,14.8865297,,,,,,,
Demaryius Thomas,WR,15.45,3.92,7.61,23.29,14.79,15.82,14.9802197,,,,,,,
T.Y. Hilton,WR,15.32,2.8,9.71,20.92,15.08,14.4,16.7010822,,,,,,,
Larry Fitzgerald,WR,15.05,2.89,9.28,20.83,14.75,15.88,19.4260423,,,,,,,
Alshon Jeffery,WR,14.82,2.76,9.3,20.33,14.56,14.82,12.514792,,,,,,,
Julian Edelman,WR,14.75,3.27,8.2,21.3,14.41,14.66,10.950456,,,,,,,
Brandin Cooks,WR,14.62,4.14,6.34,22.9,13.86,15.36,17.8096901,,,,,,,
Jeremy Maclin,WR,14.23,3.98,6.28,22.19,13.47,15.01,13.5157533,,,,,,,
Willie Snead,WR,14.18,2.76,8.66,19.71,13.93,13.9,15.3306527,,,,,,,
Kelvin Benjamin,WR,14.09,4.31,5.47,22.72,13.27,14.75,16.2681033,,,,,,,
Doug Baldwin,WR,13.82,4.86,4.1,23.53,12.8,14.52,18.18419,,,,,,,
Jordan Matthews,WR,13.58,3.54,6.49,20.66,12.97,13.82,14.4922601,,,,,,,
Michael Crabtree,WR,13.48,3.36,6.76,20.21,12.91,14.21,18.0249372,,,,,,,
John Brown,WR,13.3,2.59,8.12,18.48,13.06,12.9,5.9965177,,,,,,,
DeSean Jackson,WR,12.97,2.69,7.6,18.34,12.73,12.23,9.829094,,,,,,,
Will Fuller,WR,12.86,3.66,5.53,20.19,12.25,13.06,#N/A,,,,,,,
Randall Cobb,WR,12.62,4.18,4.26,20.98,11.81,13.32,15.2018573,,,,,,,
Travis Benjamin,WR,11.76,1.33,9.09,14.42,11.68,12.13,11.3475825,,,,,,,
Tavon Austin,WR,11.17,3.89,3.4,18.95,10.49,10.94,12.4222966,,,,,,,
Pierre Garcon,WR,11.11,3.73,3.64,18.58,10.6,10.29,9.11705,,,,,,,
Tyrell Williams,WR,11.05,3.13,4.79,17.32,10.55,10.87,10.5512175,,,,,,,
DeVante Parker,WR,10.93,2.9,5.13,16.74,10.44,11.64,11.539105,,,,,,,
Cameron Meredith,WR,10.79,1.95,6.89,14.69,10.6,11.06,13.18936,,,,,,,
Golden Tate,WR,10.76,2.61,5.55,15.97,10.45,10.4,10.9171972,,,,,,,
Terrelle Pryor,WR,10.66,2.99,4.67,16.64,10.1,11.99,-0.15035,,,,,,,
Anquan Boldin,WR,10.64,1.48,7.68,13.61,10.54,10.95,9.9681175,,,,,,,
Sterling Shepard,WR,10.59,0.55,9.48,11.69,10.57,10.59,8.8805567,,,,,,,
Mike Wallace,WR,10.47,1.79,6.9,14.05,10.31,9.96,15.2603333,,,,,,,
Allen Hurns,WR,10.24,2.1,6.04,14.45,9.97,10.58,11.5442499,,,,,,,
Quincy Enunwa,WR,10.13,4.43,1.27,18.99,9.12,10.2,10.4093525,,,,,,,
Michael Floyd,WR,9.92,2.14,5.65,14.19,9.62,10.14,9.4949023,,,,,,,
Dez Bryant,WR,9.87,7.53,-5.2,24.94,11.71,10.2,#N/A,,,,,,,
Jeremy Kerley,WR,9.85,2.76,4.33,15.38,9.23,10.25,11.2912233,,,,,,,
Sammie Coates,WR,9.79,1.98,5.84,13.75,9.57,10.54,11.6696567,,,,,,,
Robert Woods,WR,9.51,2.05,5.42,13.6,9.21,10.18,10.619228,,,,,,,
Michael Thomas,WR,9.49,3.51,2.46,16.51,8.54,11.43,15.9490067,,,,,,,
Kenny Britt,WR,9.12,2.05,5.03,13.22,8.89,9.33,14.6174533,,,,,,,
Cole Beasley,WR,9.09,2.82,3.45,14.73,8.28,9.62,12.3612234,,,,,,,
Victor Cruz,WR,9.02,4.14,0.74,17.3,8.23,7.89,6.5645399,,,,,,,
Phillip Dorsett,WR,8.65,2.37,3.91,13.39,8.3,8.02,6.2256033,,,,,,,
Kenny Stills,WR,8.48,1.47,5.55,11.41,8.33,8.53,11.1306166,,,,,,,
Terrance Williams,WR,8.46,1.34,5.78,11.15,8.37,7.99,7.0874133,,,,,,,
Eddie Royal,WR,8.29,2.57,3.15,13.43,7.83,9.63,14.388592,,,,,,,
Brandon LaFell,WR,8.24,2.24,3.75,12.72,7.88,8.52,11.787202,,,,,,,
Davante Adams,WR,8.14,1.59,4.97,11.32,7.96,8.84,15.5072867,,,,,,,
Tyler Lockett,WR,8.12,2.88,2.36,13.89,7.49,7.53,6.3089825,,,,,,,
Jamison Crowder,WR,8.01,2.33,3.35,12.66,7.6,8.51,11.196968,,,,,,,
Torrey Smith,WR,7.95,3.07,1.81,14.08,7.24,7.81,6.8475066,,,,,,,
Tajae Sharpe,WR,7.92,1.85,4.21,11.62,7.65,8.09,9.1957725,,,,,,,
Rishard Matthews,WR,7.69,2.77,2.15,13.22,7.2,6.83,12.9087072,,,,,,,
Mohamed Sanu,WR,7.61,2.15,3.31,11.91,7.21,8.12,6.96864,,,,,,,
Kamar Aiken,WR,7.43,2.55,2.32,12.53,6.98,6.58,4.3922933,,,,,,,
Tyler Boyd,WR,7.33,1.46,4.4,10.26,7.18,7.26,6.147064,,,,,,,
Marqise Lee,WR,7.25,1.39,4.48,10.02,7.11,7.35,8.9349834,,,,,,,
Chris Hogan,WR,7.2,2.26,2.67,11.72,6.81,7.14,9.938604,,,,,,,
Jermaine Kearse,WR,7.06,2.51,2.04,12.07,6.46,7.42,6.613475,,,,,,,
Danny Amendola,WR,6.95,3.6,-0.26,14.16,5.83,6.14,8.10228,,,,,,,
Chris Conley,WR,6.94,1.29,4.37,9.51,6.83,6.98,9.7812699,,,,,,,
Andre Johnson,WR,6.94,0.85,5.24,8.63,6.88,7,6.9125472,,,,,,,
Ted Ginn,WR,6.88,2.73,1.42,12.33,6.33,6.52,#N/A,,,,,,,
Seth Roberts,WR,6.87,1.23,4.41,9.32,6.76,6.47,8.9604297,,,,,,,
Breshad Perriman,WR,6.77,3.2,0.37,13.17,5.69,7.61,5.0350067,,,,,,,
Nelson Agholor,WR,6.73,1.57,3.58,9.87,6.49,7.36,7.8262166,,,,,,,
Marquise Goodwin,WR,6.69,2.49,1.7,11.68,6.07,7.5,9.813494,,,,,,,
Dontrelle Inman,WR,6.52,1.89,2.75,10.3,6.25,6.36,5.6212497,,,,,,,
Brice Butler,WR,6.47,3.65,-0.82,13.76,5.41,5.41,3.47379,,,,,,,
Andrew Hawkins,WR,6.47,1.98,2.51,10.43,6.12,7.1,7.15747,,,,,,,
Brian Quick,WR,6.1,2.24,1.62,10.57,5.55,6.97,11.0310001,,,,,,,
Quinton Patton,WR,5.85,1.49,2.87,8.84,5.64,5.73,5.8843734,,,,,,,
Eli Rogers,WR,5.84,3.41,-0.98,12.66,4.91,4.47,8.8420925,,,,,,,
Devin Funchess,WR,5.75,2.24,1.28,10.23,5.21,6.34,7.4743599,,,,,,,
Jaelen Strong,WR,5.59,1.67,2.25,8.93,5.32,5,6.14517,,,,,,,
Kendall Wright,WR,5.47,2.77,-0.07,11.01,4.87,4.16,14.456466,,,,,,,
Corey Brown,WR,5.46,2.04,1.38,9.54,5.02,6.39,#N/A,,,,,,,
Jaron Brown,WR,5.44,1.45,2.54,8.34,5.21,5.19,8.9009077,,,,,,,
Dorial Green-Beckham,WR,5.32,1.14,3.05,7.59,5.19,5.07,7.06358,,,,,,,
Chester Rogers,WR,4.91,2.62,-0.34,10.15,6.06,5.65,#N/A,,,,,,,
Walt Powell,WR,4.56,2.17,0.22,8.89,3.7,4.55,#N/A,,,,,,,
Albert Wilson,WR,4.49,1.39,1.7,7.27,4.24,4.85,5.7394833,,,,,,,
Ricardo Louis,WR,4.24,1.95,0.34,8.14,3.26,4.78,3.8670772,,,,,,,
Markus Wheaton,WR,4.01,1.51,0.98,7.04,3.66,4.06,#N/A,,,,,,,
Justin Hardy,WR,3.86,1.68,0.5,7.21,3.44,3.5,#N/A,,,,,,,
Jordan Norwood,WR,3.73,1.55,0.62,6.84,3.45,3.32,#N/A,,,,,,,
Robby Anderson,WR,3.58,2.62,-1.66,8.82,2.41,3.59,#N/A,,,,,,,
Braxton Miller,WR,3.46,1.04,1.39,5.53,3.34,3.12,#N/A,,,,,,,
Malcolm Mitchell,WR,3.44,1.77,-0.11,6.98,3.09,2.6,#N/A,,,,,,,
Paul Richardson,WR,3.42,2.2,-0.98,7.83,2.98,2.45,#N/A,,,,,,,
Brandon Coleman,WR,3.36,1.38,0.6,6.12,3.01,3.03,#N/A,,,,,,,
Tyreek Hill,WR,3.29,2.17,-1.04,7.62,2.41,3,#N/A,,,,,,,
Andre Holmes,WR,3.12,1.32,0.49,5.76,2.77,3.38,#N/A,,,,,,,
Justin Hunter,WR,3.05,1.87,-0.68,6.78,2.14,3.06,#N/A,,,,,,,
Josh Huff,WR,2.86,0.96,0.95,4.78,2.72,2.42,#N/A,,,,,,,
Charone Peake,WR,2.62,1.83,-1.03,6.28,1.25,3.35,#N/A,,,,,,,
Ryan Grant,WR,2.54,1.88,-1.21,6.3,1.86,1.8,#N/A,,,,,,,
Pharoh Cooper,WR,2.33,1.85,-1.37,6.02,2.42,1.43,#N/A,,,,,,,
Bennie Fowler,WR,2.29,0.89,0.5,4.07,2.1,2.2,#N/A,,,,,,,
Rod Streater,WR,2.06,1.12,-0.18,4.31,1.69,2.61,#N/A,,,,,,,
Keshawn Martin,WR,2.04,3.06,-4.07,8.15,2.51,0.43,#N/A,,,,,,,
Quan Bray,WR,2.03,1.42,-0.81,4.87,1.38,2.05,#N/A,,,,,,,
Rashard Higgins,WR,1.98,1.31,-0.63,4.6,1.5,1.72,#N/A,,,,,,,
Rashad Greene,WR,1.9,1.32,-0.73,4.53,1.51,1.54,#N/A,,,,,,,
Josh Bellamy,WR,1.88,1.49,-1.1,4.86,1.35,1.38,#N/A,,,,,,,
Leonte Carroo,WR,1.85,1.29,-0.72,4.43,1.28,1.67,#N/A,,,,,,,
Chris Moore,WR,1.84,1.24,-0.63,4.31,1.21,2.04,#N/A,,,,,,,
Cody Latimer,WR,1.81,1.1,-0.39,4.02,1.39,1.68,#N/A,,,,,,,
James Wright,WR,1.76,1.32,-0.87,4.4,1.34,1.08,#N/A,,,,,,,
Taylor Gabriel,WR,1.73,1.46,-1.2,4.66,2.42,1.75,#N/A,,,,,,,
Jeff Janis,WR,1.65,2.48,-3.32,6.62,0.4,0.55,#N/A,,,,,,,
J.J. Nelson,WR,1.61,0.51,0.6,2.62,1.53,1.6,#N/A,,,,,,,
Jared Abbrederis,WR,1.6,0.96,-0.32,3.51,1.27,1.5,#N/A,,,,,,,
Dwayne Harris,WR,1.55,1.43,-1.3,4.41,1.38,0.86,#N/A,,,,,,,
Darrius Heyward-Bey,WR,1.49,1.12,-0.75,3.73,1.15,0.9,#N/A,,,,,,,
Griff Whalen,WR,1.4,1,-0.6,3.4,1.14,0.92,#N/A,,,,,,,
Jalin Marshall,WR,1.35,1.55,-1.75,4.45,1.77,0.69,#N/A,,,,,,,
Deonte Thompson,WR,1.23,1.43,-1.63,4.08,0.7,0.57,#N/A,,,,,,,
Tommylee Lewis,WR,1.16,0.86,-0.56,2.89,0.83,0.85,#N/A,,,,,,,
Harry Douglas,WR,1.12,1.74,-2.36,4.6,0.98,0.55,#N/A,,,,,,,
Bradley Marquez,WR,1.03,0.84,-0.64,2.7,0.79,0.68,#N/A,,,,,,,
Lucky Whitehead,WR,0.99,1.18,-1.37,3.35,0.52,0.49,#N/A,,,,,,,
Aaron Burbridge,WR,0.98,0.75,-0.52,2.48,0.74,0.69,#N/A,,,,,,,
DeAnthony Thomas,WR,0.91,0.55,-0.18,2.01,0.76,0.76,#N/A,,,,,,,
Ty Montgomery,WR,0.87,0.85,-0.82,2.57,0.61,0.62,#N/A,,,,,,,
Nelson Spruce,WR,0.8,0.83,-0.86,2.46,1.57,0.65,#N/A,,,,,,,
Brandon Tate,WR,0.76,0.94,-1.13,2.65,0.4,0.42,#N/A,,,,,,,
Bryan Walters,WR,0.69,0.68,-0.66,2.04,0.32,0.46,#N/A,,,,,,,
Trevor Davis,WR,0.58,0.33,-0.08,1.23,0.7,0.65,#N/A,,,,,,,
Rashad Ross,WR,0.53,0.35,-0.17,1.22,0.56,0.53,#N/A,,,,,,,
Keith Mumphery,WR,0.43,0.03,0.37,0.49,0.43,0.42,#N/A,,,,,,,
Bryce Treggs,WR,0.4,0.69,-0.99,1.79,1.6,0,#N/A,,,,,,,
Jakeem Grant,WR,0.39,0.35,-0.31,1.09,0.51,0.36,#N/A,,,,,,,
Brenton Bersin,WR,0.38,0.38,-0.38,1.14,0.55,0.24,#N/A,,,,,,,
Jordan Payton,WR,0.35,0.28,-0.21,0.91,0.4,0.36,#N/A,,,,,,,
Alex Erickson,WR,0.3,0.32,-0.35,0.94,0.32,0.15,#N/A,,,,,,,
Demarcus Robinson,WR,0.28,0.27,-0.26,0.81,0.18,0.25,#N/A,,,,,,,
Andre Caldwell,WR,0.24,0.48,-0.72,1.2,1.2,0,#N/A,,,,,,,
Daniel Brown,WR,0.19,0.33,-0.47,0.85,0.76,0,#N/A,,,,,,,
Devin Street,WR,0.18,0.3,-0.43,0.78,0.7,0,#N/A,,,,,,,
Devin Hester,WR,0.16,0.22,-0.29,0.61,0.09,0.02,#N/A,,,,,,,
Cody Core,WR,0.13,0.22,-0.3,0.56,0.07,0.01,#N/A,,,,,,,
Frankie Hammond,WR,0.12,0.16,-0.21,0.45,0.35,0,#N/A,,,,,,,
Matt Slater,WR,0.07,0.09,-0.12,0.26,0.2,0,#N/A,,,,,,,
Eric Weems,WR,0.01,0.01,-0.02,0.03,0.02,0,#N/A,,,,,,,
Jeremy Ross,WR,0,0,0,0,,0,#N/A,,,,,,,
James Jones,WR,0,0,0,0,,0,#N/A,,,,,,,
Chris Givens,WR,0,0,0,0,,0,#N/A,,,,,,,
Darius Jennings,WR,0,0,0,0,,0,#N/A,,,,,,,
Jeremy Butler,WR,0,0,0,0,,0,#N/A,,,,,,,
Aaron Dobson,WR,0,0,0,0,,0,#N/A,,,,,,,
Vincent Brown,WR,0,0,0,0,,0,#N/A,,,,,,,
Chris Harper,WR,0,0,0,0,,0,#N/A,,,,,,,
Kenbrell Thompkins,WR,0,0,0,0,,0,#N/A,,,,,,,
Riley Cooper,WR,0,0,0,0,,0,#N/A,,,,,,,
Nick Toon,WR,0,0,0,0,,0,#N/A,,,,,,,
Jerome Simpson,WR,0,0,0,0,,0,#N/A,,,,,,,
Nick Williams,WR,0,0,0,0,,0,#N/A,,,,,,,
Anthony Dable,WR,0,0,0,0,,0,#N/A,,,,,,,
T.J. Jones,WR,0,0,0,0,,0,#N/A,,,,,,,
Geremy Davis,WR,0,0,0,0,,0,#N/A,,,,,,,
Roger Lewis,WR,0,0,0,0,,0,#N/A,,,,,,,
Dwayne Bowe,WR,0,0,0,0,,0,#N/A,,,,,,,
Brittan Golden,WR,0,0,0,0,,0,#N/A,,,,,,,
Rueben Randle,WR,0,0,0,0,,0,#N/A,,,,,,,
Marlon Brown,WR,0,0,0,0,,0,#N/A,,,,,,,
Kain Colter,WR,0,0,0,0,,0,#N/A,,,,,,,
Vince Mayle,WR,0,0,0,0,,0,#N/A,,,,,,,
