QB,RB,RB,WR,WR,WR,TE,FLEX,DST,QB Team ,RB Team ,RB Team ,WR Team ,WR Team ,WR Team ,TE Team ,FLEX Team ,DST Team ,QB Salary ,RB Salary ,RB Salary ,WR Salary ,WR Salary ,WR Salary ,TE Salary ,FLEX Salary ,DST Salary ,Projected Value,Scenario,Iteration,Actual
Matthew Stafford,Carlos Hyde,Jonathan Stewart,A.J. Green,Eric Decker,Davante Adams,Zach Ertz,Le'Veon Bell,Redskins ,DET,SF,CAR,CIN,TEN,GB,PHI,PIT,WAS,6200,5200,4700,8100,4000,5600,5000,8800,2400,152.65,Scenario1,1,150.26
Derek Carr,C.J. Anderson,Todd Gurley II,Dez Bryant,Rishard Matthews,Larry Fitzgerald,Eric Ebron,Ty Montgomery,Eagles ,OAK,DEN,LAR,DAL,TEN,ARI,DET,GB,PHI,6800,5800,6800,6800,4200,6400,3300,6900,3000,148.97,Scenario1,2,141.02
Matt Ryan,Devonta Freeman,Chris Thompson,Mike Evans,T.Y. Hilton,J.J. Nelson,Rob Gronkowski,Delanie Walker,Raiders ,ATL,ATL,WAS,TB,IND,ARI,NE,TEN,OAK,7100,6700,4500,7500,5200,5300,6800,4400,2500,145.52,Scenario1,3,156.26
Dak Prescott,Leonard Fournette,Lamar Miller,Antonio Brown,Marvin Jones Jr.,Julio Jones,Cameron Brate,Jason Witten,Buccaneers ,DAL,JAX,HOU,PIT,DET,ATL,TB,DAL,TB,5800,6000,5000,9000,4200,9300,3000,4500,3200,141.89,Scenario1,4,112.32
Kirk Cousins,Tarik Cohen,Theo Riddick,DeAndre Hopkins,Alshon Jeffery,Emmanuel Sanders,Travis Kelce,Terrelle Pryor Sr.,Steelers ,WAS,CHI,DET,HOU,PHI,DEN,KC,WAS,PIT,6100,5600,5100,6200,5900,5800,6000,5900,3400,138.54,Scenario1,5,101.5
Aaron Rodgers,Melvin Gordon,Ameer Abdullah,Amari Cooper,Doug Baldwin,Jarvis Landry,Evan Engram,Frank Gore,Titans ,GB,LAC,DET,OAK,SEA,MIA,NYG,IND,TEN,7300,7600,4700,7100,6400,6800,3200,4200,2700,136.34,Scenario1,6,119.42
Ben Roethlisberger,LeSean McCoy,Christian McCaffrey,Mohamed Sanu,Michael Crabtree,Terrance Williams,Coby Fleener,Keenan Allen,Ravens ,PIT,BUF,CAR,ATL,OAK,DAL,NO,LAC,BAL,6200,7000,6100,4500,7400,3600,4100,7200,3900,133.56,Scenario1,7,83.0
Drew Brees,Ezekiel Elliott,Jay Ajayi,Martavis Bryant,Jermaine Kearse,DeSean Jackson,Charles Clay,Demaryius Thomas,Panthers ,NO,DAL,MIA,PIT,NYJ,TB,BUF,DEN,CAR,7200,8300,7700,5700,4600,4600,3400,5900,2600,131.81,Scenario1,8,106.0
Cam Newton,Isaiah Crowell,Kareem Hunt,Michael Thomas,Tyler Lockett,Golden Tate,Jack Doyle,DeVante Parker,Falcons ,CAR,CLE,KC,NO,SEA,DET,IND,MIA,ATL,6600,4800,8000,7000,4300,6900,3600,6300,2500,130.13,Scenario1,9,119.68
Carson Palmer,Dalvin Cook,Jordan Howard,Kelvin Benjamin,Tyreek Hill,Odell Beckham Jr.,Zach Miller,Cooper Kupp,Broncos ,ARI,MIN,CHI,CAR,KC,NYG,CHI,LAR,DEN,6000,5900,4900,6700,6600,8600,3000,4700,3600,126.78,Scenario1,10,150.1
