player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
Ravens,DST,9.36,2.91,3.53,15.18,8.94,9.1
Buccaneers,DST,8.6,1.9,4.81,12.4,8.38,8.12
Rams,DST,8.21,1.01,6.19,10.23,8.15,8.3
Chiefs,DST,8.12,0.45,7.23,9.01,8.11,8.3
Cardinals,DST,7.52,2.03,3.47,11.58,7.27,7.0
Panthers,DST,7.42,1.48,4.46,10.39,7.24,8.1
Seahawks,DST,7.37,1.44,4.49,10.26,7.23,7.36
Steelers,DST,7.31,1.04,5.24,9.39,7.23,7.56
Raiders,DST,7.22,1.71,3.81,10.63,7.0,7.3
Chargers,DST,7.19,1.18,4.83,9.54,7.08,7.4
Patriots,DST,7.08,1.07,4.93,9.23,7.0,7.2
Falcons,DST,7.06,1.42,4.22,9.91,6.93,6.2
Broncos,DST,6.92,0.58,5.75,8.08,6.89,7.1
Cowboys,DST,6.84,1.03,4.78,8.91,6.78,6.32
Jaguars,DST,6.79,2.59,1.62,11.97,6.21,6.8
Vikings,DST,6.77,0.43,5.91,7.64,6.76,7.0
Eagles,DST,6.69,2.29,2.11,11.28,6.31,6.4
Redskins,DST,6.68,1.3,4.08,9.28,6.54,6.6
Colts,DST,6.54,1.17,4.19,8.88,6.44,5.9
Bengals,DST,6.48,1.56,3.35,9.6,6.27,6.6
Dolphins,DST,6.43,0.51,5.41,7.45,6.41,6.25
Giants,DST,6.3,1.28,3.74,8.85,6.16,6.29
Titans,DST,6.12,0.63,4.86,7.37,6.08,6.28
Texans,DST,6.03,2.39,1.24,10.82,5.45,6.21
Packers,DST,5.58,0.6,4.37,6.79,5.54,5.8
Bills,DST,5.53,1.16,3.21,7.85,5.39,6.2
Bears,DST,5.25,1.34,2.56,7.93,5.03,6.1
Lions,DST,5.04,1.54,1.97,8.12,4.74,5.54
49ers,DST,4.84,1.54,1.75,7.93,4.57,5.6
Browns,DST,4.62,1.05,2.52,6.72,4.5,4.6
Jets,DST,4.45,0.74,2.97,5.93,4.39,4.4
Saints,DST,3.45,0.82,1.81,5.1,3.35,3.76
Matt Ryan,QB,23.96,1.64,20.69,27.24,23.91,24.14
Matt Ryan,QB,23.96,1.64,20.69,27.24,23.91,24.14
Tom Brady,QB,23.31,3.52,16.27,30.35,23.03,24.86
Tom Brady,QB,23.31,3.52,16.27,30.35,23.03,24.86
Drew Brees,QB,22.85,2.03,18.79,26.91,22.76,23.33
Drew Brees,QB,22.85,2.03,18.79,26.91,22.76,23.33
Aaron Rodgers,QB,22.0,2.18,17.64,26.36,21.89,22.47
Aaron Rodgers,QB,22.0,2.18,17.64,26.36,21.89,22.47
