player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
Chiefs,DST,9.04,2.59,3.85,14.23,8.69,8.45
Bengals,DST,8.14,2.01,4.12,12.15,7.9,7.89
Seahawks,DST,7.81,2.0,3.81,11.81,7.56,7.9
Patriots,DST,7.77,1.39,4.99,10.55,7.65,7.5
Jaguars,DST,7.55,2.65,2.24,12.86,6.86,9.0
Broncos,DST,7.54,1.12,5.29,9.79,7.46,7.35
Vikings,DST,7.48,0.4,6.68,8.28,7.47,7.5
Cardinals,DST,7.3,1.74,3.81,10.79,7.11,6.2
Falcons,DST,7.12,1.17,4.77,9.47,7.02,7.14
Titans,DST,7.09,1.56,3.98,10.2,6.92,7.0
Steelers,DST,7.0,1.2,4.59,9.4,6.89,6.5
Chargers,DST,6.96,1.15,4.66,9.25,6.86,6.96
Lions,DST,6.87,1.68,3.52,10.22,6.7,6.1
Raiders,DST,6.82,1.71,3.4,10.24,6.6,6.5
Packers,DST,6.77,2.43,1.92,11.62,6.28,6.84
Ravens,DST,6.57,0.83,4.91,8.22,6.51,6.5
Eagles,DST,6.57,1.5,3.56,9.57,6.37,6.8
Buccaneers,DST,6.55,0.78,4.99,8.1,6.5,6.6
Cowboys,DST,6.53,0.65,5.23,7.83,6.49,6.74
Redskins,DST,6.21,0.42,5.37,7.05,6.2,6.4
Texans,DST,6.14,0.67,4.8,7.47,6.1,5.98
Giants,DST,6.06,1.27,3.52,8.6,5.94,6.1
Browns,DST,5.91,1.34,3.22,8.6,5.73,6.26
Colts,DST,5.84,0.49,4.86,6.81,5.82,5.99
Jets,DST,5.82,1.21,3.4,8.23,5.67,6.18
Rams,DST,5.78,0.78,4.23,7.33,5.73,5.95
Bills,DST,5.68,0.66,4.37,7.0,5.65,5.3
Panthers,DST,5.64,1.2,3.23,8.05,5.5,5.9
Saints,DST,5.47,1.98,1.51,9.43,5.02,6.52
49ers,DST,5.09,1.55,1.98,8.19,4.84,4.8
Dolphins,DST,4.89,0.92,3.06,6.72,4.79,5.13
