player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
Eagles,DST,8.53,2.55,3.44,13.62,8.04,9.6
Chiefs,DST,8.39,1.4,5.59,11.19,8.29,7.5
Texans,DST,8.27,3.55,1.17,15.38,7.7,6.8
Chargers,DST,7.72,0.39,6.94,8.49,7.71,7.72
Vikings,DST,7.6,1.66,4.27,10.93,7.41,7.76
Ravens,DST,7.3,1.5,4.3,10.31,7.15,6.82
Jets,DST,7.3,3.56,0.17,14.43,6.45,7.8
Raiders,DST,7.29,2.11,3.08,11.51,6.9,7.47
Steelers,DST,7.26,1.38,4.49,10.03,7.13,7.21
Cardinals,DST,7.26,1.43,4.4,10.12,7.14,6.8
Jaguars,DST,7.0,3.22,0.57,13.44,6.23,6.1
Seahawks,DST,6.95,0.97,5.01,8.89,6.88,6.95
Bills,DST,6.92,1.26,4.4,9.45,6.8,7.24
Patriots,DST,6.89,0.66,5.56,8.22,6.86,6.9
Panthers,DST,6.66,1.21,4.24,9.07,6.53,6.88
Lions,DST,6.62,0.71,5.2,8.04,6.58,6.3
Titans,DST,6.51,1.09,4.34,8.68,6.42,6.2
Rams,DST,6.45,1.39,3.66,9.24,6.3,6.35
Bengals,DST,6.26,0.69,4.89,7.64,6.23,6.0
Dolphins,DST,6.24,2.32,1.59,10.89,5.72,6.3
Browns,DST,6.12,1.59,2.93,9.3,5.88,6.1
Giants,DST,5.97,1.61,2.76,9.18,5.77,6.15
Cowboys,DST,5.96,0.32,5.32,6.59,5.95,6.01
49ers,DST,5.86,1.83,2.21,9.52,5.51,6.5
Buccaneers,DST,5.86,0.72,4.42,7.29,5.82,5.7
Bears,DST,5.57,0.6,4.37,6.76,5.54,5.58
Colts,DST,5.55,2.43,0.69,10.41,4.39,6.7
Packers,DST,4.8,1.44,1.92,7.68,4.48,5.5
Tom Brady,QB,24.29,3.0,18.3,30.29,24.09,24.53
Aaron Rodgers,QB,22.86,3.18,16.5,29.22,22.66,22.48
Jameis Winston,QB,20.07,1.91,16.25,23.89,19.98,20.1
Dak Prescott,QB,19.75,1.56,16.63,22.88,19.69,20.06
Russell Wilson,QB,19.27,1.69,15.9,22.64,19.2,19.09
Matthew Stafford,QB,18.34,1.57,15.2,21.48,18.27,17.96
Cam Newton,QB,17.31,1.07,15.16,19.45,17.27,17.47
Alex Smith,QB,17.16,1.67,13.83,20.5,17.09,16.64
Philip Rivers,QB,16.85,2.36,12.13,21.57,16.7,15.64
Eli Manning,QB,16.79,0.57,15.65,17.93,16.78,16.72
Deshaun Watson,QB,16.55,0.97,14.6,18.49,16.52,16.59
Carson Wentz,QB,16.31,2.12,12.08,20.54,16.18,16.29
Carson Palmer,QB,15.86,1.84,12.18,19.54,15.75,15.77
Andy Dalton,QB,15.36,2.17,11.02,19.69,15.2,15.35
Jacoby Brissett,QB,15.26,2.09,11.09,19.43,15.11,14.96
Blake Bortles,QB,15.18,1.81,11.57,18.79,15.08,14.34
Jay Cutler,QB,14.28,1.14,12.0,16.55,14.23,13.88
DeShone Kizer,QB,14.22,1.58,11.06,17.38,14.13,13.47
Jared Goff,QB,14.11,2.22,9.67,18.55,13.92,14.45
Josh McCown,QB,14.0,1.42,11.16,16.85,13.93,14.34
Brian Hoyer,QB,13.99,1.65,10.69,17.28,13.89,13.85
Joe Flacco,QB,13.87,1.32,11.24,16.51,13.81,13.81
Ben Roethlisberger,QB,13.86,5.44,2.98,24.73,15.76,15.68
Tyrod Taylor,QB,13.82,5.87,2.07,25.56,16.02,15.57
Mitchell Trubisky,QB,13.25,1.37,10.5,16.0,13.18,13.91
Marcus Mariota,QB,11.93,7.09,-2.25,26.11,15.79,14.56
E.J. Manuel,QB,11.69,1.66,8.36,15.01,11.57,11.59
Case Keenum,QB,10.15,5.25,-0.35,20.65,8.57,9.84
Sam Bradford,QB,9.64,5.26,-0.88,20.16,6.14,12.9
Matt Cassel,QB,5.21,5.17,-5.14,15.56,4.21,2.52
Matt Moore,QB,3.06,5.34,-7.62,13.74,0.75,0.32
Cody Kessler,QB,2.95,5.97,-8.99,14.89,4.88,0.0
Tom Savage,QB,2.81,5.16,-7.52,13.14,0.61,0.38
Landry Jones,QB,2.54,5.41,-8.29,13.37,0.47,0.14
Kevin Hogan,QB,0.62,0.9,-1.17,2.41,0.35,0.12
Ryan Fitzpatrick,QB,0.6,0.69,-0.78,1.97,0.44,0.25
