"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","De'Anthony Thomas",3000,"PIT@KC 04:25PM ET",2.320,"KC"
"RB","Terrell Watson",3000,"PIT@KC 04:25PM ET",0.100,"PIT"
"WR","Jehu Chesson",3000,"PIT@KC 04:25PM ET",0.000,"KC"
"WR","Demarcus Robinson",3000,"PIT@KC 04:25PM ET",1.100,"KC"
"TE","Antonio Gates",3000,"LAC@OAK 04:25PM ET",5.380,"LAC"
"RB","Andre Williams",3000,"LAC@OAK 04:25PM ET",0.000,"LAC"
"RB","Jamize Olawale",3000,"LAC@OAK 04:25PM ET",1.600,"OAK"
"RB","Derek Watt",3000,"LAC@OAK 04:25PM ET",0.000,"LAC"
"WR","Cordarrelle Patterson",3000,"LAC@OAK 04:25PM ET",5.340,"OAK"
"WR","Johnny Holton",3000,"LAC@OAK 04:25PM ET",2.680,"OAK"
"RB","Austin Ekeler",3000,"LAC@OAK 04:25PM ET",5.000,"LAC"
"RB","Andy Janovich",3000,"NYG@DEN 08:30PM ET",0.050,"DEN"
"WR","Jordan Taylor",3000,"NYG@DEN 08:30PM ET",0.000,"DEN"
"WR","Cody Latimer",3000,"NYG@DEN 08:30PM ET",1.400,"DEN"
"WR","Isaiah McKenzie",3000,"NYG@DEN 08:30PM ET",0.100,"DEN"
"WR","Dwayne Harris",3000,"NYG@DEN 08:30PM ET",0.000,"NYG"
"RB","David Fluellen",3000,"IND@TEN 08:30PM ET",0.420,"TEN"
"RB","Jalston Fowler",3000,"IND@TEN 08:30PM ET",1.260,"TEN"
"WR","Darius Jennings",3000,"IND@TEN 08:30PM ET",0,"TEN"
"WR","Eric Weems",3000,"IND@TEN 08:30PM ET",0.000,"TEN"
"DST","Titans ",3000,"IND@TEN 08:30PM ET",4.200,"TEN"
"RB","George Winn",3000,"IND@TEN 08:30PM ET",0,"IND"
"RB","Matt Jones",3000,"IND@TEN 08:30PM ET",0.700,"IND"
"WR","Quan Bray",3000,"IND@TEN 08:30PM ET",0.640,"IND"
"WR","Kamar Aiken",3000,"IND@TEN 08:30PM ET",2.980,"IND"
"WR","Chester Rogers",3000,"IND@TEN 08:30PM ET",0,"IND"
"WR","Krishawn Hogan",3000,"IND@TEN 08:30PM ET",0.000,"IND"
"TE","Zach Miller",2900,"CHI@BAL 01:00PM ET",8.040,"CHI"
"DST","Vikings ",2900,"GB@MIN 01:00PM ET",5.200,"MIN"
"TE","Julius Thomas",2800,"MIA@ATL 01:00PM ET",4.400,"MIA"
"TE","Stephen Anderson",2800,"CLE@HOU 01:00PM ET",4.725,"HOU"
"DST","Packers ",2800,"GB@MIN 01:00PM ET",7.800,"GB"
"DST","Cardinals ",2800,"TB@ARI 04:05PM ET",5.200,"ARI"
"TE","Demetrius Harris",2800,"PIT@KC 04:25PM ET",2.920,"KC"
"DST","Bears ",2700,"CHI@BAL 01:00PM ET",4.200,"CHI"
"DST","Saints ",2700,"DET@NO 01:00PM ET",7.000,"NO"
"TE","Dwayne Allen",2700,"NE@NYJ 01:00PM ET",0.000,"NE"
"TE","Marcedes Lewis",2700,"LAR@JAX 04:05PM ET",6.120,"JAX"
"TE","A.J. Derby",2700,"NYG@DEN 08:30PM ET",6.350,"DEN"
"TE","Richard Rodgers",2600,"GB@MIN 01:00PM ET",1.360,"GB"
"DST","Buccaneers ",2600,"TB@ARI 04:05PM ET",6.500,"TB"
"TE","Jermaine Gresham",2600,"TB@ARI 04:05PM ET",5.250,"ARI"
"TE","O.J. Howard",2600,"TB@ARI 04:05PM ET",4.800,"TB"
"DST","Steelers ",2600,"PIT@KC 04:25PM ET",10.200,"PIT"
"TE","Vance McDonald",2600,"PIT@KC 04:25PM ET",0.000,"PIT"
"DST","Giants ",2600,"NYG@DEN 08:30PM ET",3.400,"NYG"
"TE","Jonnu Smith",2600,"IND@TEN 08:30PM ET",5.500,"TEN"
"TE","Erik Swoope",2600,"IND@TEN 08:30PM ET",0,"IND"
"TE","Brent Celek",2500,"PHI@CAR 08:25PM ET",0.720,"PHI"
"TE","Trey Burton",2500,"PHI@CAR 08:25PM ET",2.860,"PHI"
"TE","Chris Manhertz",2500,"PHI@CAR 08:25PM ET",0.000,"CAR"
"TE","Anthony Fasano",2500,"MIA@ATL 01:00PM ET",0.000,"MIA"
"TE","MarQueis Gray",2500,"MIA@ATL 01:00PM ET",0.000,"MIA"
"TE","Levine Toilolo",2500,"MIA@ATL 01:00PM ET",1.275,"ATL"
"TE","Eric Saubert",2500,"MIA@ATL 01:00PM ET",0.000,"ATL"
"TE","Andrew DePaola",2500,"CHI@BAL 01:00PM ET",0.000,"CHI"
"TE","Dion Sims",2500,"CHI@BAL 01:00PM ET",1.920,"CHI"
"TE","Daniel Brown",2500,"CHI@BAL 01:00PM ET",0.000,"CHI"
"TE","Nick Boyle",2500,"CHI@BAL 01:00PM ET",3.640,"BAL"
"TE","Maxx Williams",2500,"CHI@BAL 01:00PM ET",3.900,"BAL"
"TE","Vince Mayle",2500,"CHI@BAL 01:00PM ET",1.240,"BAL"
"TE","Adam Shaheen",2500,"CHI@BAL 01:00PM ET",1.440,"CHI"
"TE","Randall Telfer",2500,"CLE@HOU 01:00PM ET",0.880,"CLE"
"TE","Seth DeValve",2500,"CLE@HOU 01:00PM ET",5.560,"CLE"
"TE","Lance Kendricks",2500,"GB@MIN 01:00PM ET",4.280,"GB"
"TE","Kevin McDermott",2500,"GB@MIN 01:00PM ET",0.000,"MIN"
"TE","Blake Bell",2500,"GB@MIN 01:00PM ET",0.440,"MIN"
"TE","David Morgan",2500,"GB@MIN 01:00PM ET",0.000,"MIN"
"TE","Darren Fells",2500,"DET@NO 01:00PM ET",5.500,"DET"
"TE","Michael Hoomanawanui",2500,"DET@NO 01:00PM ET",1.025,"NO"
"TE","Josh Hill",2500,"DET@NO 01:00PM ET",1.800,"NO"
"TE","Michael Roberts",2500,"DET@NO 01:00PM ET",0.500,"DET"
"TE","Eric Tomlinson",2500,"NE@NYJ 01:00PM ET",2.967,"NYJ"
"TE","Jacob Hollister",2500,"NE@NYJ 01:00PM ET",1.100,"NE"
"TE","Jordan Leggett",2500,"NE@NYJ 01:00PM ET",0.000,"NYJ"
"TE","Logan Paulsen",2500,"SF@WAS 01:00PM ET",0.000,"SF"
"TE","Kyle Nelson",2500,"SF@WAS 01:00PM ET",0.000,"SF"
"TE","Garrett Celek",2500,"SF@WAS 01:00PM ET",2.060,"SF"
"TE","Niles Paul",2500,"SF@WAS 01:00PM ET",0.175,"WAS"
"TE","Jeremy Sprinkle",2500,"SF@WAS 01:00PM ET",0.000,"WAS"
"TE","Luke Stocker",2500,"TB@ARI 04:05PM ET",0.000,"TB"
"TE","Ifeanyi Momah",2500,"TB@ARI 04:05PM ET",1.120,"ARI"
"TE","Troy Niklas",2500,"TB@ARI 04:05PM ET",0.920,"ARI"
"TE","Ricky Seals-Jones",2500,"TB@ARI 04:05PM ET",0.000,"ARI"
"TE","Antony Auclair",2500,"TB@ARI 04:05PM ET",0.000,"TB"
"TE","James O'Shaughnessy",2500,"LAR@JAX 04:05PM ET",1.000,"JAX"
"TE","Tyler Higbee",2500,"LAR@JAX 04:05PM ET",5.320,"LAR"
"TE","Ben Koyack",2500,"LAR@JAX 04:05PM ET",0.000,"JAX"
"TE","Derek Carrier",2500,"LAR@JAX 04:05PM ET",1.360,"LAR"
"TE","Gerald Everett",2500,"LAR@JAX 04:05PM ET",4.200,"LAR"
"TE","James Winchester",2500,"PIT@KC 04:25PM ET",0.000,"KC"
"TE","Xavier Grimble",2500,"PIT@KC 04:25PM ET",0.000,"PIT"
"TE","Ross Travis",2500,"PIT@KC 04:25PM ET",0.920,"KC"
"DST","Raiders ",2500,"LAC@OAK 04:25PM ET",4.200,"OAK"
"TE","Lee Smith",2500,"LAC@OAK 04:25PM ET",1.080,"OAK"
