"fpts","ha","cond","l5g_avg_fpts","l5g_avg_trg","l5g_pct_pyb","l5g_avg_tdr","l5g_avg_ra","l5g_avg_ry","l5g_pct_ryb","l5g_avg_recy","l5g_avg_rec","l5g_pct_recyb","l5g_avg_tdrec","l5g_oppdef_ptsa","l5g_oppdef_rya","l5g_oppdef_pya","l5g_oppdef_fumforc","l5g_oppdef_sacksforc"
12.4,1,"1",11.725,2.25,0,1,5.5,30.75,0,0,0,0,0,18,83.5,265.75,1,3
12.3,1,"1",21.9,3,0,1,30,115,1,27,3,0,0,23,124.4,212,0.4,3
22.8,1,"1",17.1,4,0,0.5,24,90.5,0.5,11,4,0,0,26.5,160.5,320.25,1,1.75
20.8,0,"1",19,4,0,0.333333333333333,23,102.666666666667,0.67,23,3,0,0,30.8,97.8,280,0.4,1.8
11.6,0,"1",19.45,4.25,0,0.75,20.75,85.75,0.5,15,3,0,0,26.6,137.4,262.8,0.6,1.8
9.6,1,"1",5.3,4,0,0,2.5,4,0,57,3,0,0,27.25,105.5,251,1.75,2.5
10.2,0,"1",8.05,3,0,0,6,33,0,15,1,0,1,21,121.2,222.8,1.2,3.8
15.2,1,"1",11.1,2.5,0,0,5.5,39.5,0,49,2,0,1,25.6,116.8,193.2,0.8,2
8.7,1,"1",7.6,3,0,0,7,23,0,19,4,0,0,33,98.8,244.8,1,2.2
7.8,1,"1",5.5,0.666666666666667,0,0.333333333333333,8,28.6666666666667,0,8,1,0,0,29.8,152.6,268.6,0.6,1.6
13.2,1,"1",6.75,1.5,0,0,13.5,48,0,8,1,0,0,26.75,70.25,248.75,0.5,2
20.2,0,"1",9.08,4.2,0,0,3.6,24,0,36,5,0,0,19.6,95.6,231.6,0.8,2.8
27.2,1,"1",10.48,5.2,0,0.2,4.8,31.8,0,8,2,0,0,27.5,114.75,226.75,0.5,3
9.3,1,"1",15.75,4,0,0.5,8,66.25,0.25,18,2,0,0,29,101.75,197,0.25,2.5
9.1,1,"1",10.775,3.25,0,0.25,9.5,53.75,0.25,21,2,0,0,30.5,118.25,288.75,1,2.25
