"fpts","ha","cond","l5g_avg_fpts","l5g_avg_trg","l5g_pct_pyb","l5g_avg_tdr","l5g_avg_ra","l5g_avg_ry","l5g_pct_ryb","l5g_avg_recy","l5g_avg_rec","l5g_pct_recyb","l5g_avg_tdrec","l5g_oppdef_ptsa","l5g_oppdef_rya","l5g_oppdef_pya","l5g_oppdef_fumforc","l5g_oppdef_sacksforc"
7.6,1,"1",5.15,1.75,0,0.25,3.75,24,0,37,3,0,0,6,69.6,157.6,0.2,3.4
7.9,0,"1",5.78,1,0,0,6.2,36.4,0,30,3,0,0,22.8,164.8,206,0.6,1
7.4,1,"1",6.68,1.2,0,0,7,39.8,0,11,2,0,0,23.2,127.2,196,0.4,2.2
13.3,0,"1",5.375,1.5,0,0.25,6.25,25.75,0,0,0,0,0,27.6,127.4,220,0.2,1.6
9.7,1,"1",5.28,1,0,0.2,8.4,34.8,0,14,2,0,0,18.75,76.5,271.25,0.5,3.5
8.3,0,"1",5.82,1,0,0.2,7.4,39.4,0,13,1,0,0,15.6,89.8,178,0.4,2.2
13,1,"1",7.4,1,0,0.4,7.6,38.6,0,17,1,0,0,30.4,95.4,258.4,1.2,2.4
7.7,0,"1",7.34,1.2,0,0.4,7.6,32.6,0,23,1,0,0,27.8,135,189.4,0.4,1.8
23.2,1,"1",15.9666666666667,7.33333333333333,0,0.333333333333333,6,30.6666666666667,0,93,6,0,1,26,124.25,245.5,0.5,2.5
9.3,1,"1",17.8,8.66666666666667,0,0,5,24.6666666666667,0,39,4,0,0,27.25,169,254.25,1.5,2.25
9.8,0,"1",7.9,5,0,0,5,23,0,34,4,0,0,20,85,217.5,0.25,1.5
7.8,1,"1",8.85,6,0,0,5.5,23.5,0,11,4,0,0,20.5,126.5,207.5,0.25,3
12.4,0,"1",7.1,4.5,0,0,4.75,22,0,9,2,0,0,19,125.25,183.75,0.75,2.5
7.2,0,"1",7.92,3.4,0,0,9.6,42.4,0,4,2,0,0,25.8,174.2,270.8,1,2
15.1,1,"1",11,3.75,0,0.25,17.75,61.75,0,55,2,0,0,29,123.4,205.8,0.2,2.4
21.2,1,"1",10.825,3.75,0,0.25,15,57,0,37,3,0,0,28.5,179.75,277.5,1.25,2.25
39.4,0,"1",12.975,3.75,0,0.25,14,61.75,0,79,3,0,1,17,102.2,220,1,3.6
58.2,0,"1",20.475,4.5,0,0.5,16.5,82.25,0.25,21,4,0,0,24.75,93.5,232.75,1,1.75
14.9,1,"1",33.475,4.5,0,1.5,20.75,136.75,0.5,51,3,0,0,21.5,93,238.25,1.25,1.5
22.1,0,"1",29.76,4.2,0,1.2,20.4,123,0.4,23,4,0,0,22.75,96.5,209.75,1.25,2.75
20.3,1,"1",31.16,4.4,0,1.2,22.6,135.4,0.6,13,2,0,0,20,111,205.75,0.25,2
12.8,0,"1",30.98,4.2,0,1.4,23.6,128.4,0.6,42,3,0,0,16.6,79.8,202.8,0.2,3.8
25.2,1,"1",25.66,3.8,0,1.2,21.4,112.6,0.4,4,3,0,0,33,130.8,239.8,0.4,2.2
18.9,1,"1",17.38,4.2,0,0.6,20,77.6,0.4,57,7,0,0,21,125.6,197.2,0.4,3
29,0,"1",16.74,4.8,0,0.6,18.8,62.4,0.2,18,4,0,0,16.8,105.2,298.6,0.6,1
13.1,1,"1",13.175,4.25,0,0.25,25,85.5,0.25,24,4,0,0,31.8,110,326,0.8,2.2
10.9,0,"1",6.8,1.66666666666667,0,0.333333333333333,11.3333333333333,35.6666666666667,0,3,1,0,0,26.25,78.75,231,0.5,2
13.8,1,"1",6.6,1.4,0,0.2,11.6,44,0,0,0,0,0,30.4,159.4,274,0.2,1.8
23.1,0,"1",20.875,2.5,0,0.75,19.75,88.25,0.5,35,3,0,0,24.2,127.4,230.6,1,1.8
8.8,0,"1",23.95,2.75,0,0.75,19.25,102.75,0.75,7,1,0,0,21.2,78.2,259.2,0.6,1.2
14.3,1,"1",19.25,2.75,0,0.5,19.25,90.25,0.5,40,4,0,0,25.75,133.5,225.25,0,2
26.5,0,"1",12.875,3,0,0,17.75,75.25,0.25,0,0,0,0,20.25,130.25,205.75,0.25,3
10.8,0,"1",15.6,2.6,0,0,19.6,107.2,0.4,1,1,0,0,25.25,115.5,263.5,0.75,1.5
16,1,"1",13.14,2.6,0,0,18.6,99.4,0.2,5,1,0,0,21,130.5,183.5,0.25,1
15.6,1,"1",14.58,2.8,0,0.2,19,104.2,0.2,5,1,0,0,36.5,168,297.25,0.75,1.25
10.7,0,"1",16.64,2.6,0,0.4,19,114.2,0.2,6,1,0,0,25,136.4,268.2,0.4,1.8
10.5,1,"1",15.92,2.2,0,0.4,19,119.8,0.2,6,1,0,0,23.6,139.6,214.6,0.2,3
17.8,0,"1",12.72,2.6,0,0.6,17,82.6,0,60,7,0,0,21.4,79.2,232,0.8,2.2
13.5,0,"1",11.6,2,0,1,16,33,0,42,3,0,0,15.2,116,247.6,1.4,2.6
10,1,"1",12.55,3,0,0.5,20,48,0,3,2,0,0,19,122.2,265,0.4,3
13.8,0,"1",11.7,2.66666666666667,0,0.333333333333333,21,61,0,23,1,0,0,26.5,90,262.5,1.25,0.75
16.5,1,"1",12.225,2.25,0,0.5,20,57,0,19,2,0,0,24,80.4,263,0.8,2.8
10,1,"1",5.276,1.2,0,0.2,2.2,15.8,0,44,5,0,0,15,75.8,160.6,0.6,2
16.4,1,"1",5.916,1.8,0,0.2,0.8,13,0,62,4,0,1,14.6,113.2,161.8,0.4,1
17.9,0,"1",23.92,5.2,0,1,20.8,92.2,0.6,-2,1,0,0,23.5,138.25,203.5,0.25,2.25
33.4,1,"1",23.68,4.8,0,1,20.4,94.6,0.6,35,5,0,1,17,118.25,173.5,0.75,2.25
42.1,1,"1",24.62,5.8,0,0.6,20.4,97.8,0.6,56,5,0,1,8.25,89,168,0.5,2.75
26.5,0,"1",31.175,5,0,1,22.5,124.5,1,34,4,0,0,18,121.5,189,0.5,3.5
11.3,0,"1",29.975,5.5,0,1,22,111.5,0.75,30,4,0,0,19.2,141.6,227.2,1,3
19.6,1,"1",26.6333333333333,5.66666666666667,0,1.33333333333333,17,76.3333333333333,0.33,7,1,0,0,12.5,111,143.25,0.75,3.25
36.7,0,"1",19.1333333333333,4.33333333333333,0,1,20.3333333333333,71,0,10,3,0,0,21.6,115.2,233.8,0.6,1.6
18.6,1,"1",23.525,5.25,0,1.5,23.25,85,0.25,27,3,0,1,25.6,135,232.4,0.6,1.2
17.7,1,"1",19.375,4.75,0,1,23,80.25,0.25,10,2,0,0,24.4,112.4,197.2,1.8,2.6
18,1,"1",19.92,5.6,0,0.4,18.6,85.6,0.4,14,2,0,0,33,168,200.5,0.5,1
27.6,0,"1",19.24,4.2,0,0.4,20,89,0.6,0,1,0,0,32.4,149.4,254.4,1,1.8
18.3,1,"1",20.52,3.4,0,0.6,20.2,93,0.8,32,3,0,0,18.25,127.25,204.75,0.5,2.25
19.6,0,"1",22.96,3.4,0,0.6,23.2,111.6,1,16,4,0,0,18.75,103.5,238,1,3
45.7,1,"1",20.875,3,0,0.5,25.5,110.75,1,64,9,0,0,27.75,133.75,304.25,1,2
42.2,0,"1",27.8,4.75,0,1,25.25,125,1,48,4,0,0,13.4,157.2,175.6,1.2,3
26.6,0,"1",31.45,6,0,1,24.75,142,1,31,4,0,0,21.25,149.75,225.75,1.75,1.5
11.8,1,"1",33.525,6.75,0,1,25.75,158,1,19,3,0,0,18.8,121.6,169,0.6,1.2
22.5,1,"1",31.575,6.75,0,1,24.75,147.75,0.75,65,8,0,0,23.6,138,205.4,0.6,1.8
15.8,0,"1",29.76,7.2,0,0.8,22.8,134.2,0.6,58,6,0,0,12,78,156.2,1,2.2
7.5,1,"1",23.78,6.6,0,0.4,21.4,109.6,0.4,6,2,0,0,19.8,107.6,170,0.8,1.8
24.3,1,"1",6.66666666666667,1.66666666666667,0,0,13.3333333333333,53.3333333333333,0.33,15,3,0,0,23.5,90.5,293.75,1,2.25
20.9,0,"1",11.8666666666667,1.33333333333333,0,0.666666666666667,14,60.3333333333333,0.33,17,3,0,0,25.2,145.8,215.8,0.2,2
18.1,0,"1",19.1333333333333,2.66666666666667,0,1.33333333333333,21,74,0.33,18,4,0,0,15.8,77.8,243.8,0.6,2.2
21.7,1,"1",18.875,3.25,0,1.25,19.75,71.25,0.25,0,0,0,0,25.25,97.25,285,0,2.25
23.9,1,"1",21.25,3.25,0,1.5,18.5,77.5,0.25,87,11,0,0,20,117,200.5,0.5,2.5
18,0,"1",21.15,6,0,1,17.25,68.5,0.25,10,4,0,0,27,132,262.75,0.25,2
28,0,"1",16.8,5.8,0,0.4,15,70.8,0.2,37,4,0,0,30.2,97.2,253,1.2,2
10.8,0,"1",18.78,5.6,0,0.6,17.8,74.8,0.2,9,1,0,0,15.8,137.2,146.2,0.8,4.2
15.8,1,"1",16.6,5.8,0,0.4,19.6,67.2,0,0,0,0,0,19.8,118.4,183.4,1,2.6
25.4,0,"1",14.98,2.8,0,0.4,22.8,84.4,0.2,14,1,0,0,19.2,82,247.2,1.4,2.4
16,1,"1",15.26,2.2,0,0.8,15.8,76,0.2,36,6,0,0,19.4,104.8,230.2,1,4.6
12.4,0,"1",13.675,3,0,0.5,10.75,59.25,0.25,12,2,0,0,18.75,128.5,216,0.25,1.25
12.8,0,"1",13.85,3.25,0,0.5,11.75,57.5,0.25,2,1,0,0,24.4,106.4,172.2,0,2.6
9.9,1,"1",11.275,2.75,0,0.5,11.5,40.75,0,29,3,0,0,26.4,115.8,247.4,0,2
21.6,0,"1",9.75,2.25,0,0.5,11,34.75,0,5,2,0,0,27.2,91.4,270.8,1.4,3
18,1,"1",12.12,2.4,0,0.8,12.8,42,0,4,1,0,0,18.2,113,196.4,1.4,2.2
18.6,0,"1",14.94,2.2,0,0.8,17,67,0.2,15,3,0,0,15.2,104,203.8,1,1
13.8,1,"1",16.18,2.4,0,0.6,18.2,82.8,0.4,20,1,0,0,21,159.6,174.6,0.4,0.6
23.2,0,"1",16.38,2.4,0,0.6,18.4,81.2,0.4,14,2,0,0,24.4,119.4,275.6,0.8,1.4
9.2,1,"1",5.86666666666667,0.333333333333333,0,0.333333333333333,9.33333333333333,32,0,7,2,0,0,25.25,115,212.5,0.5,3
18.5,1,"1",8.025,1.5,0,0.25,12,49.5,0,30,4,0,0,19.4,101.4,239,0.6,2.8
12.1,0,"1",8.825,2.25,0,0.25,11.5,45,0,23,2,0,1,17.75,111,209,0.75,2.25
7.8,0,"1",11.525,2.75,0,0.25,11.25,46.25,0,0,0,0,0,28,162,264.5,0.75,0.75
9.7,1,"1",11.175,2.25,0,0.5,10,34.5,0,2,1,0,0,16,140,172.5,0.25,1.25
13.7,0,"1",5.025,0.5,0,0.5,4.25,9,0,6,1,0,0,33.4,185.4,176.2,1.4,2
13.1,1,"1",6.5,0.75,0,0.5,4.5,19.75,0,41,5,0,0,28.6,158,233.2,0.6,2.8
11.9,1,"1",6.725,3.5,0,0,1.5,8,0,41,5,0,0,30,116.8,261.6,0.4,1.6
20.7,0,"1",7.44,3.6,0,0,7.8,30.8,0,46,4,0,1,20.5,81.5,268,1,1.75
15.4,1,"1",7.4,2.4,0,0,7.2,29.8,0,89,5,0,0,29.8,142,239.8,0.6,3.2
17.6,0,"1",9.32,3.6,0,0,6,23.8,0,25,3,0,0,27.2,155.6,221.2,0.4,2.6
9.9,0,"1",5.86,4.4,0,0,0.2,1,0,39,6,0,0,22.75,78,343.5,0.5,2.25
8.4,1,"1",8.45,5.5,0,0,1.5,8,0,21,4,0,0,18.5,62.25,224.5,0.25,4.25
20.2,1,"1",6.08,4.4,0,0,0.8,1,0,67,7,0,1,23.8,115.6,217.4,0.6,2.8
10.3,0,"1",9.125,6,0,0,1.25,2.25,0,53,5,0,0,24.75,109.75,214,0.5,2.75
12.8,1,"1",11.1,6.75,0,0,1,1.25,0,59,7,0,0,21,120.25,279.5,0.25,3
9.3,1,"1",11.45,8,0,0,0.75,0,0,43,5,0,0,23,126.25,219,1.25,3.25
12.1,0,"-1",8.725,7,0,0,0.75,-1.25,0,21,4,0,0,26.6,91.6,253.4,0.2,2
18.2,0,"1",9.075,6,0,0,0.5,-0.25,0,62,6,0,1,20.4,90.6,239,0.8,1.4
13.2,1,"1",6.3,1.75,0,0,6.25,33.25,0,19,3,0,1,25.25,162.25,239,0,0.25
12.8,1,"1",9.4,2.75,0,0,7,37,0,48,6,0,0,23.8,82.2,281.6,0.8,1.4
7.8,0,"1",8.5,3.75,0,0,5.75,17.5,0,23,4,0,0,29.6,128,256.6,0.2,1.8
14.2,1,"1",8.46,4.6,0,0,5.8,19.4,0,27,4,0,0,23.5,124.75,236.25,0.5,4
11,0,"1",7.9,3.66666666666667,0,0.333333333333333,4.33333333333333,14.6666666666667,0,38,4,0,0,21.8,91.8,262.6,0.8,3.4
11.9,1,"1",10.7,2,0,0.25,12.5,64,0.25,50,3,0,0,29,75,240,1.25,3.25
19.2,0,"1",7.65,3,0,0,5.5,26,0,14,2,0,0,29.25,154.5,225.5,0.25,2.25
7.7,1,"1",11.3,2,0,1,6.5,25.5,0,34,3,0,0,32.4,119.6,294.8,0.6,0.6
20.4,1,"1",8.275,3.25,0,0.5,5.25,16,0,68,3,0,0,25.2,112.2,210,0.4,1.8
13.7,1,"1",10.7,3.2,0,0.6,6.6,22,0,41,5,0,0,17.8,117.8,237.4,1,1
13.5,1,"-1",5.175,3,0,0,6.25,21,0,84,3,0,0,23,128.8,225.6,0.4,2
11.8,0,"1",7.9,3,0,0,8.2,33.6,0,55,4,0,0,24.8,122.2,272.4,0.2,2.8
48.6,0,"1",20.8,4.66666666666667,0,0.333333333333333,22.3333333333333,99,0.67,31,2,0,1,23.2,128,218.8,0.8,1.2
18.5,1,"1",30.2333333333333,4,0,1.33333333333333,17.6666666666667,105.666666666667,0.67,24,2,0,0,17.5,87.75,262.5,1.75,4
14.4,1,"1",28.6666666666667,3.66666666666667,0,1,16.3333333333333,107.666666666667,0.67,25,4,0,0,21,114,235,0.25,1.75
13.5,1,"1",21.625,3,0,0.75,16,94.75,0.5,63,7,0,0,19.2,118.4,191.8,0.8,2.4
20.7,0,"1",12.85,5,0,0,14,54,0.25,30,3,0,0,19,73.5,251.75,0.25,2
44.9,0,"1",13.4,5.25,0,0.25,13.5,50.5,0,86,3,0,1,18.5,91.75,224.5,0.25,1.75
21.8,1,"-1",21.025,5,0,0.75,13.25,59,0.25,39,4,0,0,30.6,145,262.8,0.6,1.8
11.6,1,"1",21.18,4.8,0,0.6,14.6,71,0.4,31,4,0,0,31.4,142.8,206.8,0.6,1.2
16.3,1,"1",22.56,4.2,0,0.6,18.2,103.8,0.4,2,1,0,0,23.25,126,195.5,0.5,2.75
17.8,0,"1",14.55,7,0,0.25,14.25,50.25,0.25,28,3,0,0,18.6,143.6,203,1,2.6
12.1,1,"1",12.8,3.5,0,0.5,17.25,59.75,0.25,28,4,0,0,28,175.5,259.75,0.25,0.25
20.7,0,"1",14.3,3.5,0,0.5,19.25,67.5,0.25,23,4,0,0,27,118.75,219.25,0.5,3
20.9,1,"1",14.4,4,0,0,11,52,0,39,4,0,0,22.4,140.4,213,0.2,2
7.8,0,"1",17.65,4,0,0,20.5,81,0.5,15,3,0,0,20.6,127.2,192.2,1.2,2.2
7.9,0,"1",14.3666666666667,4,0,0,19.3333333333333,65,0.33,2,2,0,0,21.6,111.6,234.2,0.8,4.2
11.3,0,"1",12.935,2.5,0,0.5,13.25,53.75,0.25,31,3,0,0,11.6,115,198.6,1.6,4
21.8,1,"1",8.58,1.33333333333333,0,0.333333333333333,11,30,0,5,2,0,0,24,106.25,197,0,1.75
10.6,1,"1",9.9,3.25,0,0.25,11.25,37.75,0,6,2,0,0,12.6,96.4,194.6,1,2.4
15.5,1,"1",11.775,4,0,0.25,13.75,54,0,7,4,0,0,22.25,82.75,326.75,0.75,1.5
11.5,0,"1",11.95,5.25,0,0.25,14.25,56.75,0,26,4,0,0,21.25,159.5,212.5,0,1.75
10.7,0,"-1",12.2,5.75,0,0.25,12.75,56.75,0,47,4,0,0,21,104.5,209,0.75,1.25
27.2,0,"1",9.15,3,0,0.25,7.75,28.25,0,10,2,0,0,21.8,96.4,287,0.6,1.6
17.3,1,"1",14.15,3,0,0.5,12.5,58.5,0.25,49,6,0,0,13.4,91.4,178,0.4,3
16.2,1,"1",16.1,5,0,0.25,16,65.75,0.25,5,1,0,0,18.5,127.5,234.5,1.25,2.5
8.8,0,"1",19.375,5.5,0,0.25,20.25,87.25,0.5,26,3,0,0,28.5,80.5,295.75,1.25,2
20.9,0,"1",17.375,4,0,0.25,23.25,91.25,0.5,20,3,0,0,24.8,116.2,267.2,0.4,3.8
11.6,1,"1",18.08,3.8,0,0.2,24.4,98.8,0.6,45,4,0,0,19.4,92.4,215.2,1.4,3.6
10.9,0,"1",14.96,4.6,0,0,20.6,70.6,0.4,6,1,0,0,24.75,124,254,0.25,1.75
14.1,0,"-1",13.68,3.2,0,0.2,19.4,68.4,0.4,0,0,0,0,21.6,94.4,236.2,0.4,2
16.3,1,"1",13.26,3.2,0,0.2,15.8,67.2,0.4,13,2,0,0,18.8,77,248.6,0.4,3.2
10.8,0,"-1",14.76,3,0,0.2,15.6,80.8,0.4,-1,1,0,0,25.8,122.8,268.2,0.2,1.2
18.5,1,"1",12.74,2.6,0,0.2,13.6,74.8,0.2,53,5,0,0,20.6,100.4,274.8,1.2,3.4
8.2,0,"1",10.525,1.25,0,0.25,10.5,76.25,0.25,-2,1,0,0,24.25,115.75,235.75,0.25,2.25
25.6,1,"1",12.425,2,0,0.25,12,93.25,0.25,47,4,0,0,23.75,107.25,250.75,0.5,2.25
32.1,1,"1",18.3,3.25,0,0.25,16.5,125,0.5,36,6,0,0,19.5,114.5,245.25,0.5,2.75
16.5,0,"1",21.06,4,0,0.4,17.2,127,0.6,32,6,0,0,23,152.4,220.4,0.6,2.4
16.8,1,"1",23.34,5,0,0.4,20,134.8,0.6,41,4,0,0,11.6,93,217.4,0.2,3.6
10.7,0,"1",15.025,4.25,0,0.25,15.25,59.25,0.25,4,1,0,0,17.8,119.2,261.4,1.2,1.8
17.5,0,"1",20.2,4,0,1,23,83,0,22,4,0,0,14.6,91.8,204.2,1,3
20.2,1,"1",18.85,5,0,1,22,68,0,31,4,0,0,20,102,161.6,0.2,2.4
12.1,1,"1",19.3,4.66666666666667,0,1,19.3333333333333,72.3333333333333,0,51,4,0,0,24.6,120.4,250.4,0.6,1.2
10.6,0,"1",17.5,5,0,0.75,17.25,64.25,0,10,2,0,0,23.2,98,284.6,0.6,2.4
13,1,"1",18.24,5,0,0.4,16.8,79.8,0.2,21,2,0,0,28,144.75,298.25,1,3.75
11,1,"1",13,2.66666666666667,0,0.666666666666667,11,47.3333333333333,0,19,6,0,0,32.25,116.5,267,0.5,2.5
16.5,0,"1",11.9333333333333,3.33333333333333,0,0.666666666666667,7.66666666666667,34.3333333333333,0,6,1,0,0,22.75,130.75,231.5,0.75,3.5
15.6,0,"1",13.75,4.5,0,0.5,10,60,0,40,3,0,0,11.75,60,193.5,1,2.25
33.2,1,"1",14.3666666666667,4,0,0.333333333333333,11.3333333333333,68.6666666666667,0,39,5,0,0,27.4,102,277.8,0.6,2.8
20.5,0,"1",19.075,4.25,0,1,12.75,67.25,0,9,2,0,0,25.2,206,174.6,0,3
28.3,1,"1",21.45,3.75,0,1,16.25,96,0.25,19,4,0,0,28.2,169.6,240.8,1,3
26.1,0,"-1",24.4,5,0,1,16.75,107.25,0.5,15,3,0,1,29.4,109.8,210.6,0.4,2.2
12.7,1,"1",24.74,4.6,0,1,17.8,105,0.4,39,5,0,0,25,80,243.5,1.25,3.25
29.6,0,"1",27.08,3.8,0,1,26,134,0.8,31,6,0,0,20.75,63.75,255.5,0.25,1.5
23.2,1,"1",27.94,4.2,0,1,27.2,133.4,0.8,4,1,0,0,20.6,125.2,245.8,0.4,2
28.1,1,"1",27.32,4,0,1,27,125.6,0.8,80,4,0,0,31.2,117.4,240.2,0.4,1.2
13,1,"1",27.92,4,0,0.8,26,133.8,1,11,4,0,0,23.5,84,346.5,0.5,1
22.1,0,"1",24.22,4.6,0,0.4,25,119.8,0.8,31,6,0,0,19.8,120.2,217.6,0.6,3
19.3,0,"1",21.6,4,0,0.25,21.25,112,0.5,22,2,0,0,31.25,190.5,239.25,0.75,1.5
23.3,1,"1",20.625,4.5,0,0,20.25,110.25,0.5,40,6,0,0,28.6,92.6,278,1,3.8
40.8,0,"1",19.425,5,0,0.25,20.5,93.25,0.25,49,9,0,0,28.75,96.75,287.5,1,2.25
21.4,0,"1",26.375,6.5,0,0.5,23.75,118.25,0.5,3,1,0,0,26.4,112.2,261,1.4,4.2
11.8,1,"1",26.2,5,0,1,26.75,113.5,0.5,0,0,0,0,21.2,133.6,200.2,0.6,3
24.1,0,"1",23.32,4,0,1,25.8,102.4,0.4,21,3,0,0,27.6,102.8,280.8,1.2,2.2
24.3,1,"1",15.075,5,0,0.5,12.25,32.5,0,14,3,0,0,21.8,81.2,304.2,0.6,1.4
9,0,"1",16.65,4.75,0,0.5,15.75,57.5,0.25,5,2,0,0,21.25,96.75,259.5,0.5,2
28.1,0,"1",16.275,4.5,0,0.5,17,73.25,0.25,78,6,0,0,24,116,237.25,0,2.5
17.9,1,"1",21.6,5.75,0,0.75,19.5,85,0.25,58,6,0,0,26.25,124.5,245.75,0.5,3.75
12.2,1,"1",19.825,5.75,0,0.5,20,79.5,0.25,27,4,0,0,22.25,77.25,271.75,1,1.25
11.9,0,"1",5.1,1.2,0,0.2,8,23.6,0,0,0,0,0,30.8,143.6,273.8,0.6,2
12.5,1,"1",24.86,5.4,0,0.6,18.6,92.2,0.4,0,0,0,0,29.6,114.6,288.4,0.2,1.4
24.7,1,"1",22.22,4.4,0,0.8,20.2,96.8,0.4,20,3,0,0,27,118.4,286.6,0.8,1.4
22.8,1,"1",22.86,4,0,1,22.8,100.4,0.6,5,1,0,0,23.75,104.25,221.5,0.25,2.25
21,0,"1",21.52,3.4,0,1,23.8,102.2,0.6,29,7,0,0,27.8,90,246.8,0.8,2.4
31,1,"1",20.54,4.4,0,0.8,21.6,93.4,0.6,33,2,0,0,24,96.6,215.2,0.4,2.2
16.9,0,"1",22.4,3.8,0,1,19.6,93.8,0.6,9,3,0,1,27,122.25,271.5,0.25,2.5
13.4,0,"1",23.28,4,0,0.8,19.6,94.8,0.6,41,5,0,0,23.5,86.5,252.75,0.25,2.75
15.2,1,"1",20.575,4.5,0,0.5,17.25,71.75,0.25,0,0,0,0,23.25,134.75,210.25,0.75,2.5
19.1,0,"1",19.125,3.25,0,0.5,19,82,0.25,52,5,0,0,20.8,120.8,261.4,0.6,2.2
8,0,"1",16.15,4,0,0.25,19.25,73.5,0,18,2,0,0,24,88.2,223.2,0.6,2
27.5,0,"1",7.025,0.25,0,0.25,2.5,35.75,0,45,4,0,0,24.75,136.5,162,0,1.75
16.5,0,"1",10.98,1.4,0,0.4,10.8,52.8,0,8,3,0,0,24,102.8,232.8,1.6,1.6
34.7,1,"1",14.28,2,0,0.6,14.4,66.2,0,43,6,0,0,24.75,113,203.75,0.5,1
10.7,0,"1",20.52,3.8,0,1,19.4,80,0.2,25,6,0,0,17,93.6,220.8,0.6,3.2
13.8,0,"1",18.52,5.4,0,0.8,21.8,71,0.2,19,4,0,0,18.2,105.6,179.8,0.8,2.4
36.8,1,"1",15.78,5.6,0,0.6,18.4,66.8,0.2,11,3,0,0,20.6,116,217.6,0.8,2.8
25.2,1,"1",22.5,6.4,0,1,21.4,93.8,0.4,26,3,0,0,12.25,102.75,176.5,0.5,1.75
17.2,0,"1",24.24,6.6,0,1,21.2,105.6,0.6,9,2,0,0,19.4,92,211.2,0.4,2.6
22.1,1,"1",20.74,6,0,0.8,19.8,101.4,0.4,30,2,0,0,17.75,75,231.25,1,3.25
9.7,1,"1",5.3,0.5,0,0.5,4.5,14,0,8,1,0,0,29.6,103,263.8,0.8,2.8
7.3,0,"1",9.375,1.75,0,0.25,15.5,58.25,0,43,3,0,0,5,68,191,0.75,2.75
11.2,1,"1",6.95,2.25,0,0,10,30.75,0,20,3,0,0,24.5,134.5,227,0.75,3
8,0,"1",6,2,0,0,8.5,27.75,0,20,3,0,0,17.6,94,178.2,1.2,1.4
11.9,1,"1",6.4,2.4,0,0,8.6,28.2,0,21,3,0,0,17.5,170.25,94.25,0.5,1.5
17.8,0,"1",7.94,2.8,0,0,9,36.6,0,29,5,0,0,24,128,245.8,1,1.4
11.9,0,"1",10.04,3.4,0,0.2,10.8,44.4,0,18,3,0,0,13.4,85.4,188.8,0.2,1.8
11.8,1,"1",12.16,4.6,0,0.4,11.6,44,0,26,4,0,0,16.4,77.4,277,0.8,2.6
30.4,1,"1",8.13333333333333,2.66666666666667,0,0,11.3333333333333,52,0.33,42,6,0,0,11.6,78.6,175.6,1,3.6
27.4,0,"1",5.4,2,0,0.25,7.5,25.5,0,41,4,0,0,25.2,149,181,0.2,2.2
18.9,0,"1",10.925,3.25,0,0.75,12,42.5,0,39,8,0,0,12.25,104,197.75,0.75,2.5
13.2,0,"1",12.68,4.2,0,0.6,13.4,46.2,0,24,2,0,1,14.5,68.25,165.75,0.25,4.25
10.4,1,"1",15.2,4,0,0.6,14.6,51.8,0,26,3,0,0,24.8,124.6,202,0.2,2.4
15.2,0,"1",14.62,4.6,0,0.4,11.6,46.8,0,21,5,0,1,22.5,96.25,287.25,0,1.25
13.3,1,"1",9.62,3,0,0,7.8,29.4,0,12,3,0,0,23.25,102.5,271,0.5,1.75
27.6,1,"1",11.64,3.4,0,0.2,9,32.6,0,30,4,0,0,34.8,196,158.6,1,2
20.9,0,"1",14.52,4,0,0.6,11.6,44.2,0,62,6,0,1,24.6,109.6,199.6,0,1.6
11.9,0,"1",5.32,1.8,0,0,7.2,34,0,23,2,0,0,20.6,61.6,282.8,0.2,2.8
10.9,1,"1",7.3,2.4,0,0,9,45.2,0,43,3,0,0,21,95.4,238,0,3.4
9,1,"1",6.84,2.4,0,0,7.6,35.8,0,-3,4,0,0,26,97.6,326.8,1.6,2.2
15.8,1,"1",8.06,2,0,0.2,9.4,42.6,0.2,10,1,0,0,22.25,100.5,213,1.25,3.25
18.4,0,"1",10.56,2.2,0,0.2,11.4,57.6,0.4,10,2,0,0,32.75,163.25,272.75,0.5,1
20,1,"1",13,2,0,0.4,13,71.4,0.4,10,2,0,0,21.8,118.6,210.2,0.4,1.4
10.2,0,"1",18.975,2,0,1,18,97.25,0.5,47,4,0,0,29.25,122.5,307.75,0.75,1.75
8.4,1,"1",16.1,3,0,0.75,16,71.75,0.25,10,3,0,0,31.25,181.25,239,1,1.5
15.4,1,"1",5.2,1.2,0,0.2,5.6,29.4,0,46,8,0,0,26.25,145.25,220,0.5,1.25
12.1,0,"1",8.26,2.8,0,0.2,8.2,34.8,0,51,5,0,0,29.25,153.5,234.75,0.75,1.5
13.9,0,"1",6.56,2.2,0,0,2.4,10.2,0,46,3,0,1,20.8,146.2,172.2,0.8,2.4
30.2,1,"1",8.96,2.6,0,0,2.6,10.8,0,17,2,0,1,25,125,203.8,0.2,0.8
7.4,1,"1",14.675,5.5,0,0.25,9.25,22.5,0,4,1,0.25,0,8.6,81.8,171.8,1,3.2
18.9,0,"1",12.125,4,0,0,7.25,16.75,0,58,3,0.25,1,21.2,119.2,238.8,1,1.6
7.3,0,"1",8.375,1.5,0,0,2.75,19.75,0,22,5,0,0,27,111.6,187.8,1.4,3.2
8.5,1,"1",9.55,2.5,0,0,3,20,0,31,4,0,0,16.2,98.4,234,0.8,3.4
13.3,1,"1",8.72,3,0,0,4.4,24,0,66,5,0,0,23.75,153.5,253,0.5,1.5
18.3,0,"1",7.6,3.6,0,0,5.2,19.2,0,56,4,0,1,25,144.75,212.75,0,2.75
