"fpts","ha","cond","l5g_avg_fpts","l5g_avg_ints","l5g_avg_tdp","l5g_avg_pa","l5g_avg_py","l5g_avg_pc","l5g_pct_pyb","l5g_avg_sacks","l5g_avg_fuml","l5g_avg_rec","l5g_oppdef_ptsa","l5g_oppdef_rya","l5g_oppdef_pya","l5g_oppdef_fumforc","l5g_oppdef_sacksforc"
19.04,0,"1",16.07,1.25,1.25,36.75,229.25,18.75,0.25,1,0,0,28.75,162,174.75,0.5,1.5
15.16,0,"1",14.615,1.75,1.5,33.25,227.25,19.5,0.25,3,0,0,20.8,116.2,171.6,0.4,1.2
10.38,0,"1",12.56,1,1,22,179,13,0,5,0,0,29.4,121,265.2,0.8,3
10.16,0,"1",9.92,1.66666666666667,0.666666666666667,31.3333333333333,201.333333333333,18.3333333333333,0,4,0,0,19.6,95.8,290.4,0.6,1.8
14.46,1,"1",13.776,1,1.2,31.4,209.4,18.6,0.2,0,0,0,27.2,148.4,254.2,0.8,1.8
11.02,0,"1",12.38,1.25,1,33.25,224.5,20.25,0,1,0,0,17.75,106.75,269.25,0.5,2.75
21.08,0,"1",14.44,1.25,1.5,32.5,227.25,20.5,0,1,0,0,25.5,159.5,281.5,0.25,1.75
10.8,1,"1",14.93,0.75,2,33.25,207,21.5,0,0,0,0,18,76.4,206.4,0.2,3.2
19.12,0,"1",14.34,1,2,32.5,204.75,20,0,2,0,0,19,107,180.2,0.4,3.2
16.1,1,"-1",15.505,1.75,2,35.75,232,19.75,0.25,2,0,0,15.2,150.2,141.6,0.4,1.2
10,0,"1",15.624,1.4,1.8,34.8,239.6,20,0.2,3,0.2,0,16.5,77.25,197.75,0.5,1.75
10.76,1,"1",15.42,1,1.6,33.8,233,18.6,0.2,1,0.2,0,11,77.25,171.5,0.5,3.75
18.96,1,"1",12.188,0.8,0.8,30.8,229.2,17.4,0.2,2,0.4,0,18.4,108.6,214,0.6,2.8
10.98,1,"1",12.156,0.2,1,28,185.4,16.2,0,1,0.4,0,14.8,89.4,159.2,0,3.6
