"fpts","ha","cond","l5g_avg_fpts","l5g_avg_ints","l5g_avg_tdp","l5g_avg_pa","l5g_avg_py","l5g_avg_pc","l5g_pct_pyb","l5g_avg_sacks","l5g_avg_fuml","l5g_avg_rec","l5g_oppdef_ptsa","l5g_oppdef_rya","l5g_oppdef_pya","l5g_oppdef_fumforc","l5g_oppdef_sacksforc"
21.04,1,"1",11.272,1,1,30.6,207.8,18,0,0,0.2,0,23.75,145,174.75,0.25,2.75
28.98,0,"1",13.496,1.4,1.6,32.2,218.4,20,0,3,0.2,0,15.8,118.2,154.6,0.6,2.6
15.98,0,"1",17.916,1.4,2.2,32.2,245.4,21.8,0.2,0,0,0,13,63.6,195,1.2,3.8
19.28,0,"1",18.608,0.4,2.2,32.8,260.2,23.2,0.2,1,0.4,0,25.2,116.8,201,0.8,3.4
11.88,1,"-1",19.224,0.2,2.2,32.6,258.6,23.4,0.2,2,0.2,0,18.75,88,205,1,3.75
19.48,1,"1",16.244,0.4,1.6,31.8,236.6,22.2,0,2,0.2,0,18.75,115.5,185.5,1,3.25
17.32,0,"1",16.448,0.6,1.6,34,250.2,23.4,0,2,0.2,0,14.2,103.4,126,0.6,2.8
22.5,1,"1",16.99,0.75,1.75,32.25,246,22.25,0,1,0,0,21.5,89.25,157.5,1,2.75
28.48,1,"1",17.795,1,1.75,33.5,261.75,21.75,0.25,0,0,0,18.8,112,188.8,0.6,2.6
20.78,0,"1",21.945,0.75,2.5,32,280.5,22,0.5,1,0,0,18.4,85.8,213.4,1,2.4
19.76,0,"1",19.395,0.75,2.25,33.25,239.25,20.5,0.5,2,0,0,21,146.6,200,0.8,1.2
16.04,1,"1",19.468,1,2.4,34.4,246.2,22,0.4,2,0,0,29.6,134.4,294.8,0.6,1.4
14.54,0,"1",13.045,1,1.5,30,229.25,18.75,0.25,2,1,0,22.75,164.75,166,1,1.75
18.2,1,"1",15.685,1,1.75,34.5,262.75,21.5,0.25,2,0.75,0,18.2,88.4,216.6,0.8,2.4
18.34,1,"1",14.94,0.5,1.75,34.25,234.75,21.25,0,2,0.75,0,24.5,123,231,1.25,2.5
8.26,0,"1",14.72,0,1.25,36.75,253,22.75,0,2,0.75,0,17.75,91.75,241,0.75,1.25
31.9,1,"1",14.835,0.5,1.5,34.5,240.25,20.75,0,3,0.25,0,22.2,95.8,224,0.8,4
20.9,0,"1",18.248,0.4,1.8,36,280.2,22.8,0.2,1,0.4,0,27.75,131.25,197.5,0.75,2.5
21,0,"1",19.52,0.6,2.2,33,283,20.8,0.2,1,0.4,0,19.8,132.4,189.6,0.6,1.8
13.06,1,"1",20.08,0.8,2.4,31.6,290,21.2,0.2,2,0.4,0,15.6,84.2,197.6,0.6,4
13.88,1,"1",19.024,0.8,2.2,30.8,283.6,20.6,0.2,0,0.2,0,18.8,145.4,120.4,0.4,2.6
7.14,0,"1",20.148,1,2.4,31.2,304.2,22.2,0.2,4,0.2,0,24.4,196.2,132.4,0.6,1.6
12.96,0,"1",15.196,1,1.8,28.4,251.4,18.8,0,2,0.2,0,29,140.6,201.8,0.2,1.4
17.74,1,"1",13.608,1.2,1.6,32,238.2,20.2,0,0,0.2,0,14.2,79.2,206.8,0.6,2
19,0,"1",20.435,1.5,2.5,40,292.75,25.25,0.5,4,0,0,16.6,128,173.6,1,3
11.04,1,"1",21.245,2,2.5,42.75,324.25,26.75,0.75,1,0.25,0,23.2,133,232.6,0.4,1.2
12.4,1,"1",13.995,1.75,1.25,35.5,280.5,22,0.5,0,0.25,0,17,76.75,188.25,0.5,2.25
17.34,0,"1",12.95,1.25,1.25,32.5,246.25,21,0.25,0,0.25,0,14,90.75,232.5,0.75,1.25
10.56,0,"1",14.945,1,1.5,33.5,255.5,22.25,0.25,3,0.25,0,16.75,79.25,162.75,0.25,3
16.06,1,"1",14.068,0.8,1.2,33.8,258.2,22.4,0.2,1,0.2,0,21,101,182.75,0.75,2.5
21.32,1,"1",13.48,1.2,1.2,35.6,260,24.6,0.2,1,0,0,22.8,110.2,167.8,1.2,3.2
7.12,0,"-1",15.536,1.2,1.6,39,271.4,28.2,0.2,1,0,0,13.4,79.4,124.8,1.4,2.6
14.18,0,"1",11.664,1.4,1,39.6,250.6,26,0.2,0,0,0,25.2,121.4,227.8,0.8,2.6
25.54,0,"1",10.496,1,1,32.6,204.4,20,0,0,0,0,25,166.8,178.4,0.8,3.6
12.56,1,"1",14.968,1.2,1.4,33.6,223.2,19.4,0,1,0,0,24,142.6,222.2,1.2,0.8
29.32,1,"1",16.264,1,1.6,34,225.6,19.8,0,0,0,0,19.5,92.5,234.75,0.75,2.5
13.96,1,"1",18.43,0.75,2.25,33.5,248.25,21,0,1,0,0,21,116.5,222,0.75,2.25
17.98,0,"1",15.69,0.25,1.75,30.5,223.5,20.25,0,3,0,0,21.75,151.25,199.75,0.75,2.5
9.9,1,"1",17.045,0.25,1.5,27.25,210.5,18,0,3,0.25,0,28.75,141.75,253.25,0,2
8.5,1,"1",12.19,0.25,0.5,27.25,179.75,16.25,0,2,0.25,0,29.4,116,308.8,1,0.8
8.76,0,"1",11.452,0.6,0.6,27.6,187.8,16.4,0,1,0.4,0,14.75,64.75,205.75,1,2.25
23.56,0,"1",10.412,0.6,0.6,26,161.8,15.4,0,2,0.4,0,16,96.6,251,1.2,1.8
11.76,1,"1",13.74,0.8,1,28,189,17.2,0.2,1,0.4,0,33.6,203.2,208,1.4,1.6
35.48,0,"1",12.42,1.25,1.25,36,235.5,20.25,0.25,3,0.5,0,17.2,89.2,245.2,0.6,1.8
13.54,1,"1",19.645,1.25,2,39.75,296.75,25.25,0.5,0,0.5,0,28.75,103.75,243.75,0.5,2.75
15.92,1,"1",20.88,1,2.25,40,287,24.75,0.5,4,0.5,0,17.25,60.5,261.25,1,2.25
13.68,0,"1",18.9,1.25,2.25,40,256.25,24,0.25,3,0,0,19,133.25,190,0.5,2.5
14.4,1,"1",19.655,1.25,2.25,41.5,277,26.5,0.25,2,0,0,21,149,215.25,0.75,1.75
15.96,1,"1",12.688,1.8,1.8,37.6,212.2,21.2,0,3,0,0,14.75,109.75,229.5,1.5,2
8.26,1,"1",11.012,2,1.4,35.8,216.8,22,0,0,0,0,19.2,155.2,196.6,0.6,2.4
26.66,1,"-1",9.928,1.4,1,32,200.2,18.6,0,0,0,0,12.6,90.6,143.6,0.4,3.4
14.5,0,"1",12.38,1,1.4,29.4,208,18,0,0,0,0,17,79.8,238.8,0.2,1.6
16.16,0,"1",10.61,3,1.5,28,224,13.5,0.5,1,0,0,29.75,140,187,0.75,2.25
17.06,0,"1",12.46,2.33333333333333,1.66666666666667,25.3333333333333,249,13.6666666666667,0.33,4,0.333333333333333,0,34.5,118.25,274,1.25,2.75
13.04,1,"1",13.61,1.75,1.5,24.75,227.75,14.5,0.25,4,0.25,0,18.75,70.75,263.5,1,1
17.12,0,"1",17.21,1.25,1.5,28.75,274,17.75,0.5,2,0.25,0,12,73.8,236,0,2.4
7.08,0,"1",17.192,1.2,1.6,31.2,273.8,18.2,0.4,1,0.2,0,24.2,109.6,298.2,0.2,1.8
21.68,1,"1",14.092,1.4,1.2,32.6,256.8,19.2,0.2,3,0.2,0,31.6,134.4,233.8,0.8,2.2
9.48,0,"1",15.196,1.2,1,36.6,270.4,22.8,0.4,0,0,0,20.2,124.6,172.2,0.6,3.6
26.28,1,"1",13.68,1.6,1,37.2,285,22.6,0.4,0,0,0,18.4,122.6,211.4,0,2.8
18.12,0,"1",16.36,0.5,1.25,40.5,270.25,24.75,0.25,3,0,0,18.6,143.6,203,1,2.6
20.32,1,"1",16.42,0.75,1.25,37.25,284.25,22.5,0.5,2,0.25,0,28,175.5,259.75,0.25,0.25
14.26,0,"1",16.345,0.75,1.25,36.75,265.5,23,0.25,0,0.5,0,27,118.75,219.25,0.5,3
31.86,1,"1",15.195,0.75,1,35.25,265.5,20.5,0.25,2,0.5,0,21.5,115.25,275,0.5,1.25
22.72,0,"1",21.14,1.5,2,42,318.5,25.5,0.5,3,0.5,0,23.25,185,197.75,0.5,1
19.68,1,"1",21.456,1.4,2,42.6,328.4,26.2,0.6,3,0.6,0,25.5,148,338.5,0.5,2.25
23.34,1,"1",19.072,1.6,2.2,41.6,289.8,24.6,0.6,1,0.4,0,17,92,185.75,1.75,2.5
17.82,1,"1",20.888,1.6,2.2,46.8,318.2,28.6,0.8,1,0.4,0,18.4,83.4,209.6,0.2,3.8
7.68,1,"1",18.08,1.2,1.8,40.6,290,24.6,0.6,0,0.6,0,22.4,140.4,213,0.2,2
15.92,0,"1",10.7,1.8,1,36,237,21.2,0.2,1,0.2,0,19.6,95.6,231.6,0.8,2.8
12.82,1,"1",9.668,2,1,36.2,231.2,21,0,7,0,0,17.4,96.2,202.2,1.2,3.2
13.78,1,"1",9.488,2.2,1,37.4,233.2,22.6,0,3,0,0,27.5,114.75,226.75,0.5,3
14.44,1,"1",11.805,2,1.5,33,225.75,21.75,0,1,0,0,29,101.75,197,0.25,2.5
27.46,0,"1",14.24,1.5,1.75,34,242.25,22,0,3,0.25,0,32,146.5,256.75,1.5,0.5
23.56,1,"1",17.125,1,1.75,34.25,272.5,23.25,0.25,3,0.25,0,30.5,118.25,288.75,1,2.25
21.98,0,"1",19.81,0.5,2,32.25,286.5,22.25,0.5,5,0.25,0,16,148,280,0.5,2.25
14.66,1,"1",21.86,0.75,2.25,38,319,25,0.75,1,0.5,0,20,96.25,288,1,3
13.14,0,"1",20.42,0.6,2,36.8,309,25.4,0.6,2,0.4,0,30.2,112,241.2,0.2,1.8
25.18,1,"1",15.232,1.2,1.6,33,258.8,22,0.4,1,0.2,0,14.8,80,190.2,0.2,2.8
17.7,1,"1",27.06,0,2,37,304,24,1,1,1,0,27.2,116.2,224.4,0.4,3
16.12,0,"1",17.7,0,2,44,250,28,0,1,0,0,28.75,139.25,236.25,0.5,0.75
24.16,1,"1",16.91,0.5,2,37.5,251.5,25,0,0,0,0,22,129.5,281.25,1,4
19.76,0,"1",19.3266666666667,0.333333333333333,2,39,277.333333333333,23.3333333333333,0.33,2,0,0,19.6,118.2,229.6,0.8,1.4
7.74,1,"1",19.435,0.5,2.25,37.75,270.25,23,0.25,3,0,0,27,126,248.6,1.2,2.6
19.74,0,"1",21.748,0.6,2.6,29.6,263.2,19.2,0.6,1,0,0,19,101.2,257,0.6,3.2
19.2,1,"1",19.96,1,2.2,32.2,286,21.2,0.6,2,0,0,28.6,100.4,313.4,0.2,2.8
32.56,0,"1",19.56,0.8,1.8,33.2,304,21.8,0.6,1,0,0,27.4,148.2,259.4,0.4,1
25.32,0,"1",22.46,0.75,2.5,31.5,307.75,20.75,0.5,3,0,0,17.25,109,182.5,0.25,3.5
27.58,1,"1",24.205,1,2.5,40,358.25,25.25,0.75,2,0.5,0,12.75,95.25,203.5,0,2.75
17.44,0,"1",26.165,1,3.25,36.5,332.25,23,0.75,1,0.5,0,23,163.75,235.25,0.25,2.25
25.24,0,"1",25.725,1,2.75,39.25,331.25,24,0.75,2,0.5,0,22.2,115.4,214.2,0.4,1.4
23.7,1,"1",23.895,0.75,2.25,39.75,326.75,24.75,0.75,2,0.5,0,22,132.4,222.6,0.4,1.8
14.96,0,"1",23.856,0.6,2.2,38.8,323.4,24.8,0.8,2,0.4,0,31.6,150.4,266.8,0.4,2.4
16.6,1,"1",21.784,0.4,1.8,35.6,305.6,23,0.6,2,0,0,16,117.6,198.6,0.4,3
7.16,1,"1",19.588,0.2,1.4,34.8,295.2,22.6,0.4,2,0,0,15.8,63.8,217.4,0.2,2
12.42,1,"1",17.315,1.25,1.5,38.5,288.5,22.75,0.25,0,0.25,0,27.2,70.2,302.4,0.4,2.4
17.48,1,"1",15.685,1.25,1.25,37.75,274,22.5,0.25,4,0.25,0,17,77.75,223.75,0.25,2.75
29.52,0,"1",13.225,1.25,0.5,42.25,282.5,25.25,0.25,8,0.25,0,32,82.25,324,0,2
20.64,1,"1",19.8066666666667,0.333333333333333,1.33333333333333,43,306,29,0.67,2,0.333333333333333,0,38.25,246.75,220.5,0.5,1.75
15.02,0,"1",20.015,0.75,1.25,44.5,323.5,29.25,0.75,4,0.5,0,22,121.5,214.25,0.75,0.75
20.56,0,"1",20.665,1.25,1.5,45.5,319.75,28.5,0.75,2,0.5,0,29.25,117.75,278.75,0.75,3
26.9,1,"1",21.435,1.5,2,44.5,306.5,27.5,0.5,2,0.5,0,25.5,112.25,269.25,0.5,2.25
9.06,0,"1",20.78,1.25,2,44.5,290.75,26.25,0.25,3,0.25,0,23.8,123.8,258.8,0.6,1.8
23.72,1,"1",18.436,1.4,1.8,42.4,260.4,24.6,0.2,1,0.4,0,22.6,83,217.6,0.2,3
15.26,0,"1",19.052,1,2,40.6,248.8,24.2,0.2,1,0.2,0,15.4,93.2,194,0.4,1.4
21.2,0,"1",19.1,0.6,1.8,38.2,266,23.4,0.2,1,0.2,0,32.6,111.4,263,0.4,2
19.96,1,"1",6.69,0.75,0.5,19,147.25,12,0,2,0,0,34.5,101.75,291.5,0.25,1.75
12.22,1,"1",11.065,0.75,0.75,23.75,218.5,17.25,0.25,1,0,0,20.8,131.8,206.6,0.6,1.8
22.22,0,"1",14.3,0.75,1.25,29.5,256.25,21.5,0.25,2,0.25,0,23.75,83.75,309.25,0.25,1.5
25.26,0,"1",15.32,0.25,1,29.75,231.75,22,0.25,1,0.25,0,24.4,100.6,239.6,1.6,3
17.52,1,"1",17.308,0.4,1.6,29,231.2,21.8,0.2,1,0.2,0,20.5,126,202.25,0.5,0.75
16.9,0,"1",16.82,0.4,1.6,28,202,20,0,3,0.2,0,18.6,108.8,203,0.6,2.6
14.16,1,"1",17.756,0.4,1.6,29.6,218.4,20.6,0,3,0,0,24,107,232.5,0.75,2.25
12.28,0,"1",16.144,0.4,1.6,28.2,216.6,18.8,0,1,0,0,25.6,136,248.8,1.2,2
23.4,0,"1",17.224,0.4,1.8,29.4,224.6,19.8,0,0,0,0,19.4,130.4,240.4,0.8,1.8
24.14,1,"1",16.852,0.2,1.6,30.8,235.8,20.2,0,1,0,0,15.4,101.6,161.2,1.4,2.8
22.76,0,"1",13.25,1.5,2,34.5,217.5,20.5,0,0,0.5,0,19.25,153.5,142,0.75,1.5
20.96,0,"1",16.42,1,2,32,234.666666666667,19.6666666666667,0,3,0.333333333333333,0,22.25,135.25,165.5,1.25,2.5
11.44,1,"1",17.555,0.75,2.25,27.5,230.75,17.5,0,2,0.25,0,21.75,96.75,210,0.75,0.5
14.84,1,"1",16.332,0.8,2,29.8,231.8,19,0,2,0.2,0,14.5,66.5,201.5,1,2.25
15.16,1,"1",11.3,0.8,1.2,26,197,16.8,0,4,0.2,0,13.4,82.6,181.4,0.6,2.4
14.84,0,"1",10.14,1.8,0.6,31.8,199,19.4,0,4,0.2,0,18.6,104.6,185.2,1.4,3.4
12.68,1,"1",14.04,0.5,1.25,30.75,231,21.75,0.25,0,0,0,27.4,110.6,209.6,0.2,2
13.98,0,"1",13.07,0.5,0.75,31.25,231.75,21.75,0.25,0,0,0,14.75,86,225,0.5,4.25
21.76,1,"1",11.96,0.5,0.25,31.5,207.75,21,0.25,1,0,0,17.6,130.4,165.6,0,1.8
8.04,0,"1",13.92,0.4,0.8,29,204,19,0.2,1,0,0,18.8,105.8,168.4,0.6,2.8
15.8,1,"1",14.9,0.5,2,17,165,9,0,1,0.5,0,24.6,98,277.8,0.4,0.8
22.02,1,"1",9.48,2,1,29,172,18.5,0,0,0,0,28.8,146.4,246.6,1,2
9.78,1,"1",13.66,1.33333333333333,1.66666666666667,27.3333333333333,199,18.3333333333333,0,3,0,0,18.8,78.6,229.6,1,3
14.94,0,"1",12.69,1.5,1.5,29.5,212.25,19.25,0,6,0.25,0,21.8,127.8,169.2,0.6,1.8
14.9,1,"1",12.868,1,1.2,27.8,212.2,18.4,0.4,2,0.4,0,18.2,94.6,172.2,0.8,2.6
9.76,1,"1",11.156,1,1.2,27,183.4,17,0.2,2,0.2,0,29.8,96.2,262.6,1.4,1.2
9.12,0,"-1",6.105,1.5,0.75,24,135.75,13.5,0,1,0,0,12.5,60.25,235.25,1.25,2.5
15.52,1,"1",5.645,1.5,0.5,29.5,156.75,17,0,1,0,0,16.6,105.8,180.8,0.4,1.6
14.52,0,"-1",7.085,1.25,0.5,31.75,180.25,19,0,0,0,0,24.8,133.4,160,0.6,3.2
7.98,1,"1",10.41,1.25,1,33.5,219,22.5,0,5,0,0,19.2,178.6,195.2,1.6,2.2
18.66,0,"1",9.924,1.4,1,33.8,211.6,22.4,0,2,0.2,0,23.2,32.2,259.2,1.8,1.2
16.08,0,"-1",11.832,1.4,1,35,245.8,23.8,0.2,1,0.4,0,15,102.4,180.2,1.8,4.6
10.28,1,"1",14.552,1,1.2,33.8,260.8,22.8,0.2,1,0.4,0,22.2,138.6,138.6,0.6,2.4
23.58,0,"1",10.42,1.5,1,29.5,193,19.75,0,2,0,0,34,159.5,257.5,0.5,1.75
11.06,0,"1",7.76,0,0,38,184,25,0,6,0,0,25.8,135.6,215.4,0.6,1.8
17.48,0,"1",10.895,0.25,0.75,28,204.25,18.75,0,2,0,0,32.5,141.25,195.5,0.5,1.25
16.3,1,"1",11.255,0.25,0.75,23.5,213.25,17,0,1,0,0,19.25,68.25,171.25,0,2.5
19.06,1,"1",14.06,0.5,1,27.25,259,20.5,0,1,0,0,23,116,200.75,1,1.25
9.14,0,"1",16.565,0.5,1.25,29.75,281,21.75,0.25,3,0,0,27.75,195,183.25,0.75,3
10.46,1,"1",15.08,0.6,1,31.8,281,22,0.2,2,0,0,26,133.6,277,0.6,2
7.66,1,"1",14.488,0.8,1,33.2,277.2,22,0.2,3,0,0,23.4,196,187.2,0.6,1.8
33.34,1,"1",12.524,0.6,0.6,32.6,254.6,21.4,0.2,2,0,0,17,89,206.8,0.8,2.4
8.14,0,"1",15.932,0.6,1,33.8,263.8,21.4,0.4,0,0,0,33.2,167.4,216.4,0.8,1.4
11.24,0,"1",13.748,0.6,0.8,32.4,234.2,19.6,0.2,1,0,0,23.2,128.4,207.8,1,1.6
14.64,1,"1",14.168,0.4,1,30.2,214.2,19.6,0.2,1,0,0,19.4,93.4,251.8,0.6,2.2
19.2,0,"1",15.004,0.2,1.2,26.8,203.6,17.6,0.2,0,0,0,28.6,127.6,256.6,0.8,0.6
15.2,0,"1",17.312,0.4,1.8,29.2,215.8,19.6,0.2,1,0,0,22.2,118.2,232.4,1,1.2
13.84,0,"1",10.31,1,1,24.5,159,11,0,4,0,0,25,142.6,197,0.4,1.8
7.3,0,"1",11.4866666666667,0.666666666666667,1,25.6666666666667,184.666666666667,13.3333333333333,0,3,0,0,20.5,131.75,261.75,0,2
17.54,1,"1",10.44,0.75,0.75,27.75,186,14,0,5,0,0,25,145.75,179,0.5,2.5
12.34,0,"1",13.635,1.5,1.25,31.75,214,16.5,0,4,0,0,16.5,67.25,210.25,0.5,1.5
26.44,1,"1",12.755,1,1,30,205.75,17.5,0,3,0,0,21,124.2,219.4,0.2,2.8
14.2,1,"1",14.104,1.8,1.6,32,216.6,18.4,0.2,4,0.4,0,20.25,89.75,357,0.25,1.75
23.1,0,"1",14.996,0.4,1.2,31.6,216.4,21.8,0,4,0.4,0,29.4,89.8,328.6,1,1.6
13.24,1,"1",14.64,1.2,1.4,33.2,194,21,0.2,3,0.2,0,21.25,91.25,282.5,0.5,1.5
18.54,1,"1",11.82,1.6,1.2,32.4,195,19.6,0.2,1,0.2,1,18.5,110.25,215.5,0.5,2.25
7.96,0,"1",9.28,1,1,26.5,148.25,15.5,0,2,0,0,18.8,126.6,206.4,1.4,2
7.56,0,"1",10.64,0.75,1,33,173.5,19,0,0,0.25,0,22.5,93.75,265,1,2.5
11.84,0,"1",8.925,1,1,29.25,147.5,17.25,0,2,0.25,0,18.6,118.8,207,0.4,3.6
14.76,0,"1",7.25,1,0.5,27.25,125,15.5,0,1,0.25,0,27.4,108.2,298.6,1.2,3.4
22.96,1,"1",8.752,0.8,0.6,27.8,134.8,15.6,0,1,0.4,0,18.4,137.6,164.2,0.2,2.6
15.6,1,"1",22.72,1,0,42,228,25,0,3,1,0,18.25,70.5,220.75,1,4.25
19.34,0,"1",15.6,0,0,21,145,14,0,2,0,0,26.2,138.2,293.4,0.8,1.8
14.26,1,"1",17.47,0.5,0.5,29,190.5,19.5,0,1,0.5,0,35.25,93.5,266,0.25,1.5
12.82,0,"1",13.34,1,1,25.25,171,17.25,0,6,0.5,0,25,130.6,200.6,0.2,2.8
14.18,1,"-1",9.34,0.5,1,30,166,15.75,0,2,0.5,0,16.75,143.25,222,0.75,2.25
18.32,1,"1",7.62,0.5,1,12.5,90.5,8.5,0,3,0,0,23.4,108.6,270.6,0.6,2.2
21.7,0,"1",9.88666666666667,1.33333333333333,1.33333333333333,26.3333333333333,168,14.3333333333333,0,2,0.333333333333333,0,31.6,99.8,286.4,1,1.4
27.04,1,"1",12.84,1.25,1.5,30.25,204.75,17.75,0.25,2,0.25,0,16.6,103.6,216,0.6,2.4
9.4,1,"1",18.12,0,2,41,243,23,0,2,0,0,22.4,110.4,217.6,0.2,2
17.12,1,"1",13.76,1,1.5,42.5,239,23,0,1,0,0,19.4,130.8,238.6,1.6,1.8
9.36,1,"1",7.06,1,0.5,22,166.5,13.5,0,6,0.5,0,20.5,66,254.5,1.25,3
23.66,1,"1",7.82666666666667,1.33333333333333,0.666666666666667,28.6666666666667,197.333333333333,17.3333333333333,0,0,0.666666666666667,0,22.4,143.2,147.8,0.2,2
7.68,1,"1",12.025,1.25,1.25,31,230,18,0,4,0.5,1,9.6,96.8,135.8,0.6,3.4
8.62,0,"1",11.156,1,1,30.8,224.4,18.2,0,1,0.6,0,21,156.75,180.25,0.75,2
15.6,1,"1",6.108,0.2,0.2,26.2,147.2,16.6,0,2,0.4,0,18.8,123.2,163.2,0.6,1.8
13.92,1,"1",8.484,0.4,0.6,30.8,180.6,20.2,0,1,0.4,0,21,124,201.8,0.2,0.8
10.02,1,"1",6.38,0,1,3.5,22,2,0,3,0.5,0,25.6,140.2,243.8,0.4,1.2
16.98,1,"1",6.16,1.75,0.75,32.25,164,16.5,0,0,0.5,0,27,108.75,223,0.5,1.5
12.64,1,"1",7.395,1.5,0.75,32.75,159.25,16.75,0,4,0,0,17.5,119.75,197,1,3.25
19.14,0,"1",9.32,1,0.5,31.75,145.5,15,0,8,0,0,25.8,125.2,262,1,1.8
15.22,0,"1",13.67,0.75,0.5,28,166.75,14.75,0,0,0,0,28.6,146.6,161.2,0.8,3
21.78,1,"1",15.995,0.75,0.75,30.25,165.5,16.25,0,1,0,0,16.4,83.2,186,0.4,2.8
12.82,1,"1",17.195,0.75,0.5,32.75,199.25,16.75,0.25,0,0,0,19,126.8,223.6,0.6,0.8
7.36,0,"1",18.445,0.25,1.75,33.75,251.75,22.75,0.25,5,0,0,24.4,130.2,261.6,1,2.2
9.12,1,"1",15.48,0.25,1.25,30,227,20,0.25,0,0,0,11.75,81.25,199.25,0.75,4.25
11.78,0,"1",14.61,0.75,1.25,28.5,214,18.75,0.25,3,0.25,0,16,88.5,262.25,1.25,1.5
15.16,0,"1",11.545,0.75,1,31.75,189.25,21,0,2,0.25,0,20,107,271.25,0,1.25
9.24,1,"1",12.268,1,0.8,34.8,224.2,22.2,0.2,2,0.2,0,27,83.8,267.6,0.4,3.4
16.92,0,"-1",10.532,0.8,0.4,35.4,222.8,22.2,0.2,2,0.4,0,20.8,110,288,0.6,3.4
18.46,1,"1",12.444,1.2,0.8,40,230.6,24.6,0.2,4,0.4,0,32.6,113,263,0,1.8
19.62,0,"1",14.312,1,0.6,41.6,253.8,26.2,0.2,1,0.2,1,20.75,125,263.25,0,1.5
20.06,1,"1",15.88,1.6,0.6,44.8,275,27,0.4,4,0.2,0,26.5,96.5,273.75,0.25,2
14.6,0,"1",16.86,1.4,0.8,44.6,265,28,0.4,1,0.4,0,16.8,74.6,257.4,1,2.2
11.78,1,"1",17.932,1.6,0.8,45.8,252.8,27.4,0.4,0,0.2,0,13.2,86.6,239.8,1.2,3.4
19.1,1,"1",16.904,1.4,0.6,41.6,239.6,25.4,0.4,2,0.2,0,18.4,76,260,1,2.8
14.68,1,"1",8.73,0,0,17,74.5,9.5,0,0,0,0,22.8,131.4,216.2,0.8,3
9.42,1,"1",14.32,0.5,1.5,22,185.5,12.5,0,3,0,0,33.8,128.6,308.8,0.6,3.2
13.4,0,"1",12.6866666666667,0.333333333333333,1,24,201.333333333333,14,0,1,0,0,29.8,107.2,232.8,0.2,3
16.68,0,"1",7.3,0,0,24,160,10,0,4,0,0,23.5,142.75,194.75,1.75,2.75
8.78,1,"1",11.99,0,0.5,29.5,223.5,17,0,4,0,0,21.2,108.6,198.8,0.8,3.2
12.44,0,"1",17.24,1,2,21,171,12,0,0,0,0,22.4,113.2,224.4,1.2,2.4
12.92,0,"1",14.84,1,1.5,29,223.5,16.5,0,6,0.5,0,11.8,99.8,161.2,0.4,4.6
29.1,1,"1",17.548,1.6,2.2,31.8,250.2,16.6,0.2,1,0.2,0,28.2,175.4,171.6,0.4,1.4
21.82,0,"1",18.64,1.5,2,30.75,246,17,0,2,0,0,29.6,128,222.4,0.4,1.2
21.66,1,"1",19.815,1,2.5,27.75,246,17,0,0,0,0,14.5,113.5,167,1,4
17.42,0,"1",21.69,1,2,35.25,286,21.75,0.25,0,0,0,12.75,70.75,146.25,1,2.75
14.56,0,"1",22.5,0.25,2.25,33.25,245,20.25,0.25,2,0,0,20.25,85.5,198.25,0.25,3
16.12,1,"1",18.865,0.5,1.5,36.5,252.25,21.75,0.25,1,0,0,25,117.5,208,0.75,1
19.16,0,"1",18.316,0.6,1.6,36.2,252.4,22.2,0.2,1,0,0,25.5,89.75,253,1,2.75
13.7,0,"1",17.784,1,1.4,39.4,263.6,22.8,0.4,0,0.2,0,21.5,155.75,151.5,0.75,3.5
10.64,0,"1",13.804,1,1.2,33.4,230.6,18.8,0.2,1,0.2,0,19,94,191.8,0.8,1.2
8.08,1,"1",13.02,1.6,1.6,35.4,226,19.8,0.2,1,0.2,0,24.2,104.2,275.6,0.8,2
25.2,1,"1",6.43,1.5,0.75,29.25,135.75,14.5,0,0,0,0,12.25,82,154,0,3.75
11.84,0,"1",9.99,1.5,1,30.5,184.75,16.25,0.25,1,0,0,20.2,70.2,202.4,0.6,1.2
13.84,0,"1",12.14,1,1.25,31.75,177.25,15.25,0.25,1,0,0,22.75,113.75,249,0.5,1
15.56,1,"1",14.875,0.25,1.25,29.25,207.5,15.25,0.25,1,0,0,18,63.6,212.8,0,2
18.88,1,"1",6.55,0.5,0.5,17.25,128.75,10,0,5,0,0,26,155,239,1.25,2.5
15.8,0,"1",11.21,0.75,0.75,28,207.75,15.5,0.25,2,0.25,0,27.4,124.4,240.8,0.6,2
15.18,1,"1",14.216,0.6,1.4,35.4,213.4,21.2,0,4,0,0,20.5,125.5,204.25,0,2.5
8.92,1,"1",14.124,0.6,1.6,32.2,198.6,19,0,7,0,0,17.5,126,181,1.25,2.75
19.64,0,"1",13.076,1.2,1.4,30.6,194.4,17.2,0,0,0.2,0,19.5,114.75,208.25,0.5,4.75
8.08,0,"1",11.06,1,0.75,24.25,157.75,14.25,0,4,0.25,0,26.2,156.8,180.6,0.6,2.2
7.92,1,"1",9.285,1.25,0.5,27.25,175.25,15.75,0,1,1,0,17.8,110,240.2,0.6,1.2
19.78,1,"1",5.28,1.25,0.25,27,167,15.75,0,3,0.75,0,25.4,129.8,212.8,0.8,2.6
17.6,0,"-1",8.18,1,0.6,31.2,190,19.2,0,2,0.6,0,19.8,102.4,195.2,0.4,1.6
7.64,0,"1",11.6,0.8,1,39.4,225,23.6,0,1,0.6,0,25.6,115.6,158.4,0.6,3.6
