"fpts","ha","cond","l5g_avg_fpts","l5g_avg_trg","l5g_pct_pyb","l5g_avg_tdr","l5g_avg_ra","l5g_avg_ry","l5g_avg_recy","l5g_avg_rec","l5g_pct_recyb","l5g_avg_tdrec","l5g_oppdef_ptsa","l5g_oppdef_rya","l5g_oppdef_pya","l5g_oppdef_fumforc","l5g_oppdef_sacksforc"
7.2,0,"1",7.4,5.25,0,0,0,0,42,3,0,0,18,100.5,216.75,1,3
8.9,0,"1",10.62,3.4,0,0,0,0,9,2,0,1,22.2,107,239.6,0.4,1.4
18.9,1,"1",6.175,3.75,0,0,0,0,29,4,0,2,18,103.6,196.8,0.8,3.2
8,1,"1",8.72,4,0,0,0,0,40,4,0,0,23.6,182.8,186.4,1,2.4
15.6,0,"1",9.048,4.4,0,0,0,0,46,5,0,1,21.2,141.6,158.2,1.2,2.8
15.3,1,"1",8.475,3.75,0,0,0,0,53,4,0,1,20.5,88.25,211.25,1.5,3.25
12.5,0,"1",10.425,4.5,0,0,0,0,25,4,0,1,23.2,98,279,0.2,2
15.4,1,"-1",10.15,5,0,0,0,0,34,6,0,1,23,102.4,249.8,0.8,2.2
7.7,0,"-1",10.72,4.8,0,0,0,0,37,4,0,0,24.4,97.2,264.4,0.2,0.8
12.5,0,"1",6.7,4,0,0,0,0,35,3,0,1,17.8,99.8,204.2,0.4,2.8
7.1,1,"1",7.2,4.4,0,0,0,0,1,1,0,1,16.2,122.6,222.6,1,2.2
7.8,1,"1",6.92,4.2,0,0,0,0,8,1,0,1,20,121,184.75,0.25,3
10.4,1,"1",7.4,2.75,0,0,0,0,24,2,0,1,25.4,116.4,230.2,0.2,3
11.6,1,"1",6.55,2,0,0,0,0,36,2,0,1,30,148.75,195.5,0.5,2.25
9.2,0,"1",5.56,3,0,0,0,0,22,1,0,1,22.6,139.4,226.6,0.8,3
15.9,0,"1",6.14,2.8,0,0,0,0,59,4,0,1,20,133.6,192.8,0.2,2.2
20.6,0,"1",6.8,3,0,0,0,0,66,8,0,1,18,153.6,156,1,1.6
7.4,0,"1",10.8666666666667,7,0,0,0,0,34,4,0,0,21.5,124,221,1,1.75
15.4,0,"1",6.85,2.5,0,0,0.5,0.5,14,2,0,2,20.75,117,228.25,0,1.75
10.7,1,"1",6.55,2,0,0,0,0,17,3,0,1,36,132.6,229.8,0.8,2.6
13.8,0,"1",7.45,2.5,0,0,0,0,78,6,0,0,18.8,145.6,193.8,0.2,1.2
16.8,0,"1",9.56666666666667,4.33333333333333,0,0,0,0,78,3,0,1,17,137.75,208.75,1.25,2.5
8.6,1,"1",11.375,4.25,0,0,0,0,46,4,0,0,31.75,134.75,222.75,0.5,1.25
8.1,1,"1",10.96,5.6,0,0,0,0,41,4,0,0,18.4,120,195.6,1,2.4
11,1,"1",10.44,6,0,0,0,0,70,4,0,0,17.75,176.25,142,1,2.5
8.1,0,"1",9.88,5.6,0,0,0,0,41,4,0,0,17,119.2,163.4,1,2.2
15.7,1,"1",7.68,5.6,0,0,0,0,77,8,0,0,25,118.8,252.6,1,1.4
7.2,1,"1",9.42,7,0,0,0,0,42,3,0,0,15.2,80.6,185.2,0.4,2.6
15.8,1,"1",7.525,4.5,0,0,0,0,58,4,0,1,18.6,122.6,201.8,0.8,2.4
8.6,1,"1",6.8,3.2,0,0,0,0,16,1,0,1,10.5,94.75,179.5,0.25,1.5
8,1,"1",8.04,3,0,0,0,0,40,4,0,0,22.75,153.5,223.5,1.25,3.25
7.1,1,"1",5.125,2.5,0,0,0,0,1,1,0,1,29,103.75,219.25,0.25,1.5
13.2,0,"1",5.7,2.2,0,0,0,0,32,4,0,1,25.5,118,190.75,1,1.5
8.3,1,"1",7.4,4.33333333333333,0,0,0,0,53,3,0,0,25.25,115,212.5,0.5,3
9.6,0,"1",7.625,4,0,0,0,0,56,4,0,0,14.6,108.2,148.4,0.6,1.8
15.2,1,"1",8.02,4.2,0,0,0,0,82,7,0,0,19.4,101.4,239,0.6,2.8
11.5,0,"1",10.8,6,0,0,0,0,65,5,0,0,17.75,111,209,0.75,2.25
13.6,1,"1",12.1,7,0,0,0,0,36,4,0,1,16,140,172.5,0.25,1.25
7.8,0,"1",8.56666666666667,4,0,0,0,0,38,4,0,0,33.4,185.4,176.2,1.4,2
8.6,1,"1",8.375,4.5,0,0,0,0,56,3,0,0,28.6,158,233.2,0.6,2.8
11.2,0,"1",9.7,4.25,0,0,0,0,62,5,0,0,18.6,143.6,203,1,2.6
11.4,1,"1",9.625,4.75,0,0,0,0,44,7,0,0,28,175.5,259.75,0.25,0.25
7.9,0,"1",8.825,5.75,0,0,0,0,49,3,0,0,27,118.75,219.25,0.5,3
25.9,1,"1",8.425,5.5,0,0,0,0,59,8,0,2,21.5,115.25,275,0.5,1.25
10.7,0,"1",14.1,8.25,0,0,0,0,57,5,0,0,23.25,185,197.75,0.5,1
17.5,1,"1",13.42,8,0,0,0,0,55,6,0,1,25.5,148,338.5,0.5,2.25
8.7,0,"1",14.68,8.6,0,0,0,0,37,5,0,0,18.5,120.75,228.75,1,2.5
36,1,"1",14.14,7.8,0,0,0,0,130,14,0,1,17,92,185.75,1.75,2.5
9.3,0,"1",10.78,6.2,0,0,0,0,53,4,0.2,0,21.6,111.6,234.2,0.8,4.2
12.9,1,"1",5.63333333333333,3.66666666666667,0,0,0,0,39,3,0,1,26.5,160.5,320.25,1,1.75
17.1,0,"1",8.76666666666667,4.33333333333333,0,0,0,0,61,5,0,1,30.8,97.8,280,0.4,1.8
12.6,0,"1",12.0666666666667,5,0,0,0,0,26,4,0,1,26.6,137.4,262.8,0.6,1.8
9.3,0,"1",11.1,5,0,0,0,0,53,4,0,0,24.6,99,212.2,0.4,2.6
9.5,0,"1",5.06666666666667,2.33333333333333,0,0,0,0,15,2,0,1,24,123,200,1,1.5
19.2,1,"1",7,5.25,0,0,0,0,72,6,0,1,26,164,250,0.75,2.5
13.1,0,"1",12.5,7,0,0,0,0,61,7,0.2,0,19.6,100.6,146,1,3.8
10.8,1,"1",13.3,9.25,0,0,0,0,8,2,0,1,19.2,127.6,260,1.6,2.2
10.8,1,"1",13.4,8.25,0,0,0,0,18,3,0,1,15.75,110,176.5,1.5,2.5
11,0,"1",11.825,6.75,0,0,0,0,50,4,0,0,27,184,178,1.25,2
15.5,0,"1",11.425,7.5,0,0,0,0,75,8,0,0,33,138.6,255.6,1,1.6
11.7,1,"1",12.025,6.75,0,0,0,0,67,5,0,0,25.2,108.4,305.8,0.8,1.6
8.6,1,"1",11.96,6.8,0,0,0,0,36,5,0,0,14.5,65.5,226.25,0.5,2.75
17.4,0,"1",8.74,6.2,0,0,0,0,74,4,0,1,13.8,74.2,196.8,0.4,2.8
18.2,1,"1",12.58,7.2,0,0,0,0,42,8,0.2,1,15.6,76.4,264.4,1.2,2.4
7.1,1,"1",14.28,8.8,0,0,0,0,31,4,0.2,0,23.4,102,281.6,0.6,1.2
8.8,0,"1",10.75,7.25,0,0,0,0,38,5,0,0,19,95.75,227,0.25,2
13.7,1,"1",9.475,8.25,0,0,0,0,37,4,0,1,26.25,141.5,215,0.75,2.25
17.7,1,"1",8.125,6.75,0,0,0,0,57,6,0,1,32.75,126.25,209.25,1.25,2.75
9.9,0,"1",10.04,6.8,0,0,0,0,49,5,0,0,27.6,145.6,212.6,0.6,4
23,1,"1",10.26,7.2,0,0,0,0,80,9,0,1,17,125,198,0,2.2
21.6,0,"1",12.12,8.2,0,0,0,0,116,7,0,0,21.2,140.2,279.8,0.4,0.6
8.9,0,"1",11.1,8,0,0,0,0,39,5,0,0,12.5,68.5,208.5,0.5,3.75
14.4,1,"1",10.625,8.5,0,0,0,0,74,7,0,0,15.8,102.2,205.8,0.2,3.4
12.2,0,"1",8.05,6.25,0,0,0,0,32,3,0,1,25,145.4,214,0.4,2.4
14.4,1,"1",8.76,6.8,0,0,0,0,74,8,0,0,16.25,83.5,214.25,1,2.25
13.3,1,"1",9.86,8.6,0,0,0,0,43,3,0,1,23,97,261.6,0.2,2
7.6,0,"1",6.02,4.8,0,0,0,0,36,4,0,0,18.8,96.6,207.6,0.8,3.6
9.7,1,"1",7.22,4.8,0,0,0,0,7,3,0,1,17.4,107,211.2,1,3.6
12,0,"1",8.325,5.5,0,0,0,0,70,5,0,0,28,149.25,229,0,2.25
12.2,1,"1",8.625,5.75,0,0,0,0,32,3,0,1,27.2,102.2,232.8,0.6,1.6
10.9,0,"1",5.82,3.8,0,0,0,0,59,5,0,0,14.5,143.5,155.25,1,1.75
11.3,0,"1",8.9,7,0,0,0,0,53,6,0,0,20.5,92.25,204.75,0.5,2.25
9.5,0,"1",5.65,5.25,0,0,0,0,15,2,0,1,17.2,97,235.2,0.2,3.4
14.4,1,"1",7.4,5,0,0.25,0.25,3.25,34,5,0,1,19.8,97,219.4,1,2.2
9.9,0,"1",5.3,4.25,0,0,0,0,49,6,0,0,26.6,126.6,224.6,1,1.6
9.5,1,"1",5.225,5,0,0,0,0,35,6,0,0,18.5,127.25,212.75,1,0.5
8.9,0,"1",7.18,6,0,0,0,0,49,4,0,0,25.5,106.25,262,0.75,2.5
8.3,0,"1",7.66,6.4,0,0,0,0,33,5,0,0,26,108.8,238.8,1,1.6
9.7,1,"1",7.34,6.2,0,0,0,0,57,4,0,0,22.25,115.75,203.5,0.25,1
7.8,0,"1",8.025,4,0,0,0,0,48,3,0,0,28.5,196.75,208.75,1.5,0.25
9.4,1,"1",9.575,5,0,0,0,0,44,5,0,0,21.75,140.75,199.25,1,1.5
23.8,0,"1",9.5,7.5,0,0,0,0,78,10,0,1,23.25,84.75,249,1,2
11.8,1,"1",5.525,5,0,0,0,0,68,5,0,0,21,147.6,230.2,0.2,3
16.6,0,"1",6.78,6,0,0,0,0,56,5,0,1,21.4,106.2,275.4,1,2
8.3,1,"1",8.76,6.2,0,0,0,0,43,4,0,0,23.25,171,175.25,1.25,1.5
9,1,"1",9.62,6.8,0,0,0,0,40,5,0,0,20.4,125.6,212.4,0.2,3.2
15.3,0,"1",5.98,3,0,0,0,0,53,4,0,1,27.4,103.6,282.2,0.6,2.2
11.1,0,"1",5.55,4.25,0,0,0,0,51,7,0,0,20.75,99.5,246.25,0.5,3
9.1,1,"1",7.525,5.25,0,0,0,0,51,4,0,0,34.25,150.5,272.25,1.5,1.75
18,1,"1",5.975,5.25,0,0,0,0,20,4,0,2,29.6,159,195.4,0.4,2.2
11.5,1,"1",6.44,4.8,0,0,0,0,75,4,0,0,22,108,212.6,0.2,1.8
20.6,1,"1",6.075,5.25,0,0,0,0,116,6,0,0,13,94.8,201.6,1,3.6
23.9,0,"1",8.98,6,0,0,0,0,89,9,0.2,1,17.2,97,235.2,0.2,3.4
8.9,0,"1",5.33333333333333,3.33333333333333,0,0,0,0,49,4,0,0,9,63.25,212,1.5,2.75
12.6,1,"1",7.1,3.66666666666667,0,0,0,0,66,7,0,0,24.5,134.5,227,0.75,3
7.5,1,"1",5.84,4.8,0,0,0,0,35,4,0,0,16.4,77.4,277,0.8,2.6
7.7,1,"1",6.46,3,0,0,0,0,47,3,0,0,21.6,95.2,285.2,0.6,1.6
7.2,0,"1",7.4,3.4,0,0,0,0,42,3,0,0,24.2,147.8,213.4,1.2,2
18.7,0,"1",6.16666666666667,3.33333333333333,0,0,0,0,37,3,0,2,20,145.2,181.8,1,3.4
10.6,1,"1",8.96666666666667,4.66666666666667,0,0,0,0,66,4,0,0,25.75,163,145,0.75,1.5
11.9,1,"1",5.725,4.75,0,0,0,0,39,2,0,1,19,99.8,214.4,1.8,4.4
11,0,"1",7.275,6.5,0,0,0,0,60,5,0,0,21.2,105.2,219.2,0.2,2.8
22.5,0,"1",8.3,6.75,0,0,0,0,95,7,0,1,16.5,55.25,228.75,0.5,3.25
9.4,1,"1",11.325,7.5,0,0,0,0,54,4,0,0,23.5,172.5,157.25,0.75,1.5
18.4,0,"1",11.625,8.25,0,0,0,0,74,5,0,1,19.75,91.75,199.75,0.25,4.25
19.7,1,"1",12.98,7.8,0,0,0,0,87,6,0,1,15.25,137.5,128.25,1,1.5
7.3,1,"1",6.4,4.5,0,0,0,0,33,4,0,0,12.8,76.8,118.8,1.4,2.8
7.8,0,"1",5.53333333333333,5.66666666666667,0,0,0,0,38,4,0,0,22.6,122.8,163.2,0.4,3.6
7.2,0,"1",6.54,5.6,0,0,0,0,2,1,0,1,25.4,124,293,0.6,1.4
10.5,0,"1",6.25,3,0,0,0,0,35,1,0,1,26.8,185.2,169.4,0.6,1.8
8.9,1,"1",8.96666666666667,2.33333333333333,0,0,0,0,49,4,0,0,27,112.25,214.5,0.5,3.5
20.8,0,"1",10.38,7,0,0,0.2,-0.2,88,6,0,1,12.5,63.25,226.75,1.5,2.75
12.4,1,"1",9.125,5.5,0,0,0,0,74,5,0,0,17.25,101,206.25,1,2.25
29,0,"1",5.95,5,0,0,0,0,100,10,0,1,18,108.8,183.2,0.6,2
16.2,0,"1",10.24,5.6,0,0,0,0,92,7,0,0,31,132.4,231.6,0,2.2
15.7,1,"1",12.04,5.8,0,0,0,0,67,7,0,0,11.6,67,170.4,0.6,2.8
9.4,0,"1",9.05,7.75,0,0,0,0,64,3,0,0,13.25,84.75,246,1,2.75
20.7,0,"1",5.45,3.5,0,0,0,0,47,4,0,2,23.2,103.4,248.8,0.6,1.8
14,0,"1",8.225,4.5,0,0,0,0,80,6,0,0,37,169.2,239.6,0.6,1.2
7.3,1,"1",11.125,5.75,0,0,0,0,43,3,0,0,22.6,134.2,216.6,0.4,1.6
7.7,0,"1",10.16,5.8,0,0,0,0,47,3,0,0,17,79,212,0.6,2.2
13.4,0,"1",7.56,6.2,0,0,0,0,64,7,0,0,22.8,84.8,217.6,0.6,3
31.7,1,"1",6.78,4.2,0,0,0,0,127,10,0,1,22.4,78.4,288,0.8,1.2
9.9,0,"1",12.14,5.6,0,0,0,0,59,4,0.2,0,24,106.2,308,0,1.6
32.7,1,"1",13.48,5.8,0,0,0,0,147,9,0.2,1,21,131.6,263.2,0.8,1.4
11,1,"1",18.58,7,0,0,0,0,60,5,0.4,0,20.5,124,200.25,0.25,2.25
9.3,0,"1",14.625,6.25,0,0,0,0,53,4,0.25,0,18.25,120.25,190,1,4.25
13.8,1,"1",14.475,7.25,0,0,0,0,38,4,0.25,1,19,63.2,216.6,1.4,3
14,0,"1",9.75,6.75,0,0,0,0,70,7,0,0,19.8,77.4,239.6,0.2,2.4
16.9,1,"1",10.5,8.25,0,0,0,0,49,6,0,1,18.2,87.8,201.6,0.2,2.8
17.9,0,"1",11.1,8.4,0,0,0,0,59,6,0,1,22.2,146.8,215.2,0.4,1.4
10.9,1,"1",5.46,3.8,0,0,0,0,69,4,0,0,23.8,170.8,199.2,0.6,2
11.6,0,"1",8.85,4.75,0,0,0,0,26,3,0,1,19.2,109.4,182.6,1.2,3
13.3,0,"1",9.025,4.5,0,0,0,0,43,3,0.25,1,21.25,149.75,225.75,1.75,1.5
15.9,1,"1",11.65,4.75,0,0,0,0,59,4,0.25,1,18.8,121.6,169,0.6,1.2
9.7,1,"1",15.05,6,0,0,0,0,47,5,0.25,0,23.6,138,205.4,0.6,1.8
16.4,0,"1",13.98,6,0,0,0,0,54,5,0.2,1,12,78,156.2,1,2.2
18.1,0,"1",5.075,5,0,0,0,0,71,5,0,1,15.8,77.8,243.8,0.6,2.2
8.5,1,"1",5.7,2.75,0,0,0,0,55,3,0,0,23.2,113.2,206.2,1.2,2.2
7.1,1,"1",5.375,2.75,0,0,0,0,1,1,0,1,17.6,130.4,165.6,0,1.8
7.9,1,"1",5.4,2.4,0,0,0,0,39,4,0,0,18.2,94.6,172.2,0.8,2.6
7.3,0,"1",5.1,3.6,0,0,0,0,33,4,0,0,23.2,32.2,259.2,1.8,1.2
9.9,1,"1",6.38,3.2,0,0,0,0,19,2,0,1,22.2,138.6,138.6,0.6,2.4
9.8,1,"1",7.8,5.25,0,0,0,0,48,3,0,0,27,121.2,241.2,0.8,2.4
13.4,0,"-1",8.2,5,0,0,0,0,64,8,0,0,18.75,120,216.25,0.75,2.25
8,0,"1",9.24,6,0,0,0,0,40,4,0,0,25.8,135.6,215.4,0.6,1.8
16.3,0,"1",6.48,2,0,0,0,0,53,5,0,1,25.25,115.5,263.5,0.75,1.5
11.2,1,"1",11,6,0,0,0,0,22,3,0,1,22,134.8,261.4,1,1.4
15.3,1,"1",8.4,4.75,0,0,0,0,43,5,0,1,28,79,268.8,0,3
21.4,1,"1",9.3,4.25,0,0,0,0,84,7,0,1,20.5,79,266.25,0.5,3.5
8.9,1,"1",11.52,4.8,0,0,0,0,49,4,0,0,19,122.2,265,0.4,3
20.6,0,"1",12.12,5.2,0,0,0,0,86,6,0,1,26.5,90,262.5,1.25,0.75
8.7,1,"1",14,6,0,0,0,0,47,4,0,0,24,80.4,263,0.8,2.8
18.3,0,"1",12.68,5.8,0,0,0,0,73,5,0,1,19.6,77.4,302.8,0.6,1.6
8.2,0,"1",12.06,6,0,0,0,0,12,1,0,1,25.8,85.2,232.6,0.6,2
7.1,0,"1",5.45,2.25,0,0,0,0,1,1,0,1,19.4,143,276,1,2.6
7.7,1,"1",15.85,6.25,0,0.25,0.25,0.25,7,1,0.25,1,26.8,119,270.4,0,3.6
8.8,0,"1",11.525,5.25,0,0,0,0,37,5,0,0,19.2,126.2,248,0.4,2.8
21,1,"1",7.275,5.5,0,0,1,3.5,90,6,0,1,18.25,112.75,268,0.25,2.25
15,0,"1",9.82,6.6,0,0,0.8,2.8,80,7,0,0,31.25,65.75,294.75,0,2
28.7,0,"1",11.06,7,0,0,0.8,2.6,97,7,0,2,25,107.6,287.6,1.2,3
7.2,0,"1",14.6,7.2,0,0,0.2,0,32,4,0,0,23.75,152.25,170.25,1,4
8.3,1,"1",11.84,7.2,0,0,0.2,0,43,4,0,0,22.4,118.8,247,0,2.6
15.8,0,"1",6.725,5.25,0,0,0,0,58,4,0,1,24.2,87.4,262,0.8,2.8
17.5,1,"1",7.15,4.25,0,0,0,0,65,5,0,1,20,117.4,214.6,0.4,1.6
11.5,0,"1",10.225,5.25,0,0,0,0,45,7,0,0,16,67.75,246.25,0.25,3.25
8.1,1,"1",10.48,6,0,0,0,0,31,5,0,0,23.25,128.5,188,0.75,4.25
11.9,0,"1",8.56666666666667,6,0,0,0,0,59,6,0,0,17.25,75.75,264.5,0,2.5
20.4,1,"1",8.7,5.33333333333333,0,0,0,0,114,6,0,0,19.6,145.8,220.4,0.2,1.6
15.5,1,"1",12.8,6.66666666666667,0,0,0,0,45,5,0.33,1,22.4,98,226.6,0.4,2.2
15.2,1,"1",12.64,6.6,0,0,0,0,62,9,0.2,0,20.2,108.6,262.6,0.8,3
10.2,0,"1",6.025,5.5,0,0,0,0,52,5,0,0,26.75,67,299.75,0.5,2.5
16.6,1,"1",5.575,4.5,0,0,0,0,66,4,0,1,8.75,70,180.75,0.75,3.75
10.2,1,"1",7.14,4.8,0,0,0,0,52,5,0,0,28,148.2,222.8,0.8,1.6
7.3,0,"1",5.4,5.5,0,0,0,0,23,5,0,0,25,121,301.25,0,1.75
20.2,1,"1",8.4,5.66666666666667,0,0,0,0,72,7,0,1,25.5,146.5,195.75,0.25,1.75
28.5,1,"1",11.35,6,0,0,0,0,85,8,0,2,21.6,140.2,232.4,1.2,1.8
8.9,1,"1",7.375,2.5,0,0,0,0,19,1,0,1,22.8,110.4,278,0.8,2
7.3,0,"1",7.25,2.25,0,0,0,0,43,4,0,0,12.8,102.8,179,0.6,2.6
11.1,1,"1",6.5,4,0,0,0,0,21,3,0,1,19.8,138,149.8,0.8,2.2
12.5,1,"1",7.86,4,0,0,0,0,75,5,0,0,15.4,119.4,177.2,0.6,2.8
11.4,1,"1",10.04,6,0,0,0,0,24,3,0,1,25.6,131.4,284.8,0.8,2.6
17.4,0,"1",10.675,6.75,0,0,0,0,54,6,0,1,22.75,96.5,273.25,1.25,1.75
15.5,1,"1",12.08,6.8,0,0,0,0,85,7,0,0,32.5,147.75,269.25,1,1.75
12.6,0,"1",13.16,7.2,0,0,0,0,66,6,0,0,19,90.75,163.25,1,1.75
12.4,1,"1",11.24,6,0,0,0,0,74,5,0,0,25.4,131,176,1.2,2.8
16.8,0,"1",10.04,6.2,0,0,0,0,58,5,0,1,29.25,153.25,253.75,0.75,1.5
31.1,1,"1",10.82,6.2,0,0,0,0,71,6,0,3,19.2,134,195.6,0.6,1.6
15.1,1,"1",14.52,6.4,0,0,0,0,41,5,0,1,18.2,135.4,197.4,1.2,2.8
10.7,1,"1",5.98,6,0,0,0,0,27,2,0,1,27,174.8,202.4,0.8,1.6
16.2,0,"1",7.78,5.4,0,0,0,0,42,4,0,1,19.75,162.5,136.5,1,2
15.6,1,"1",11.5,5.25,0,0,0,0,66,3,0,1,21.6,79.4,196.2,1.4,2
16.8,0,"1",12.35,4.5,0,0,0,0,58,5,0,1,21.2,102,249.4,0.4,1
17.9,1,"1",13.875,5,0,0,0,0,89,3,0,1,15.5,92,180.25,0.75,3.5
8.6,1,"1",12.08,5.8,0,0,0,0,46,4,0,0,25.75,177,167,0.25,0.75
12,0,"1",10.68,6.2,0,0,0,0,80,4,0,0,21.8,159.6,188.8,0,2.4
20.7,0,"1",11.7,6.4,0,0,0,0,77,7,0,1,21.6,158.2,179.8,0.8,1.6
9.9,1,"1",12.48,7.2,0,0,0,0,49,5,0,0,25.2,134,250.4,0.6,1.6
28.5,0,"1",9.5,5,0,0,0,0,105,9,0,1,18.6,102.2,226.4,0.8,2.2
12.1,0,"1",13.825,6,0,0,0,0,31,3,0.25,1,18.4,107.8,191.8,0.6,2.2
9.8,0,"1",14.125,6.75,0,0,0,0,58,4,0.25,0,23.8,143.6,224.6,0.4,1.4
8.3,1,"1",13.26,6.8,0,0,0,0,33,5,0.2,0,20.5,113.25,224.5,0,2
22.9,0,"1",12,6.8,0,0,0,0,89,8,0.2,1,24.75,95.5,220.5,0.75,3.5
21.6,0,"1",10.88,6.8,0,0,0,0,96,6,0,1,16,90,153.75,0.5,2.25
15.9,1,"1",14.94,8.4,0,0,0,0,89,7,0,0,25.2,105.2,245.2,0.4,1
14.3,1,"1",15.7,9.2,0,0,0,0,93,5,0,0,22.75,132.75,218.75,1.5,2.5
7.4,0,"1",16.6,9.2,0,0,0,0,34,2,0,0,22.2,89,225,0.4,3.6
12.3,0,"1",16.42,9.4,0,0,0,0,33,1,0,1,13.8,52.8,233,0.8,2.6
9.2,1,"-1",14.3,8.2,0,0,0,0,42,5,0,0,16,109,183.8,0.4,3.2
9.7,1,"1",12.56,6.4,0,0,0,0,57,5,0.2,0,36.75,170.5,245.75,0.25,1.75
7.2,1,"1",14.16,7.4,0,0,0,0,32,4,0.2,0,16,131,155,0.5,2
13.4,0,"1",13.16,7.6,0,0,0,0,74,6,0.2,0,26.25,142.5,256.75,1,2.5
15.8,1,"1",13,7.4,0,0,0,0,78,8,0.2,0,18,79.5,160.5,0.5,3.75
11.7,1,"1",11.525,7.75,0,0,0,0,47,7,0,0,27,121.5,176,1.25,3
10.4,0,"1",12.025,8.5,0,0,0,0,54,5,0,0,21.2,106.4,300.8,0.8,2.2
13.1,1,"-1",12.825,8.75,0,0,0,0,71,6,0,0,19.6,85.6,190.4,0.6,2.2
10.1,0,"1",9.35,7,0,0,0,0,51,6,0,0,27.25,99.75,286.75,0.75,1
11.7,0,"1",8.52,6.4,0,0,0,0,57,6,0,0,16.4,105.2,203,0.4,2.2
10.7,1,"1",14.85,8,0,0,0,0,57,5,0,0,27.6,135.2,270,0.8,1.2
8.7,1,"1",13.06,7.4,0,0,0,0,37,5,0,0,20.2,143.4,203.6,0.8,1.6
12.4,0,"1",12,7.2,0,0,0,0,54,7,0,0,16.6,99.2,235.4,1,1.4
8.8,0,"1",11.4,8.4,0,0,0,0,48,4,0,0,21.5,144.5,183.5,1.25,1.75
16.1,0,"1",8.8,7.75,0,0,0,0,91,7,0,0,21,105.75,254,0.75,1.25
9.9,1,"1",10.65,8,0,0,0,0,49,5,0,0,27.6,98,244,0.2,2
11.1,0,"1",10.025,7.75,0,0,0,0,61,6,0,0,21.75,128.25,200.5,1,2
19.2,0,"1",9.32,8,0,0,0,0,62,5,0,1,26.8,97.6,318.4,0.6,1.4
9.8,0,"1",12.1,8,0,0,0,0,48,5,0,0,23,118.8,225.6,0.2,2.2
10.3,1,"-1",10.84,8.4,0,0,0,0,53,5,0,0,22.6,132,221,1.6,3.4
8,1,"-1",7.875,4,0,0,0,0,10,1,0,1,30,109.25,283.25,0.25,2.25
11.3,1,"1",6,3,0,0,0,0,23,3,0,1,24.8,85.6,195.4,1,2
8.8,0,"1",8.375,3.75,0,0,0,0,8,2,0,1,25.4,112.8,218.4,0.4,1.4
15,1,"1",6.85,3.25,0,0,0,0,10,2,0,2,22.6,101.6,278,0.2,1.8
9.2,1,"1",5.8,2.4,0,0,0,0,12,2,0,1,17.2,102,214.6,0.2,2.4
20.5,1,"1",5.52,3.4,0,0,0,0,85,6,0,1,29.6,110,301.8,0.8,1.4
8.5,0,"1",9.3,4.4,0,0,0,0,35,5,0,0,17.6,104.6,183.6,1.2,3.6
15.3,1,"1",10.78,5.6,0,0,0,0,43,5,0,1,23.8,113.8,263.8,0.6,2
14.2,0,"1",12.475,6.5,0,0,0,0,82,6,0,0,21.5,106.5,224,0.5,1.5
8.2,1,"1",10.9,7.25,0,0,0,0,42,4,0,0,30.75,94,266.75,1,1.5
10.4,0,"-1",10.825,7,0,0,0,0,44,6,0,0,33.2,115.2,281.2,0,2.4
8.2,1,"1",9.75,8,0,0,0,0,42,4,0,0,16.6,119.6,210.8,0,1.8
9.2,0,"1",8.25,7.25,0,0,0,0,12,2,0,1,21.5,89,284,0.75,2
13.6,1,"1",5.26666666666667,3.66666666666667,0,0,0,0,36,4,0,1,19.2,150.2,206.6,0.8,3.6
7.8,1,"1",6.9,7,0,0,0,0,38,5,0,0,22,76,191,1,2.2
8.2,0,"1",6.725,6.25,0,0,0,0,42,4,0,0,26.4,173.2,199.8,0.4,1
14.8,1,"1",9.4,5.2,0,0,0,0,38,5,0,1,26.2,97.6,265.6,0,2
11.4,0,"1",10.4,5.25,0,0,0,0,64,3,0,0,28,129.75,158.5,0.5,2.75
9.3,1,"1",8.575,4.75,0,0,0,0,33,4,0,0,21,120.6,194,0.6,4
21.7,0,"1",10.025,6.5,0,0,0,0,107,8,0,0,25.25,133,203,1,2.25
15.5,0,"1",14.3,7.5,0,0,0,0,55,4,0.25,1,21.25,68,218.75,0.75,3
8,1,"1",14.475,8.25,0,0,0,0,50,3,0.25,0,24.75,113,213,0.75,1.5
8.1,0,"-1",13.18,7.6,0,0,0,0,31,5,0.2,0,18,108.75,190.75,1.25,3.5
9.1,0,"1",7.38,4.2,0,0,0,0,11,2,0,1,17.4,132.6,253.2,1.4,1.4
10.4,1,"1",8.18,3.4,0,0,0,0,64,4,0,0,24.25,155.25,239.5,0,1.25
17.7,0,"1",7.1,3.6,0,0,0,0,77,4,0,1,23,134.25,265.5,0.5,1.5
24.4,1,"1",9.65,6,0,0,0,0,144,7,0,0,22.75,121,283.25,0.75,3
31.7,1,"1",12.075,6.5,0,0,0,0,127,4,0.25,2,22.5,96.5,250.75,1.25,2.75
10.6,0,"1",19.65,7.25,0,0,0,0,56,5,0.5,0,18.6,117,195,0.4,1.6
7.6,0,"1",15.34,6.6,0,0,0,0,36,4,0.4,0,29,115.25,274,0.75,1.75
22.6,0,"1",11.98,6.6,0,0,0,0,56,5,0.2,2,32.2,142,238,0.2,1.8
7.7,1,"1",10.075,6.75,0,0,0,0,47,3,0,0,26.6,142,264.4,1,2.4
17.3,0,"1",9.6,6.4,0,0,0,0,43,7,0,1,21,125.75,242.75,0.5,3
7.5,0,"1",9.05,7,0,0,0,0,45,3,0,0,19.5,103.25,210.25,0,1
