"fpts","ha","cond","l5g_avg_fpts","l5g_avg_trg","l5g_pct_pyb","l5g_avg_tdr","l5g_avg_ra","l5g_avg_ry","l5g_avg_recy","l5g_avg_rec","l5g_pct_recyb","l5g_avg_tdrec","l5g_oppdef_ptsa","l5g_oppdef_rya","l5g_oppdef_pya","l5g_oppdef_fumforc","l5g_oppdef_sacksforc"
19.7,1,"1",6.88,3,0,0,0,0,117,5,0,0,16.6,91.8,168.6,0.6,2.6
11.4,0,"1",7.92,4.4,0,0,0,0,64,5,0.2,0,14.6,135.8,183.2,1,1.6
14,0,"1",17.24,8.6,0,0,0,0,80,6,0.2,0,13.2,72.4,222.8,1.4,3.8
13.1,0,"1",15.38,8.6,0,0,0,0,61,7,0,0,23.5,144.75,186.5,0.25,1.25
23.3,1,"1",16.42,8.2,0,0,0,0,63,5,0,2,29.4,141.6,236.6,0.2,0.8
28.6,1,"1",19.68,8.2,0,0,0,0,56,5,0,3,29.5,143.5,291.75,1,2
27.1,0,"1",19.75,7.5,0,0,0,0,101,8,0,1,32,128.5,252.5,0.25,1
28.2,0,"1",23.025,7.75,0,0,0,0,92,7,0.25,2,26.6,106,282.4,0.2,2
14.2,0,"-1",16.025,7.5,0,0,0,0,72,1,0.25,1,34.2,209.6,148.4,0.8,2.2
17.9,0,"1",15.66,6.4,0,0,0,0,49,7,0.2,1,13.4,134.4,181.4,1.6,4.2
21.2,0,"1",15.16,7.4,0,0,0,0,72,8,0.2,1,21.75,99,231.5,0.75,1.75
45.5,1,"1",16.6,8.2,0,0,0,0,145,10,0.2,3,27,113,248.5,1,2
24.2,0,"1",21.46,10.2,0,0,0,0,132,8,0.4,0,19.75,149.75,153.5,0.25,1.75
18.7,1,"1",23.65,10.5,0,0,0,0,77,5,0.5,1,19.75,138.5,181.5,1.25,4
15.1,1,"1",23.825,10.25,0,0,0,0,51,4,0.5,1,25.8,127,197,2,2.8
34.3,1,"1",16.225,8,0,0,0,0,123,13,0.25,1,21.2,131.6,215.2,1,2.8
8.9,0,"1",18.75,9.5,0,0,0,0,29,6,0.25,0,16.4,92,204.4,0.8,2.4
15.2,0,"-1",16.78,9.6,0,0,0,0,52,4,0.2,1,23.6,127.8,233.8,0.6,2.2
18.8,0,"1",10.675,6.25,0,0,0,0,78,5,0,1,29.2,128.6,224,0.8,2.6
21.3,0,"1",12.725,7.5,0,0,0,0,63,9,0,1,18.5,134.25,177.25,0.75,2.25
11.6,1,"1",15.675,9.25,0,0,0,0,66,5,0,0,24.5,110,244.25,1.25,2.25
11.9,0,"1",14.08,8.4,0,0,0,0,69,5,0,0,20.75,117,228.25,0,1.75
9.8,0,"1",13.56,8,0,0,0,0,48,5,0,0,15.4,71,247.2,1.6,3.2
20.1,1,"1",11.76,7.8,0,0,0,0,81,6,0,1,14.4,123.4,180.4,0,3
22,0,"1",11.52,7.2,0,0,0,0,90,7,0,1,18,173.5,209.5,1.5,2
32.4,1,"1",13.6,7.4,0,0,0,0,104,7,0,2,22,120.4,227.8,1,2
8.3,0,"-1",17.2,8.6,0,0,0,0,63,2,0.2,0,23,168.6,186.8,1,1
15.6,1,"1",16.9,8.6,0,0,0,0,56,4,0.2,1,25.8,108.2,240,1.2,2.8
8.8,1,"1",23.18,10,0,0,0,0,58,3,0.6,0,25,130.5,226.25,0,1.75
24.2,1,"1",18.825,8.5,0,0,0,0,92,3,0.5,2,30,144.4,222.4,1,1.2
15.4,0,"1",10.15,5,0,0,0,0,54,4,0,1,24.6,101.4,297.2,0.8,2.2
31.5,1,"1",11.8,6.25,0,0,0,0,105,6,0,2,27.75,97.5,214.75,0.25,2.5
17.7,0,"1",11.08,6.4,0,0,0,0,57,6,0.2,1,24.8,137.4,175.2,0.6,2.4
12.2,0,"1",11.06,5.4,0,0,0,0,62,6,0.2,0,29,138.8,220,0.6,1.8
13.5,1,"1",10.94,5.4,0,0,0,0,35,4,0,1,19.75,125.25,175.25,0,1.75
9.5,0,"1",10.62,5.2,0,0,0,0,55,4,0,0,23.5,122,189.25,0.75,1.25
21.6,0,"1",10.5,5.4,0,0,0,0,96,6,0,1,22.8,94.4,209,0.6,2
20.6,1,"1",11.7,5.75,0,0,0,0,66,8,0,1,31.5,190.25,246.5,1,0.25
16.8,0,"1",7.02,5.6,0,0,0,0,78,7,0,0,28.2,132.8,253,0.4,0.4
20.3,0,"1",6.26,5.6,0,0,0,0,43,4,0,2,20.8,146.2,172.2,0.8,2.4
7.9,1,"1",9.72,5.6,0,0,0,0,49,3,0,0,25,125,203.8,0.2,0.8
12,1,"1",18.475,8.75,0,0,0,0,70,5,0.25,0,8.6,81.8,171.8,1,3.2
10.5,0,"1",18.15,8.75,0,0,0,0,55,5,0.25,0,21.2,119.2,238.8,1,1.6
