Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,853784694,TeamLVJ,0,166.26,WR DeAndre Hopkins DST Ravens  RB Doug Martin WR Jaron Brown FLEX Chris Hogan TE Austin Seferian-Jenkins WR Mike Evans RB Melvin Gordon QB Jameis Winston,,Jameis Winston,78.95%,21.46
2,853457161,benstunner,0,165.36,DST Dolphins  RB Le'Veon Bell RB James White WR Chris Hogan TE Austin Seferian-Jenkins WR Mike Evans WR Adam Humphries FLEX Melvin Gordon QB Jameis Winston,,Le'Veon Bell,63.16%,19.3
2,853475650,Daut44,0,165.36,DST Dolphins  RB Le'Veon Bell RB James White WR Chris Hogan TE Austin Seferian-Jenkins WR Mike Evans WR Adam Humphries FLEX Melvin Gordon QB Jameis Winston,,Adam Humphries,45.61%,8.1
4,853654467,bcassidy13,0,164.06,DST Panthers  WR DeSean Jackson WR Dez Bryant FLEX Jaron Brown RB Le'Veon Bell WR Chris Hogan TE Austin Seferian-Jenkins RB Melvin Gordon QB Jameis Winston,,Dez Bryant,43.86%,16.2
5,853359467,GolfGalaxy,0,163.56,DST Eagles  FLEX Dez Bryant WR Pierre Garcon WR T.Y. Hilton TE Austin Seferian-Jenkins WR Mike Evans RB Melvin Gordon RB Isaiah Crowell QB Jameis Winston,,Mike Evans,40.35%,9.9
6,853545413,cardinalmaniac08,0,157.56,DST Eagles  WR Dez Bryant RB Andre Ellington WR T.Y. Hilton RB Le'Veon Bell WR Jarvis Landry TE Austin Seferian-Jenkins QB Jameis Winston FLEX Duke Johnson Jr.,,Austin Seferian-Jenkins,31.58%,14.9
7,853466807,CONDIA,0,155.02,DST Eagles  QB Tom Brady WR Danny Amendola WR Dez Bryant FLEX Le'Veon Bell TE Cameron Brate RB James White WR Adam Humphries RB Melvin Gordon,,Chris Hogan,31.58%,21.4
8,853538310,youdacao,0,146.66,DST Eagles  WR Jeremy Maclin WR Dez Bryant WR T.Y. Hilton RB Le'Veon Bell FLEX Ameer Abdullah RB Melvin Gordon QB Jameis Winston TE Evan Engram,,Todd Gurley II,29.82%,6
9,853381554,marcf,0,145.46,DST Dolphins  WR Dez Bryant FLEX Le'Veon Bell WR Mike Evans WR Adam Humphries RB Melvin Gordon QB Jameis Winston RB Wayne Gallman TE Evan Engram,,Eagles ,28.07%,10
10,853653614,scynden,0,142.96,RB Lamar Miller FLEX Jordan Howard TE Kyle Rudolph DST Chargers  WR Dez Bryant WR T.Y. Hilton WR Jarvis Landry QB Jameis Winston RB Ezekiel Elliott,,James White,28.07%,13
