Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
25,852322578,papagates (2/3),0,134.96,FLEX Jordan Howard TE Zach Miller DST Eagles  WR Dez Bryant WR T.Y. Hilton RB Le'Veon Bell WR Jarvis Landry RB Ameer Abdullah QB Jameis Winston,,Jaron Brown,8.74%,6.9
25,852322579,papagates (3/3),0,134.96,FLEX Jordan Howard TE Zach Miller DST Eagles  WR Dez Bryant WR T.Y. Hilton RB Le'Veon Bell WR Jarvis Landry RB Ameer Abdullah QB Jameis Winston,,Ameer Abdullah,8.74%,4.4
28,854333871,uGottaJuanIt,0,134.06,FLEX Lamar Miller RB Kareem Hunt TE Travis Kelce DST Bills  WR T.Y. Hilton RB Le'Veon Bell WR TJ Jones WR Adam Humphries QB Jameis Winston,,Carlos Hyde,8.74%,2.8
29,853911836,kellbell70317,0,133.96,DST Colts  RB Doug Martin WR Antonio Brown TE Cameron Brate WR Mike Evans WR Adam Humphries FLEX Brandin Cooks QB Jameis Winston RB Duke Johnson Jr.,,Bilal Powell,8.74%,7.3
30,852539684,puttst (1/2),0,133.86,FLEX Lamar Miller DST Chiefs  WR Jeremy Maclin WR T.Y. Hilton WR Jarvis Landry TE Austin Seferian-Jenkins QB Jameis Winston RB Todd Gurley II RB Ezekiel Elliott,,Evan Engram,7.77%,0
30,852585711,puttst (2/2),0,133.86,FLEX Lamar Miller DST Chiefs  WR Jeremy Maclin WR T.Y. Hilton WR Jarvis Landry TE Austin Seferian-Jenkins QB Jameis Winston RB Todd Gurley II RB Ezekiel Elliott,,Zach Miller,7.77%,12.9
32,853864771,reilj5,0,132.66,DST Chiefs  RB Frank Gore WR Rishard Matthews WR Jarvis Landry TE Austin Seferian-Jenkins WR Mike Evans FLEX Melvin Gordon QB Jameis Winston RB Todd Gurley II,,Randall Cobb,7.77%,6.9
33,851633562,MakeItRain84,0,132.46,DST Cardinals  RB Le'Veon Bell RB James White WR Chris Hogan WR Mike Evans WR Adam Humphries FLEX Melvin Gordon QB Jameis Winston TE Evan Engram,,Golden Tate,6.80%,9.8
34,854310197,BomberFD,0,131.96,TE Zach Miller DST Ravens  WR Danny Amendola WR DeSean Jackson WR Dez Bryant RB Le'Veon Bell FLEX Carlos Hyde RB James White QB Jameis Winston,,Dolphins ,6.80%,20
35,852062187,Bcrev229,0,129.86,FLEX Latavius Murray DST Dolphins  TE Martellus Bennett WR Dez Bryant WR T.Y. Hilton RB Jay Ajayi WR Mike Evans QB Jameis Winston RB Joe Mixon,,Brandin Cooks,6.80%,13.5
36,852035924,aejones,0,129.56,DST Chiefs  RB Le'Veon Bell RB James White WR Chris Hogan WR Jarvis Landry TE Austin Seferian-Jenkins WR Adam Humphries QB Jameis Winston FLEX Todd Gurley II,,Ravens ,6.80%,12
37,854328051,cote860,0,129.04,WR Will Fuller V DST Jets  WR Golden Tate RB Bilal Powell WR Jaron Brown RB Le'Veon Bell FLEX Chris Hogan QB Dak Prescott TE Jesse James,,Duke Johnson Jr.,6.80%,17.3
38,852571969,Bass-O-Matics,0,128.42,WR Will Fuller V DST Lions  QB Tom Brady TE Charles Clay RB Bilal Powell FLEX Cameron Brate WR Chris Hogan WR DeVante Parker RB Leonard Fournette,,Jeremy Maclin,6.80%,10.3
38,853724171,pedja1972,0,128.42,DST Bills  QB Tom Brady WR Danny Amendola WR DeSean Jackson RB Carlos Hyde TE Cameron Brate RB James White WR Chris Hogan FLEX Brandin Cooks,,Pierre Garcon,5.83%,17.4
40,852940975,Dinkpiece,0,128.06,DST Eagles  FLEX LeGarrette Blount RB Le'Veon Bell WR Chris Hogan WR Jarvis Landry TE Tyler Kroft WR Adam Humphries QB Jameis Winston RB Ezekiel Elliott,,Lions ,5.83%,3
41,853589351,BDholla89 (3/3),0,127.28,FLEX Lamar Miller DST Eagles  QB Ben Roethlisberger WR Antonio Brown WR Terrance Williams TE Austin Seferian-Jenkins WR Martavis Bryant RB Todd Gurley II RB Leonard Fournette,,Frank Gore,5.83%,11.6
42,854041767,Dbelzer831,0,126.22,WR Tyreek Hill DST Seahawks  QB Tom Brady WR Danny Amendola RB Carlos Hyde TE Cameron Brate FLEX James White WR Jarvis Landry RB Joe Mixon,,Stefon Diggs,5.83%,1.4
43,851876919,Cicima6709 (1/3),0,123.86,DST Eagles  WR DeSean Jackson WR Dez Bryant TE Dwayne Allen RB Le'Veon Bell FLEX James White WR Adam Humphries QB Jameis Winston RB Ezekiel Elliott,,Kareem Hunt,4.85%,17.6
43,851876920,Cicima6709 (2/3),0,123.86,DST Eagles  WR DeSean Jackson WR Dez Bryant TE Dwayne Allen RB Le'Veon Bell FLEX James White WR Adam Humphries QB Jameis Winston RB Ezekiel Elliott,,Isaiah Crowell,4.85%,8.7
43,852336969,LK28,0,123.86,DST Eagles  WR DeSean Jackson WR Dez Bryant TE Dwayne Allen RB Le'Veon Bell FLEX James White WR Adam Humphries QB Jameis Winston RB Ezekiel Elliott,,Will Fuller V,4.85%,20.2
43,853471550,Cicima6709 (3/3),0,123.86,DST Eagles  WR DeSean Jackson WR Dez Bryant TE Dwayne Allen RB Le'Veon Bell FLEX James White WR Adam Humphries QB Jameis Winston RB Ezekiel Elliott,,Travis Kelce,4.85%,17.8
47,853457168,Wboushie,0,123.78,RB Lamar Miller FLEX Will Fuller V DST Dolphins  QB Ben Roethlisberger WR Antonio Brown WR Randall Cobb RB James White WR Brandin Cooks TE Evan Engram,,Robby Anderson,4.85%,3.6
48,854306929,gus61686,0,123.76,TE Travis Kelce DST Bills  WR Doug Baldwin WR Golden Tate RB Bilal Powell RB James White WR Chris Hogan QB Jameis Winston FLEX Duke Johnson Jr.,,Jets ,3.88%,8
49,853735685,ShipIt4,0,122.42,RB Latavius Murray DST Cardinals  QB Tom Brady WR DeSean Jackson RB Andre Ellington TE Cameron Brate WR Chris Hogan FLEX Mike Evans WR Brandin Cooks,,Charles Clay,3.88%,5.1
50,851850322,dictator_teddy (1/3),0,122.16,DST Dolphins  WR Dez Bryant WR Jaron Brown TE Dwayne Allen RB James White WR Chris Hogan QB Jameis Winston RB Todd Gurley II FLEX Ezekiel Elliott,,Leonard Fournette,3.88%,34.4
