Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
TE,Neal Sterling,2500,JAX@NYJ 01:00PM ET,0.28,NYJ
WR,Marcus Johnson,3000,PHI@LAC 04:05PM ET,0.26,PHI
RB,Tommy Bohanon,3000,JAX@NYJ 01:00PM ET,0.25,JAX
TE,Khari Lee,2500,BUF@ATL 01:00PM ET,0.24,BUF
TE,Sean McGrath,2500,PHI@LAC 04:05PM ET,0.24,LAC
WR,Jared Abbrederis,3000,DET@MIN 01:00PM ET,0.23,DET
QB,Kevin Hogan,4600,CIN@CLE 01:00PM ET,0.21,CLE
QB,Scott Tolzien,4300,IND@SEA 08:30PM ET,0.2,IND
QB,Austin Davis,4300,IND@SEA 08:30PM ET,0.2,SEA
RB,David Fluellen,3000,TEN@HOU 01:00PM ET,0.2,TEN
RB,C.J. Ham,3000,DET@MIN 01:00PM ET,0.2,MIN
TE,Logan Thomas,2500,BUF@ATL 01:00PM ET,0.2,BUF
RB,Taiwan Jones,3000,BUF@ATL 01:00PM ET,0.19,BUF
TE,Eric Tomlinson,2500,JAX@NYJ 01:00PM ET,0.19,NYJ
RB,Roosevelt Nix,3000,PIT@BAL 01:00PM ET,0.18,PIT
RB,James Develin,3000,CAR@NE 01:00PM ET,0.18,NE
TE,Ryan Hewitt,2500,CIN@CLE 01:00PM ET,0.18,CIN
RB,Jay Prosch,3000,TEN@HOU 01:00PM ET,0.17,HOU
QB,Kellen Moore,4000,LAR@DAL 01:00PM ET,0.16,DAL
TE,Vince Mayle,3000,PIT@BAL 01:00PM ET,0.15,BAL
RB,Derek Watt,3000,PHI@LAC 04:05PM ET,0.15,LAC
WR,Johnny Holton,3000,OAK@DEN 04:25PM ET,0.15,OAK
QB,Sean Mannion,4200,LAR@DAL 01:00PM ET,0.14,LAR
QB,Cardale Jones,4500,PHI@LAC 04:05PM ET,0.13,LAC
QB,C.J. Beathard,4200,SF@ARI 04:05PM ET,0.13,SF
QB,Geno Smith,4500,NYG@TB 04:05PM ET,0.12,NYG
QB,Jimmy Garoppolo,5500,CAR@NE 01:00PM ET,0.11,NE
QB,Derek Anderson,5400,CAR@NE 01:00PM ET,0.11,CAR
RB,Keith Smith,3000,LAR@DAL 01:00PM ET,0.11,DAL
QB,Nathan Peterman,4000,BUF@ATL 01:00PM ET,0.1,BUF
QB,Drew Stanton,4000,SF@ARI 04:05PM ET,0.1,ARI
RB,Derrick Coleman,3000,BUF@ATL 01:00PM ET,0.1,ATL
QB,Matt Schaub,4300,BUF@ATL 01:00PM ET,0.09,ATL
RB,Senorise Perry,3000,NO@MIA 09:30AM ET,0.09,MIA
QB,Jake Rudock,4200,DET@MIN 01:00PM ET,0.08,DET
QB,Chase Daniel,4600,NO@MIA 09:30AM ET,0.07,NO
QB,Blaine Gabbert,4300,SF@ARI 04:05PM ET,0.06,ARI
QB,Kellen Clemens,4000,PHI@LAC 04:05PM ET,0.05,LAC
QB,Chad Henne,4300,JAX@NYJ 01:00PM ET,0.04,JAX
QB,Brock Osweiler,4100,OAK@DEN 04:25PM ET,0.04,DEN
QB,Cooper Rush,4500,LAR@DAL 01:00PM ET,0.01,DAL
QB,Connor Cook,4200,OAK@DEN 04:25PM ET,0.01,OAK
QB,Teddy Bridgewater,4000,DET@MIN 01:00PM ET,0,MIN
RB,John Kuhn,3000,NO@MIA 09:30AM ET,0,NO
TE,Ricky Seals-Jones,2500,SF@ARI 04:05PM ET,0,ARI
RB,David Johnson,6300,SF@ARI 04:05PM ET,0,ARI
QB,Andrew Luck,5800,IND@SEA 08:30PM ET,0,IND
QB,Sam Bradford,5700,DET@MIN 01:00PM ET,0,MIN
WR,Corey Coleman,4800,CIN@CLE 01:00PM ET,0,CLE
TE,Greg Olsen,4700,CAR@NE 01:00PM ET,0,CAR
RB,Doug Martin,4500,NYG@TB 04:05PM ET,0,TB
QB,Taysom Hill,4000,NO@MIA 09:30AM ET,0,NO
QB,Joe Webb,4000,BUF@ATL 01:00PM ET,0,BUF
RB,Danny Woodhead,4000,PIT@BAL 01:00PM ET,0,BAL
QB,Joshua Dobbs,4000,PIT@BAL 01:00PM ET,0,PIT
WR,Josh Gordon,4000,CIN@CLE 01:00PM ET,0,CLE
QB,Jeff Driskel,4000,CIN@CLE 01:00PM ET,0,CIN
QB,Brandon Allen,4000,LAR@DAL 01:00PM ET,0,LAR
QB,Kyle Sloter,4000,DET@MIN 01:00PM ET,0,MIN
QB,Brad Kaaya,4000,CAR@NE 01:00PM ET,0,CAR
QB,Ryan Nassib,4000,JAX@NYJ 01:00PM ET,0,JAX
QB,Christian Hackenberg,4000,JAX@NYJ 01:00PM ET,0,NYJ
QB,Ryan Griffin,4000,NYG@TB 04:05PM ET,0,TB
QB,Davis Webb,4000,NYG@TB 04:05PM ET,0,NYG
QB,EJ Manuel,4000,OAK@DEN 04:25PM ET,0,OAK
QB,Chad Kelly,4000,OAK@DEN 04:25PM ET,0,DEN
QB,Paxton Lynch,4000,OAK@DEN 04:25PM ET,0,DEN
RB,C.J. Prosise,4000,IND@SEA 08:30PM ET,0,SEA
TE,Tyler Eifert,3900,CIN@CLE 01:00PM ET,0,CIN
WR,Will Fuller V,3800,TEN@HOU 01:00PM ET,0,HOU
WR,Malcolm Mitchell,3600,CAR@NE 01:00PM ET,0,NE
TE,Ryan Griffin,3500,TEN@HOU 01:00PM ET,0,HOU
WR,Michael Floyd,3500,DET@MIN 01:00PM ET,0,MIN
WR,Jaelen Strong,3500,JAX@NYJ 01:00PM ET,0,JAX
