"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"QB","Landry Jones",4500,"MIN@PIT 01:00PM ET",0,"PIT"
"RB","James Conner",4500,"MIN@PIT 01:00PM ET",1.100,"PIT"
"QB","Mitchell Trubisky",4500,"CHI@TB 01:00PM ET",0.000,"CHI"
"QB","Matt Moore",4500,"MIA@LAC 04:05PM ET",0,"MIA"
"QB","Cardale Jones",4500,"MIA@LAC 04:05PM ET",0,"LAC"
"QB","Josh McCown",4500,"NYJ@OAK 04:05PM ET",11.480,"NYJ"
"RB","Alfred Morris",4500,"DAL@DEN 04:25PM ET",0.100,"DAL"
"QB","Cooper Rush",4500,"DAL@DEN 04:25PM ET",0,"DAL"
"QB","Brian Hoyer",4500,"SF@SEA 04:25PM ET",5.220,"SF"
"WR","Mohamed Sanu",4500,"GB@ATL 08:30PM ET",10.700,"ATL"
"RB","Theo Riddick",4500,"DET@NYG 08:30PM ET",14.600,"DET"
"QB","Geno Smith",4500,"DET@NYG 08:30PM ET",0,"NYG"
"RB","Jonathan Stewart",4400,"BUF@CAR 01:00PM ET",16.200,"CAR"
"WR","Eric Decker",4400,"TEN@JAX 01:00PM ET",4.000,"TEN"
"QB","Blake Bortles",4400,"TEN@JAX 01:00PM ET",10.300,"JAX"
"RB","LeGarrette Blount",4400,"PHI@KC 01:00PM ET",11.700,"PHI"
"WR","Nelson Agholor",4400,"PHI@KC 01:00PM ET",20.600,"PHI"
"QB","Ryan Fitzpatrick",4400,"CHI@TB 01:00PM ET",0,"TB"
"RB","Jacquizz Rodgers",4400,"CHI@TB 01:00PM ET",0,"TB"
"RB","Jamaal Williams",4400,"GB@ATL 08:30PM ET",0.900,"GB"
"QB","Scott Tolzien",4300,"ARI@IND 01:00PM ET",3.320,"IND"
"QB","Blaine Gabbert",4300,"ARI@IND 01:00PM ET",0,"ARI"
"QB","Matt Cassel",4300,"TEN@JAX 01:00PM ET",0,"TEN"
"QB","Chad Henne",4300,"TEN@JAX 01:00PM ET",0,"JAX"
"QB","Nick Foles",4300,"PHI@KC 01:00PM ET",0,"PHI"
"RB","Doug Martin",4300,"CHI@TB 01:00PM ET",0,"TB"
"QB","Connor Cook",4300,"NYJ@OAK 04:05PM ET",0,"OAK"
"WR","Cole Beasley",4300,"DAL@DEN 04:25PM ET",6.200,"DAL"
"QB","Austin Davis",4300,"SF@SEA 04:25PM ET",0,"SEA"
"QB","Matt Schaub",4300,"GB@ATL 08:30PM ET",0.000,"ATL"
"QB","Cody Kessler",4200,"CLE@BAL 01:00PM ET",0,"CLE"
"TE","Kyle Rudolph",4200,"MIN@PIT 01:00PM ET",11.600,"MIN"
"RB","Matt Forte",4200,"NYJ@OAK 04:05PM ET",6.600,"NYJ"
"RB","Jamaal Charles",4200,"DAL@DEN 04:25PM ET",3.000,"DEN"
"QB","Brock Osweiler",4200,"DAL@DEN 04:25PM ET",0,"DEN"
"QB","Sean Mannion",4200,"WAS@LAR 04:25PM ET",-0.220,"LAR"
"RB","Eddie Lacy",4200,"SF@SEA 04:25PM ET",0.300,"SEA"
"WR","Paul Richardson",4200,"SF@SEA 04:25PM ET",9.900,"SEA"
"QB","C.J. Beathard",4200,"SF@SEA 04:25PM ET",0,"SF"
"QB","Brett Hundley",4200,"GB@ATL 08:30PM ET",0,"GB"
"WR","Marvin Jones Jr.",4200,"DET@NYG 08:30PM ET",11.700,"DET"
"QB","Jake Rudock",4200,"DET@NYG 08:30PM ET",0.000,"DET"
"RB","Javorius Allen",4100,"CLE@BAL 01:00PM ET",7.100,"BAL"
"DST","Cardinals ",4100,"ARI@IND 01:00PM ET",8.000,"ARI"
"WR","Corey Davis",4100,"TEN@JAX 01:00PM ET",12.900,"TEN"
"RB","Latavius Murray",4100,"MIN@PIT 01:00PM ET",0.600,"MIN"
"RB","Tarik Cohen",4100,"CHI@TB 01:00PM ET",25.300,"CHI"
"QB","Christian Hackenberg",4100,"NYJ@OAK 04:05PM ET",0,"NYJ"
"WR","Cooper Kupp",4100,"WAS@LAR 04:25PM ET",17.600,"LAR"
"RB","Chris Carson",4100,"SF@SEA 04:25PM ET",5.900,"SEA"
"RB","Ameer Abdullah",4100,"DET@NYG 08:30PM ET",7.100,"DET"
"WR","Kenny Britt",4000,"CLE@BAL 01:00PM ET",2.300,"CLE"
"QB","Ryan Mallett",4000,"CLE@BAL 01:00PM ET",0,"BAL"
"WR","Josh Gordon",4000,"CLE@BAL 01:00PM ET",0,"CLE"
"QB","Kevin Hogan",4000,"CLE@BAL 01:00PM ET",0,"CLE"
"QB","Joe Webb",4000,"BUF@CAR 01:00PM ET",0.000,"BUF"
"QB","Nathan Peterman",4000,"BUF@CAR 01:00PM ET",0,"BUF"
"QB","Brad Kaaya",4000,"BUF@CAR 01:00PM ET",0,"CAR"
"RB","Frank Gore",4000,"ARI@IND 01:00PM ET",6.200,"IND"
"QB","Drew Stanton",4000,"ARI@IND 01:00PM ET",0,"ARI"
"RB","Robert Turbin",4000,"ARI@IND 01:00PM ET",1.300,"IND"
"RB","Andre Ellington",4000,"ARI@IND 01:00PM ET",5.500,"ARI"
"WR","Donte Moncrief",4000,"ARI@IND 01:00PM ET",6.000,"IND"
"QB","Tyler Bray",4000,"PHI@KC 01:00PM ET",0,"KC"
"RB","Charcandrick West",4000,"PHI@KC 01:00PM ET",9.500,"KC"
"QB","Taysom Hill",4000,"NE@NO 01:00PM ET",0,"NO"
"RB","James White",4000,"NE@NO 01:00PM ET",9.800,"NE"
"QB","Joshua Dobbs",4000,"MIN@PIT 01:00PM ET",0,"PIT"
"QB","Mark Sanchez",4000,"CHI@TB 01:00PM ET",0,"CHI"
"WR","Kevin White",4000,"CHI@TB 01:00PM ET",2.600,"CHI"
