,Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,Week,Year,GID,Pos,Team,h/a,Oppt,FD points,FD salary
286,RB,Jamaal Williams,4400,CIN@GB 04:25PM ET,3.85,GB,3.0,2017.0,5541.0,RB,gnb,h,cin,0.6,5500.0
287,TE,Garrett Celek,2500,LAR@SF 08:25PM ET,3.85,SF,3.0,2017.0,4564.0,TE,sfo,h,lar,6.6,4500.0
288,TE,A.J. Derby,2500,DEN@BUF 01:00PM ET,3.84,DEN,3.0,2017.0,4692.0,TE,den,a,buf,1.0,4800.0
289,RB,Dion Lewis,3400,HOU@NE 01:00PM ET,3.78,NE,3.0,2017.0,2816.0,RB,nwe,h,hou,3.2,4700.0
290,WR,Phillip Dorsett,4000,HOU@NE 01:00PM ET,3.71,NE,3.0,2017.0,5384.0,WR,nwe,h,hou,0.0,5200.0
291,TE,Marcedes Lewis,2500,BAL@JAX 09:30AM ET,3.63,JAX,3.0,2017.0,4324.0,TE,jac,h,bal,26.2,4500.0
292,RB,Damien Williams,3800,MIA@NYJ 01:00PM ET,3.55,MIA,3.0,2017.0,2957.0,RB,mia,a,nyj,1.6,4500.0
293,RB,Wendell Smallwood,3800,NYG@PHI 01:00PM ET,3.47,PHI,3.0,2017.0,5473.0,RB,phi,h,nyg,8.5,4800.0
294,DST,Vikings ,3300,TB@MIN 01:00PM ET,7.84,MIN,,,,,,,,,
295,RB,Devontae Booker,3500,DEN@BUF 01:00PM ET,3.47,DEN,,,,,,,,,
296,WR,Sammie Coates,3100,CLE@IND 01:00PM ET,3.38,CLE,,,,,,,,,
297,TE,Jonnu Smith,2600,SEA@TEN 04:05PM ET,3.36,TEN,3.0,2017.0,4706.0,TE,ten,h,sea,8.9,4500.0
298,RB,Alex Collins,3500,BAL@JAX 09:30AM ET,3.35,BAL,3.0,2017.0,5450.0,RB,bal,a,jac,8.2,0.0
299,QB,Cody Kessler,4000,CLE@IND 01:00PM ET,3.32,CLE,,,,,,,,,
300,WR,Jarius Wright,3000,TB@MIN 01:00PM ET,3.3,MIN,3.0,2017.0,5188.0,WR,min,h,tam,7.9,4500.0
301,TE,Vance McDonald,2800,PIT@CHI 01:00PM ET,3.22,PIT,3.0,2017.0,4572.0,TE,pit,a,chi,0.0,4700.0
302,RB,Dwayne Washington,3800,ATL@DET 01:00PM ET,3.19,DET,,,,,,,,,
303,DST,Colts ,3200,CLE@IND 01:00PM ET,7.14,IND,,,,,,,,,
304,DST,Buccaneers ,3200,TB@MIN 01:00PM ET,7.4,TB,,,,,,,,,
305,RB,Latavius Murray,3200,TB@MIN 01:00PM ET,3.18,MIN,3.0,2017.0,2899.0,RB,min,h,tam,0.5,5000.0
306,WR,Taywan Taylor,3600,SEA@TEN 04:05PM ET,3.14,TEN,3.0,2017.0,5555.0,WR,ten,h,sea,2.5,4500.0
307,WR,Brice Butler,3000,DAL@ARI 08:30PM ET,3.09,DAL,3.0,2017.0,5219.0,WR,dal,a,ari,16.0,4700.0
308,WR,Arrelious Benn,3000,BAL@JAX 09:30AM ET,3.08,JAX,3.0,2017.0,3885.0,WR,jac,h,bal,0.0,4500.0
309,QB,Matt Moore,4500,MIA@NYJ 01:00PM ET,3.05,MIA,,,,,,,,,
310,TE,Levine Toilolo,2500,ATL@DET 01:00PM ET,3.04,ATL,3.0,2017.0,4577.0,TE,atl,a,det,0.0,4500.0
311,TE,Trey Burton,2500,NYG@PHI 01:00PM ET,3.04,PHI,3.0,2017.0,4618.0,TE,phi,h,nyg,1.7,4500.0
312,TE,Clive Walford,2500,OAK@WAS 08:30PM ET,3.03,OAK,3.0,2017.0,4651.0,TE,oak,a,was,0.4,4500.0
313,WR,Trent Taylor,3000,LAR@SF 08:25PM ET,3.02,SF,3.0,2017.0,5571.0,WR,sfo,h,lar,10.7,4500.0
314,RB,Kyle Juszczyk,3000,LAR@SF 08:25PM ET,3.01,SF,3.0,2017.0,2908.0,RB,sfo,h,lar,3.9,4500.0
315,DST,Giants ,3100,NYG@PHI 01:00PM ET,6.69,NYG,,,,,,,,,
316,TE,Josh Hill,2500,NO@CAR 01:00PM ET,3.01,NO,3.0,2017.0,4586.0,TE,nor,a,car,0.8,4500.0
317,RB,James Conner,4500,PIT@CHI 01:00PM ET,2.99,PIT,3.0,2017.0,5537.0,RB,pit,a,chi,0.0,5000.0
318,TE,Will Tye,2600,MIA@NYJ 01:00PM ET,2.99,NYJ,3.0,2017.0,4670.0,TE,nyj,h,mia,0.0,4500.0
319,QB,Tom Savage,4400,HOU@NE 01:00PM ET,2.95,HOU,,,,,,,,,
320,WR,Chester Rogers,3000,CLE@IND 01:00PM ET,2.95,IND,,,,,,,,,
321,WR,Darrius Heyward-Bey,3000,PIT@CHI 01:00PM ET,2.93,PIT,3.0,2017.0,3848.0,WR,pit,a,chi,0.0,4600.0
322,TE,Dwayne Allen,2500,HOU@NE 01:00PM ET,2.88,NE,3.0,2017.0,4551.0,TE,nwe,h,hou,0.0,5600.0
323,RB,Orleans Darkwa,3400,NYG@PHI 01:00PM ET,2.86,NYG,3.0,2017.0,2976.0,RB,nyg,a,phi,3.8,4900.0
324,TE,Maxx Williams,2500,BAL@JAX 09:30AM ET,2.85,BAL,,,,,,,,,
325,RB,Kenyan Drake,4000,MIA@NYJ 01:00PM ET,2.83,MIA,3.0,2017.0,5446.0,RB,mia,a,nyj,0.7,4600.0
326,WR,Pharoh Cooper,3000,LAR@SF 08:25PM ET,2.82,LAR,3.0,2017.0,5462.0,WR,lar,a,sfo,-1.1,4500.0
327,TE,Luke Willson,2600,SEA@TEN 04:05PM ET,2.82,SEA,3.0,2017.0,4578.0,TE,sea,a,ten,12.8,4500.0
328,RB,Malcolm Brown,3900,LAR@SF 08:25PM ET,2.77,LAR,,,,,,,,,
329,QB,Landry Jones,4500,PIT@CHI 01:00PM ET,2.71,PIT,,,,,,,,,
330,WR,Aldrick Robinson,3000,LAR@SF 08:25PM ET,2.7,SF,3.0,2017.0,5134.0,WR,sfo,h,lar,3.3,4600.0
331,TE,Lance Kendricks,2500,CIN@GB 04:25PM ET,2.68,GB,3.0,2017.0,4538.0,TE,gnb,h,cin,12.2,4500.0
332,TE,Jerell Adams,2500,NYG@PHI 01:00PM ET,2.67,NYG,3.0,2017.0,4686.0,TE,nyg,a,phi,0.0,4500.0
333,RB,Tyler Ervin,3000,HOU@NE 01:00PM ET,2.65,HOU,3.0,2017.0,5470.0,RB,hou,a,nwe,1.3,4500.0
334,RB,Cameron Artis-Payne,3000,NO@CAR 01:00PM ET,2.63,CAR,,,,,,,,,
335,QB,Matt Cassel,4300,SEA@TEN 04:05PM ET,2.61,TEN,,,,,,,,,
336,TE,Ben Koyack,2500,BAL@JAX 09:30AM ET,2.57,JAX,3.0,2017.0,4689.0,TE,jac,h,bal,0.0,4500.0
337,RB,Alfred Morris,5200,DAL@ARI 08:30PM ET,2.55,DAL,,,,,,,,,
338,WR,Cody Core,3000,CIN@GB 04:25PM ET,2.52,CIN,3.0,2017.0,5518.0,WR,cin,a,gnb,0.0,4500.0
339,WR,Brian Quick,3000,OAK@WAS 08:30PM ET,2.51,WAS,,,,,,,,,
340,WR,Tommylee Lewis,3100,NO@CAR 01:00PM ET,2.45,NO,3.0,2017.0,5496.0,WR,nor,a,car,3.8,4500.0
341,TE,Demetrius Harris,2600,KC@LAC 04:25PM ET,2.45,KC,3.0,2017.0,4642.0,TE,kan,a,lac,0.0,4500.0
342,RB,Zach Zenner,3300,ATL@DET 01:00PM ET,2.44,DET,3.0,2017.0,5397.0,RB,det,h,atl,0.5,4700.0
343,WR,Justin Hardy,3000,ATL@DET 01:00PM ET,2.43,ATL,3.0,2017.0,5387.0,WR,atl,a,det,0.0,4500.0
344,TE,Nick Boyle,2500,BAL@JAX 09:30AM ET,2.38,BAL,3.0,2017.0,4660.0,TE,bal,a,jac,2.4,4500.0
345,RB,Benny Cunningham,3000,PIT@CHI 01:00PM ET,2.37,CHI,3.0,2017.0,2911.0,RB,chi,h,pit,3.8,4800.0
346,WR,Michael Campanaro,3100,BAL@JAX 09:30AM ET,2.35,BAL,3.0,2017.0,5277.0,WR,bal,a,jac,1.5,4500.0
347,TE,Stephen Anderson,2900,HOU@NE 01:00PM ET,2.33,HOU,3.0,2017.0,4679.0,TE,hou,a,nwe,1.9,4500.0
348,TE,Adam Shaheen,2500,PIT@CHI 01:00PM ET,2.3,CHI,3.0,2017.0,4709.0,TE,chi,h,pit,6.7,4500.0
349,WR,Jordan Taylor,3000,DEN@BUF 01:00PM ET,2.29,DEN,,,,,,,,,
350,WR,Roger Lewis,3300,NYG@PHI 01:00PM ET,2.26,NYG,3.0,2017.0,5508.0,WR,nyg,a,phi,1.1,4500.0
351,QB,Scott Tolzien,4300,CLE@IND 01:00PM ET,2.21,IND,,,,,,,,,
352,WR,Charone Peake,3000,MIA@NYJ 01:00PM ET,2.17,NYJ,3.0,2017.0,5506.0,WR,nyj,h,mia,0.0,4500.0
353,RB,Aaron Jones,3700,CIN@GB 04:25PM ET,2.03,GB,3.0,2017.0,5543.0,RB,gnb,h,cin,0.0,4600.0
354,RB,Elijah McGuire,3500,MIA@NYJ 01:00PM ET,2.0,NYJ,3.0,2017.0,5544.0,RB,nyj,h,mia,1.4,4500.0
355,RB,Peyton Barber,3000,TB@MIN 01:00PM ET,1.95,TB,3.0,2017.0,5507.0,RB,tam,a,min,0.0,4500.0
356,RB,T.J. Yeldon,3900,BAL@JAX 09:30AM ET,1.84,JAX,,,,,,,,,
357,TE,Tyler Kroft,2500,CIN@GB 04:25PM ET,1.83,CIN,3.0,2017.0,4652.0,TE,cin,a,gnb,4.3,4500.0
358,TE,Randall Telfer,2500,CLE@IND 01:00PM ET,1.78,CLE,3.0,2017.0,4685.0,TE,cle,a,ind,0.9,4500.0
359,TE,Brent Celek,2500,NYG@PHI 01:00PM ET,1.73,PHI,,,,,,,,,
360,WR,Chad Williams,3000,DAL@ARI 08:30PM ET,1.69,ARI,3.0,2017.0,5580.0,WR,ari,h,dal,1.3,4500.0
361,TE,Xavier Grimble,2500,PIT@CHI 01:00PM ET,1.69,PIT,3.0,2017.0,4604.0,TE,pit,a,chi,0.0,4500.0
362,RB,Fozzy Whittaker,3000,NO@CAR 01:00PM ET,1.67,CAR,3.0,2017.0,2916.0,RB,car,h,nor,1.2,4500.0
363,WR,Justin Hunter,3000,PIT@CHI 01:00PM ET,1.66,PIT,,,,,,,,,
364,WR,Mack Hollins,3000,NYG@PHI 01:00PM ET,1.64,PHI,3.0,2017.0,5578.0,WR,phi,h,nyg,0.0,4500.0
365,TE,Darren Fells,2500,ATL@DET 01:00PM ET,1.62,DET,3.0,2017.0,4609.0,TE,det,h,atl,1.3,4500.0
366,RB,Aaron Ripkowski,3000,CIN@GB 04:25PM ET,1.61,GB,3.0,2017.0,5406.0,RB,gnb,h,cin,0.0,4500.0
367,RB,Corey Grant,3000,BAL@JAX 09:30AM ET,1.59,JAX,3.0,2017.0,5405.0,RB,jac,h,bal,9.8,4500.0
368,RB,Eddie Lacy,3400,SEA@TEN 04:05PM ET,1.52,SEA,,,,,,,,,
369,WR,Alex Erickson,3100,CIN@GB 04:25PM ET,1.51,CIN,3.0,2017.0,5480.0,WR,cin,a,gnb,0.0,4500.0
370,TE,C.J. Uzomah,2500,CIN@GB 04:25PM ET,1.51,CIN,3.0,2017.0,4656.0,TE,cin,a,gnb,0.0,4500.0
371,TE,Anthony Fasano,2500,MIA@NYJ 01:00PM ET,1.47,MIA,3.0,2017.0,4327.0,TE,mia,a,nyj,0.0,4500.0
372,TE,Rhett Ellison,2500,NYG@PHI 01:00PM ET,1.47,NYG,3.0,2017.0,4554.0,TE,nyg,a,phi,0.0,4500.0
373,RB,Matthew Dayes,3000,CLE@IND 01:00PM ET,1.39,CLE,3.0,2017.0,5566.0,RB,cle,a,ind,0.0,4500.0
374,DST,Browns ,3000,CLE@IND 01:00PM ET,5.64,CLE,,,,,,,,,
375,TE,Jeff Heuerman,2500,DEN@BUF 01:00PM ET,1.38,DEN,3.0,2017.0,4676.0,TE,den,a,buf,0.0,4500.0
376,TE,Daniel Brown,2500,PIT@CHI 01:00PM ET,1.38,CHI,,,,,,,,,
377,WR,Brittan Golden,3000,DAL@ARI 08:30PM ET,1.34,ARI,3.0,2017.0,5239.0,WR,ari,h,dal,2.6,4500.0
378,TE,Michael Roberts,2500,ATL@DET 01:00PM ET,1.26,DET,,,,,,,,,
379,TE,MarQueis Gray,2500,MIA@NYJ 01:00PM ET,1.16,MIA,,,,,,,,,
380,WR,Amara Darboh,3000,SEA@TEN 04:05PM ET,1.14,SEA,3.0,2017.0,5572.0,WR,sea,a,ten,0.0,4500.0
381,WR,Jeff Janis,3300,CIN@GB 04:25PM ET,1.13,GB,3.0,2017.0,5351.0,WR,gnb,h,cin,0.0,4800.0
382,WR,Cody Latimer,3000,DEN@BUF 01:00PM ET,1.09,DEN,3.0,2017.0,5268.0,WR,den,a,buf,0.0,4700.0
383,WR,Leonte Carroo,3000,MIA@NYJ 01:00PM ET,1.08,MIA,3.0,2017.0,5474.0,WR,mia,a,nyj,0.0,4500.0
384,WR,Shelton Gibson,3000,NYG@PHI 01:00PM ET,1.08,PHI,,,,,,,,,
385,WR,Chris Moore,3000,BAL@JAX 09:30AM ET,1.02,BAL,3.0,2017.0,5479.0,WR,bal,a,jac,0.0,4600.0
386,WR,Rodney Adams,3000,TB@MIN 01:00PM ET,0.99,MIN,,,,,,,,,
387,RB,Austin Ekeler,3000,KC@LAC 04:25PM ET,0.98,LAC,3.0,2017.0,5575.0,RB,lac,h,kan,1.1,4500.0
388,RB,Raheem Mostert,3000,LAR@SF 08:25PM ET,0.97,SF,3.0,2017.0,5414.0,RB,sfo,h,lar,-0.9,4500.0
389,TE,Luke Stocker,2500,TB@MIN 01:00PM ET,0.96,TB,3.0,2017.0,4532.0,TE,tam,a,min,0.0,4500.0
390,WR,Jehu Chesson,3000,KC@LAC 04:25PM ET,0.91,KC,,,,,,,,,
391,WR,Josh Reynolds,3000,LAR@SF 08:25PM ET,0.9,LAR,3.0,2017.0,5582.0,WR,lar,a,sfo,0.0,4500.0
392,RB,Terron Ward,3000,ATL@DET 01:00PM ET,0.89,ATL,,,,,,,,,
393,RB,D.J. Foster,3500,DAL@ARI 08:30PM ET,0.88,ARI,,,,,,,,,
394,RB,Wayne Gallman,3000,NYG@PHI 01:00PM ET,0.87,NYG,,,,,,,,,
395,WR,Tanner McEvoy,3000,SEA@TEN 04:05PM ET,0.86,SEA,3.0,2017.0,5505.0,WR,sea,a,ten,0.0,4500.0
396,WR,Trevor Davis,3000,CIN@GB 04:25PM ET,0.85,GB,3.0,2017.0,5498.0,WR,gnb,h,cin,0.0,4500.0
397,RB,Jamize Olawale,3000,OAK@WAS 08:30PM ET,0.8,OAK,3.0,2017.0,2913.0,RB,oak,a,was,0.0,4500.0
398,QB,Brock Osweiler,4200,DEN@BUF 01:00PM ET,0.79,DEN,,,,,,,,,
399,WR,Noah Brown,3000,DAL@ARI 08:30PM ET,0.77,DAL,3.0,2017.0,5585.0,WR,dal,a,ari,1.8,4500.0
400,WR,Brandon Tate,3000,DEN@BUF 01:00PM ET,0.72,BUF,3.0,2017.0,3860.0,WR,buf,h,den,0.0,4600.0
401,WR,Ryan Switzer,3000,DAL@ARI 08:30PM ET,0.71,DAL,3.0,2017.0,5569.0,WR,dal,a,ari,0.3,4500.0
402,TE,Brandon Williams,2500,CLE@IND 01:00PM ET,0.71,IND,3.0,2017.0,4590.0,TE,ind,h,cle,1.2,4500.0
403,TE,David Morgan,2500,TB@MIN 01:00PM ET,0.7,MIN,,,,,,,,,
404,TE,Jordan Leggett,2500,MIA@NYJ 01:00PM ET,0.7,NYJ,,,,,,,,,
405,DST,Eagles ,3000,NYG@PHI 01:00PM ET,8.95,PHI,,,,,,,,,
406,TE,Lee Smith,2500,OAK@WAS 08:30PM ET,0.7,OAK,3.0,2017.0,4535.0,TE,oak,a,was,0.0,4500.0
407,QB,Ryan Fitzpatrick,4400,TB@MIN 01:00PM ET,0.68,TB,,,,,,,,,
408,RB,John Kuhn,3000,NO@CAR 01:00PM ET,0.66,NO,,,,,,,,,
409,WR,Stacy Coley,3000,TB@MIN 01:00PM ET,0.66,MIN,,,,,,,,,
410,TE,Logan Paulsen,2500,LAR@SF 08:25PM ET,0.66,SF,3.0,2017.0,4513.0,TE,sfo,h,lar,0.0,4500.0
411,TE,Neal Sterling,2500,MIA@NYJ 01:00PM ET,0.66,NYJ,3.0,2017.0,4684.0,TE,nyj,h,mia,0.0,4500.0
