Id,Name,Position,teamAbbrev,Salary,AvgPointsPerGame,Actual
75352,Vernon Davis,TE,WAS,3000,8.59,16.8
75356,Matt Cassel,QB,TEN,4300,0,0
75361,Odell Beckham Jr.,WR,NYG,8600,18.08,28.9
75362,Paxton Lynch,QB,DEN,4000,0,0
75371,Rishard Matthews,WR,TEN,4200,13.34,20.7
75372,Anthony Fasano,TE,MIA,2500,0,0
75380,Jeremy Hill,RB,CIN,3700,7.26,3.9
75386,Ed Dickson,TE,CAR,2700,4.7,1.8
75395,James Develin,RB,NE,3000,0,0
75400,Philip Rivers,QB,LAC,6400,16.82,6.48
75409,Marcedes Lewis,TE,JAX,2500,0,28.2
75410,Charcandrick West,RB,KC,4000,4.25,3.3
75419,Benny Cunningham,RB,CHI,3000,0,5.3
75421,Texans ,DST,HOU,2300,4.01,9
75424,Dwayne Washington,RB,DET,3800,0,0
75433,Demetrius Harris,TE,KC,2600,0,0
75437,Jermaine Kearse,WR,NYJ,4600,12.98,7.2
75438,Willie Snead,WR,NO,4500,0,0
75439,Jarius Wright,WR,MIN,3000,0,8.9
75443,Sterling Shepard,WR,NYG,4700,10.65,29.3
75444,Darrius Heyward-Bey,WR,PIT,3000,0,0
75448,Jerell Adams,TE,NYG,2500,0,0
75452,Alvin Kamara,RB,NO,4000,10.59,13.2
75453,Danny Vitale,RB,CLE,3000,0,0
75458,Justin Davis,RB,LAR,3000,0,0
75463,Jeremy Kerley,WR,NYJ,3600,0,9.2
75464,DeSean Jackson,WR,TB,4600,12.92,18.4
75465,Joe Banyard,RB,BUF,3000,0,0
75468,Austin Seferian-Jenkins,TE,NYJ,3000,0,8.1
75476,Damiere Byrd,WR,CAR,3000,0,0
75477,Terrell Watson,RB,PIT,3000,0,0.3
75480,Andy Janovich,RB,DEN,3000,0,0.2
75481,Richard Rodgers,TE,GB,2700,0,0
75486,Carlos Hyde,RB,SF,5200,16.32,24.4
75487,Michael Crabtree,WR,OAK,7400,18.06,1.7
75492,Falcons ,DST,ATL,2500,6.98,3
75494,Jerick McKinnon,RB,MIN,4000,0,2.4
75499,Max McCaffrey,WR,JAX,3000,0,0
75501,Jonathan Stewart,RB,CAR,4700,15.44,7.1
75509,Redskins ,DST,WAS,2400,6.88,14
75525,Bilal Powell,RB,NYJ,4200,11.46,9.7
75530,Panthers ,DST,CAR,2600,7.18,0
75546,Pierre Garcon,WR,SF,5300,13,24.2
75547,Devontae Booker,RB,DEN,3500,0,0
75550,Nelson Agholor,WR,PHI,4200,10.45,4
75555,Ryan Switzer,WR,DAL,3000,0,0.3
75558,Kevin Hogan,QB,CLE,4600,0,0
75559,Eli Manning,QB,NYG,5300,15.53,27.64
75565,Tevin Coleman,RB,ATL,5300,12.68,11.9
75572,Mack Hollins,WR,PHI,3000,0,0
75573,Bryce Petty,QB,NYJ,4000,0,0
75574,Vance McDonald,TE,PIT,2800,0,0
75575,Tyler Ott,TE,SEA,2500,0,0
75578,Cameron Artis-Payne,RB,CAR,3000,0,0
75591,Le'Veon Bell,RB,PIT,8800,25,21.8
75592,Ty Montgomery,RB,GB,6900,19.72,13
75596,Tommy Bohanon,RB,JAX,3000,0,1.8
75604,Chris Johnson,RB,ARI,4200,10.85,3.1
75606,Evan Engram,TE,NYG,3200,10.11,9.5
75607,Wendell Smallwood,RB,PHI,3800,4,9
75612,Corey Clement,RB,PHI,3000,0,8.2
75614,James Hanna,TE,DAL,2500,0,0
75625,Braxton Miller,WR,HOU,3100,2.94,2.5
75626,Ryan Griffin,TE,HOU,3000,0,17.1
75632,Matt Moore,QB,MIA,4500,0,0
75637,Andre Holmes,WR,BUF,3000,3.18,8.6
75638,Arrelious Benn,WR,JAX,3000,3.4,0
75639,Derek Watt,RB,LAC,3000,0,0
75642,Coby Fleener,TE,NO,4100,11.85,3.1
75649,Nathan Peterman,QB,BUF,4000,0,0
75653,Randall Telfer,TE,CLE,2500,0,1.4
75657,Jake Rudock,QB,DET,4200,0,0
75658,Eric Saubert,TE,ATL,2500,0,0
75659,Ryan Hewitt,TE,CIN,2500,0,0
75661,James White,RB,NE,5400,12.3,3.8
75669,Josh Doctson,WR,WAS,3500,3.54,12.2
75674,Will Tye,TE,NYJ,2600,6.01,0
75677,Austin Carr,WR,NO,3000,0,0
75679,Dion Sims,TE,CHI,2500,0,0
75680,Jets ,DST,NYJ,2100,2.92,14
75686,Buccaneers ,DST,TB,3200,8.63,-1
75689,Duke Johnson Jr.,RB,CLE,4200,11.46,22.4
75696,Tyrell Williams,WR,LAC,4600,12.41,3.5
75697,Kenny Britt,WR,CLE,4100,6.05,14.4
75700,Brock Osweiler,QB,DEN,4200,0,0
75715,Ryan Mallett,QB,BAL,4000,0,5.44
75716,Trey Burton,TE,PHI,2500,0,2.7
75722,Josh Reynolds,WR,LAR,3000,0,0
75723,Jamaal Williams,RB,GB,4400,0,0.6
75724,Keith Smith,RB,DAL,3000,0,0
75725,Michael Roberts,TE,DET,2500,0,0
75730,Kenny Stills,WR,MIA,4400,11.21,9.1
75731,Taysom Hill,QB,NO,4000,0,0
75738,Tyler Bray,QB,KC,4000,0,0
75741,Devante Mays,RB,GB,3500,0,0
75747,Robby Anderson,WR,NYJ,3400,7.33,18.5
75748,Kasen Williams,WR,CLE,3000,0,2
75749,Bernard Reedy,WR,TB,3000,0,1.9
75750,Branden Oliver,RB,LAC,4000,4.05,7.4
75757,Justin Hunter,WR,PIT,3000,0,0
75758,Case Keenum,QB,MIN,4500,9.94,31.56
75760,Demaryius Thomas,WR,DEN,5900,15.1,15.8
75761,Stacy Coley,WR,MIN,3000,0,0
75762,Adrian Peterson,RB,NO,3900,0,5.7
75769,ArDarius Stewart,WR,NYJ,3100,3.48,3.4
75770,Devonta Freeman,RB,ATL,6700,18.63,25.8
75771,Darren Fells,TE,DET,2500,0,1.8
75781,Mike Gillislee,RB,NE,5700,11.74,3.1
75782,Trey Edmunds,RB,NO,3000,0,0
75785,Phillip Supernaw,TE,TEN,2500,0,1.3
75794,Jamaal Charles,RB,DEN,4200,7.75,12.7
75799,Carson Wentz,QB,PHI,5900,18.24,13.24
75801,Clark Harris,TE,CIN,2500,0,0
75802,Chris Ivory,RB,JAX,3800,0,6.2
75808,Trevor Siemian,QB,DEN,5500,17.48,9.56
75812,Darren Sproles,RB,PHI,3900,10.3,1.1
75813,Jameis Winston,QB,TB,6000,18.87,21.52
75816,Jehu Chesson,WR,KC,3000,0,0
75828,Matt Schaub,QB,ATL,4300,0,0
75829,Adam Shaheen,TE,CHI,2500,0,7.2
75834,Alex Collins,RB,BAL,3500,0,8.2
75835,Antonio Brown,WR,PIT,9000,22.96,30
75839,Nick Williams,WR,ATL,3000,0,0
75840,Chester Rogers,WR,IND,3000,0,0
75841,Taiwan Jones,RB,BUF,3000,0,0
75848,Jeff Janis,WR,GB,3300,0,0
75863,Cordarrelle Patterson,WR,OAK,3000,0,2.2
75868,Will Fuller V,WR,HOU,3800,0,0
75869,Giovani Bernard,RB,CIN,3800,8.75,11.9
75874,Kyle Juszczyk,RB,SF,3000,0,4.4
75877,Rod Smith,RB,DAL,3300,0,0
75880,Deonte Thompson,WR,CHI,3500,9.15,1.9
75883,Tyler Kroft,TE,CIN,2500,3.64,5.8
75890,Mike Glennon,QB,CHI,4700,12.78,7.44
75891,Chargers ,DST,LAC,2800,6.76,5
75897,Melvin Gordon,RB,LAC,7600,19.19,13.9
75900,Delanie Walker,TE,TEN,4400,13.7,7.1
75904,Rams ,DST,LAR,3500,8.25,4
75905,Charone Peake,WR,NYJ,3000,0,0
75906,Mike Tolbert,RB,BUF,3800,5.46,4.1
75907,Tre Madden,RB,SEA,3000,0,0
75912,Luke Willson,TE,SEA,2600,0,14.3
75921,Greg Olsen,TE,CAR,4900,0,0
75925,Jordan Taylor,WR,DEN,3000,0,0
75931,Antony Auclair,TE,TB,2500,0,0
75936,Derek Carrier,TE,LAR,2500,0,2.7
75939,Nick Foles,QB,PHI,4300,0,0
75944,MarQueis Gray,TE,MIA,2500,0,0
75954,Brandon LaFell,WR,CIN,3700,10.09,1.5
75955,Aaron Jones,RB,GB,3700,0,0
75960,Zay Jones,WR,BUF,3100,5.34,0
75963,Mike Evans,WR,TB,7500,20.13,13.7
75964,Chris Hogan,WR,NE,6100,13.15,22.8
75965,Chad Hansen,WR,NYJ,3000,0,0
75968,Travis Kelce,TE,KC,6000,15.66,1.1
75974,Brandin Cooks,WR,NE,7300,13.73,35.1
75984,David Fluellen,RB,TEN,3000,0,0
75991,Ryan Grant,WR,WAS,3500,0,6.1
75992,Kamar Aiken,WR,IND,3300,4.99,1.9
75994,Emmanuel Sanders,WR,DEN,5800,15.74,14.5
75995,Paul Richardson,WR,SEA,4100,10.66,11
75996,Tom Brady,QB,NE,7700,21.29,39.72
75997,Ross Travis,TE,KC,2500,0,0
75998,Geoff Swaim,TE,DAL,2500,0,0
76006,Matthew Dayes,RB,CLE,3000,0,0
76013,Jeremy Maclin,WR,BAL,5200,12.09,1.8
76014,Brian Hill,RB,ATL,3000,0,0
76016,Tom Savage,QB,HOU,4400,0,0
76021,J.D. McKissic,RB,SEA,3000,0,0
76025,Kendall Wright,WR,CHI,4300,11.3,0
76026,Jesse James,TE,PIT,3300,8.42,3.9
76029,Quan Bray,WR,IND,3000,0,3.2
76030,Marlon Mack,RB,IND,3800,0,0
76044,Chase Daniel,QB,NO,4600,0,0
76049,Niles Paul,TE,WAS,2500,0,0.7
76052,Tre McBride,WR,CHI,3000,0,0
76053,Lamar Miller,RB,HOU,5000,14.07,7.3
76057,Marvin Jones Jr.,WR,DET,4200,12.44,5.4
76061,Zach Ertz,TE,PHI,5000,15.45,18.5
76064,Patrick DiMarco,RB,BUF,3000,0,0
76068,Elijah McGuire,RB,NYJ,3500,0,2.4
76069,Kirk Cousins,QB,WAS,6100,20.08,29.8
76073,Theo Riddick,RB,DET,5100,14.32,7.8
76076,Chiefs ,DST,KC,2900,7.4,12
76079,Raheem Mostert,RB,SF,3000,0,0.1
76080,Chad Williams,WR,ARI,3000,0,1.8
76081,Ameer Abdullah,RB,DET,4700,13.27,11.6
76087,Jermaine Gresham,TE,ARI,2700,5.76,9.7
76088,Michael Hoomanawanui,TE,NO,2500,0,0
76105,Peyton Barber,RB,TB,3000,0,0
76107,Gerald Everett,TE,LAR,2500,0,0
76108,Larry Fitzgerald,WR,ARI,6400,17.88,36.9
76111,Jamize Olawale,RB,OAK,3000,0,0
76113,Rex Burkhead,RB,NE,4000,0,0
76118,Jordan Matthews,WR,BUF,3500,7.04,9.1
76124,DeMarco Murray,RB,TEN,5500,11.22,22
76135,Garrett Celek,TE,SF,2500,0,7.1
76136,Ben Koyack,TE,JAX,2500,3,0
76138,Rhett Ellison,TE,NYG,2500,0,0
76147,Geronimo Allison,WR,GB,3000,5.03,21.2
76161,Breshad Perriman,WR,BAL,3000,4.53,0
76162,Tion Green,RB,DET,3000,0,0
76169,Brandon Tate,WR,BUF,3000,0,0
76170,Chris Godwin,WR,TB,3000,0,7.4
76175,Phillip Dorsett,WR,NE,4000,0,0
76176,Joshua Dobbs,QB,PIT,4000,0,0
76180,Jordy Nelson,WR,GB,7800,16,23.2
76181,Anthony Sherman,RB,KC,3000,0,2.1
76183,Markus Wheaton,WR,CHI,3500,0,0
76184,Samaje Perine,RB,WAS,4500,9.2,5.5
76188,David Njoku,TE,CLE,2800,0,9.2
76189,Titans ,DST,TEN,2700,7.5,1
76193,Sammie Coates,WR,CLE,3100,0,0
76196,Michael Thomas,WR,NO,7000,16.74,21.7
76197,Kenny Golladay,WR,DET,4600,9.26,4.5
76198,Tyler Lockett,WR,SEA,4300,12.24,5
76199,Demarcus Robinson,WR,KC,3000,0,2.9
76200,Joe Mixon,RB,CIN,4500,8.95,13.1
76208,Vince Mayle,WR,BAL,3000,0,0
76218,Chris Matthews,WR,BAL,3000,0,1.8
76220,Kyle Nelson,TE,SF,2500,0,0
76225,Kaelin Clay,WR,BUF,3000,0,3.8
76226,Cody Core,WR,CIN,3000,0,0
76230,Tavon Austin,WR,LAR,3400,7.25,0.4
76231,Nick Boyle,TE,BAL,2500,3.54,3.4
76243,Brandon Marshall,WR,NYG,5000,9.87,14.6
76250,Golden Tate,WR,DET,6900,16.31,18.8
76253,Chad Henne,QB,JAX,4300,0,-0.3
76254,Trevor Davis,WR,GB,3000,0,0
76258,Josh Gordon,WR,CLE,4000,0,0
76259,Terrance Williams,WR,DAL,3600,10.93,7.7
76260,De'Anthony Thomas,WR,KC,3000,0,2.4
76262,Jimmy Garoppolo,QB,NE,5600,0,0
76274,Evan Baylis,TE,HOU,2600,0,0
76280,Randall Cobb,WR,GB,6000,0,0
76281,Drew Brees,QB,NO,7200,21.36,20.8
76283,EJ Manuel,QB,OAK,4000,0,0
76287,Jay Cutler,QB,MIA,6100,15.54,12.7
76296,Matt LaCosse,TE,NYG,2500,0,0
76302,De'Angelo Henderson,RB,DEN,3600,0,0.1
76305,Victor Bolden Jr.,WR,SF,3000,0,0
76310,Fozzy Whittaker,RB,CAR,3000,0,1.2
76316,C.J. Prosise,RB,SEA,3700,0,10.4
76317,Joe Webb,QB,BUF,4000,0,0
76338,Trent Taylor,WR,SF,3000,0,12.2
76339,Dak Prescott,QB,DAL,5800,19.3,22.92
76343,Jordan Todman,RB,HOU,3000,0,0
76350,Rashard Higgins,WR,CLE,4000,10.41,3
76353,Bills ,DST,BUF,2600,6.63,8
76362,Mike Williams,WR,LAC,3700,0,0
76363,Paul Perkins,RB,NYG,3800,5.18,5
76368,Stefon Diggs,WR,MIN,6500,12.66,40.3
76369,John Kuhn,RB,NO,3000,0,0
76370,Saints ,DST,NO,2000,2.24,14
76375,Jack Doyle,TE,IND,3600,10.61,2.6
76379,Jonnu Smith,TE,TEN,2600,0,9.4
76383,Senorise Perry,RB,MIA,3000,0,0
76389,Dolphins ,DST,MIA,3700,8.08,5
76396,Taywan Taylor,WR,TEN,3600,3.46,3.5
76401,D.J. Foster,RB,ARI,3500,0,0
76410,Jason Witten,TE,DAL,4500,13.98,1.3
76414,Nick O'Leary,TE,BUF,2500,0,4.1
76423,Packers ,DST,GB,3400,6.67,6
76425,Russell Shepard,WR,CAR,3500,8.24,0
76428,Roger Lewis,WR,NYG,3300,0,1.6
76433,Joe Flacco,QB,BAL,5300,14.6,-0.88
