Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
26,863868430,dtsports,0,139.54,DST Browns  QB Drew Brees RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon WR Michael Thomas FLEX Kareem Hunt WR Taylor Gabriel TE Evan Engram,,Devin Funchess,10.26%,6.6
27,863907020,Turgenev,0,137.64,DST Falcons  QB Drew Brees WR Jordy Nelson RB Mark Ingram TE Jordan Reed RB Jerick McKinnon WR Michael Thomas WR Adam Thielen FLEX DeMarco Murray,,Buccaneers ,7.69%,8
28,863464643,Kylecunn,0,134.04,DST Eagles  FLEX DeSean Jackson QB Blake Bortles WR Jarvis Landry RB Melvin Gordon TE Hunter Henry WR Will Fuller V RB C.J. Anderson WR Emmanuel Sanders,,Todd Gurley II,7.69%,16
29,863784528,TKWinsome,0,131.5,DST Redskins  WR Michael Crabtree RB Mark Ingram RB Chris Thompson WR Jarvis Landry QB Deshaun Watson FLEX C.J. Anderson TE Delanie Walker WR T.Y. Hilton,,Rob Gronkowski,7.69%,26.3
30,863440972,ceebear1019,0,129.28,DST Buccaneers  RB Adrian Peterson WR Julio Jones WR Terrelle Pryor Sr. TE Austin Seferian-Jenkins QB Carson Wentz WR Nelson Agholor RB Kareem Hunt FLEX T.Y. Hilton,,Terrelle Pryor Sr.,7.69%,5.3
31,863784145,greeneyedbandit,0,128.8,DST Cardinals  WR DeAndre Hopkins FLEX Jerick McKinnon TE Tyler Higbee WR Davante Adams WR Ricardo Louis RB Kareem Hunt RB Leonard Fournette QB Deshaun Watson,,DeSean Jackson,7.69%,12.8
32,863654065,Kegrat,0,119.06,DST Falcons  TE Zach Miller QB Cam Newton FLEX Austin Seferian-Jenkins WR Davante Adams WR Devin Funchess RB Kareem Hunt RB Christian McCaffrey WR T.Y. Hilton,,Will Fuller V,7.69%,14.2
33,863949378,jbursich,0,117.46,DST Texans  QB Cam Newton RB James White TE Austin Seferian-Jenkins WR Martavis Bryant WR Nelson Agholor WR Devin Funchess RB Kareem Hunt FLEX T.Y. Hilton,,Kirk Cousins,7.69%,31.8
34,863829490,estro,0,115.4,DST Redskins  TE Ed Dickson WR Golden Tate QB Kirk Cousins FLEX Jarvis Landry RB Alvin Kamara RB C.J. Anderson WR Rishard Matthews WR T.Y. Hilton,,Kelvin Benjamin,7.69%,18.9
35,863688625,BigRedBear2015,0,114.56,DST Chiefs  WR DeSean Jackson QB Cam Newton TE Kyle Rudolph FLEX Jerick McKinnon WR Devin Funchess RB Kareem Hunt WR Will Fuller V RB C.J. Anderson,,Ricardo Louis,7.69%,5.5
36,863496245,pandajungle31,0,113.66,QB Brian Hoyer TE Ed Dickson WR Pierre Garcon WR Keenan Allen RB Jerick McKinnon FLEX Melvin Gordon WR Michael Thomas RB Alvin Kamara DST Broncos ,,Mike Wallace,5.13%,6
