Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
25,861355941,SlowQueen (3/3),0,158,RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon TE Austin Seferian-Jenkins WR Jamison Crowder WR Adam Thielen FLEX Kareem Hunt QB Deshaun Watson DST Broncos ,,Pierre Garcon,8.25%,10.5
26,863486745,mikew2069,0,157.36,WR Jordy Nelson TE Ed Dickson QB Cam Newton RB Mark Ingram RB Le'Veon Bell WR Jamison Crowder WR Adam Thielen DST Broncos  FLEX DeMarco Murray,,Cameron Brate,8.25%,19.6
27,861355939,SlowQueen (1/3),0,157.3,DST Falcons  RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon TE Austin Seferian-Jenkins WR Adam Thielen FLEX Kareem Hunt WR Taylor Gabriel QB Deshaun Watson,,Redskins ,8.25%,5
28,863029601,SUNSET76 (1/5),0,155.8,DST Buccaneers  WR Michael Crabtree FLEX Mark Ingram TE Zach Ertz QB Kevin Hogan WR Adam Humphries WR Adam Thielen RB Kareem Hunt RB Leonard Fournette,,Falcons ,7.77%,3
29,862400602,Professional (3/3),0,154.4,RB Mark Ingram WR Julio Jones TE Kyle Rudolph WR DeAndre Hopkins RB Jerick McKinnon WR Adam Thielen FLEX Alvin Kamara QB Deshaun Watson DST Broncos ,,Larry Fitzgerald,7.77%,31.8
30,862868445,sbro1583,0,153.62,DST Redskins  QB Carson Palmer WR Larry Fitzgerald RB Doug Martin WR Antonio Brown TE Cameron Brate RB James White FLEX Davante Adams WR Roger Lewis,,Nelson Agholor,7.77%,15.5
31,862040603,jlew126 (1/3),0,151.14,QB Drew Brees RB Mark Ingram WR John Brown WR DeAndre Hopkins RB Jerick McKinnon WR Adam Thielen TE Austin Hooper FLEX Kareem Hunt DST Broncos ,,Devin Funchess,7.77%,6.6
31,862040650,jlew126 (2/3),0,151.14,QB Drew Brees RB Mark Ingram WR John Brown WR DeAndre Hopkins RB Jerick McKinnon WR Adam Thielen TE Austin Hooper FLEX Kareem Hunt DST Broncos ,,Julio Jones,7.77%,13.2
31,862049609,jlew126 (3/3),0,151.14,QB Drew Brees RB Mark Ingram WR John Brown WR DeAndre Hopkins RB Jerick McKinnon WR Adam Thielen TE Austin Hooper FLEX Kareem Hunt DST Broncos ,,Austin Seferian-Jenkins,7.77%,17.6
34,863038830,SUNSET76 (4/5),0,150.6,TE Zach Miller WR Antonio Brown RB Mark Ingram WR DeAndre Hopkins FLEX Jerick McKinnon QB Kevin Hogan WR Jamison Crowder RB Kareem Hunt DST Broncos ,,Jarvis Landry,7.28%,20.2
35,863106829,demarchi411 (2/2),0,149.76,TE Ed Dickson QB Cam Newton WR Antonio Brown WR Marvin Jones Jr. WR Nelson Agholor RB Kareem Hunt FLEX Will Fuller V RB Alvin Kamara DST Broncos ,,Cam Newton,7.28%,23.66
36,862811501,deen67 (1/6),0,149.38,DST Ravens  WR DeSean Jackson WR Pierre Garcon FLEX Mark Ingram WR John Brown RB Kareem Hunt RB Leonard Fournette TE A.J. Derby QB Jacoby Brissett,,Zach Ertz,7.28%,15.8
36,862811502,deen67 (2/6),0,149.38,DST Ravens  WR DeSean Jackson WR Pierre Garcon FLEX Mark Ingram WR John Brown RB Kareem Hunt RB Leonard Fournette TE A.J. Derby QB Jacoby Brissett,,Taylor Gabriel,6.80%,7.9
36,862811503,deen67 (3/6),0,149.38,DST Ravens  WR DeSean Jackson WR Pierre Garcon FLEX Mark Ingram WR John Brown RB Kareem Hunt RB Leonard Fournette TE A.J. Derby QB Jacoby Brissett,,Ricardo Louis,6.80%,5.5
36,862811504,deen67 (4/6),0,149.38,DST Ravens  WR DeSean Jackson WR Pierre Garcon FLEX Mark Ingram WR John Brown RB Kareem Hunt RB Leonard Fournette TE A.J. Derby QB Jacoby Brissett,,John Brown,6.80%,15.3
36,862811505,deen67 (5/6),0,149.38,DST Ravens  WR DeSean Jackson WR Pierre Garcon FLEX Mark Ingram WR John Brown RB Kareem Hunt RB Leonard Fournette TE A.J. Derby QB Jacoby Brissett,,DeSean Jackson,6.80%,12.8
36,862811506,deen67 (6/6),0,149.38,DST Ravens  WR DeSean Jackson WR Pierre Garcon FLEX Mark Ingram WR John Brown RB Kareem Hunt RB Leonard Fournette TE A.J. Derby QB Jacoby Brissett,,Chris Hogan,6.31%,2.9
42,861947816,CoolFool1951 (1/3),0,149.2,DST Buccaneers  WR Jermaine Kearse TE Kyle Rudolph WR Brandon Coleman FLEX Melvin Gordon RB Todd Gurley II WR Will Fuller V RB Leonard Fournette QB Deshaun Watson,,Javorius Allen,6.31%,9.6
42,861960908,CoolFool1951 (2/3),0,149.2,DST Buccaneers  WR Jermaine Kearse TE Kyle Rudolph WR Brandon Coleman FLEX Melvin Gordon RB Todd Gurley II WR Will Fuller V RB Leonard Fournette QB Deshaun Watson,,Jamison Crowder,5.83%,5.6
44,863028538,Souzabets (1/6),0,148.4,DST 49ers  TE Zach Miller RB Mark Ingram WR DeAndre Hopkins FLEX Jerick McKinnon WR Michael Thomas WR Adam Thielen RB Kareem Hunt QB Deshaun Watson,,Rob Gronkowski,5.83%,26.3
44,863028854,Souzabets (2/6),0,148.4,DST 49ers  TE Zach Miller RB Mark Ingram WR DeAndre Hopkins FLEX Jerick McKinnon WR Michael Thomas WR Adam Thielen RB Kareem Hunt QB Deshaun Watson,,Golden Tate,5.83%,22.6
44,863028855,Souzabets (3/6),0,148.4,DST 49ers  TE Zach Miller RB Mark Ingram WR DeAndre Hopkins FLEX Jerick McKinnon WR Michael Thomas WR Adam Thielen RB Kareem Hunt QB Deshaun Watson,,Jacoby Brissett,5.83%,13.98
44,863028856,Souzabets (4/6),0,148.4,DST 49ers  TE Zach Miller RB Mark Ingram WR DeAndre Hopkins FLEX Jerick McKinnon WR Michael Thomas WR Adam Thielen RB Kareem Hunt QB Deshaun Watson,,DeMarco Murray,5.34%,18.7
44,863028857,Souzabets (5/6),0,148.4,DST 49ers  TE Zach Miller RB Mark Ingram WR DeAndre Hopkins FLEX Jerick McKinnon WR Michael Thomas WR Adam Thielen RB Kareem Hunt QB Deshaun Watson,,Jay Ajayi,4.85%,16
44,863028858,Souzabets (6/6),0,148.4,DST 49ers  TE Zach Miller RB Mark Ingram WR DeAndre Hopkins FLEX Jerick McKinnon WR Michael Thomas WR Adam Thielen RB Kareem Hunt QB Deshaun Watson,,Antonio Brown,4.85%,32.5
50,863182178,kiztulance09,0,148.2,WR Marvin Jones Jr. WR DeAndre Hopkins RB Jerick McKinnon TE Austin Seferian-Jenkins FLEX Kareem Hunt WR Will Fuller V RB Alvin Kamara QB Deshaun Watson DST Broncos ,,Chris Thompson,4.85%,20.8
51,863426079,kerm526,0,148.12,QB Carson Palmer WR Antonio Brown WR John Brown RB Jay Ajayi WR Nelson Agholor RB Samaje Perine FLEX Leonard Fournette TE Delanie Walker DST Titans ,,Lamar Miller,4.85%,11.1
52,860664239,Nexus,0,147.6,DST Falcons  WR Pierre Garcon RB Mark Ingram TE Jordan Reed FLEX Le'Veon Bell WR Jamison Crowder WR Adam Thielen RB Alvin Kamara QB Deshaun Watson,,Buccaneers ,4.85%,8
53,863258648,Hooligans (1/6),0,147.58,DST Falcons  TE Rob Gronkowski RB Mark Ingram WR Julio Jones RB Jerick McKinnon FLEX Todd Gurley II WR Demarcus Robinson WR Emmanuel Sanders QB Jacoby Brissett,,Tyreek Hill,4.85%,7.5
54,863420533,gatoraloha,0,147.4,RB Mark Ingram WR Jaron Brown WR DeAndre Hopkins RB Jerick McKinnon WR Adam Thielen TE George Kittle FLEX Kareem Hunt QB Deshaun Watson DST Broncos ,,Kevin Hogan,4.85%,10.2
55,863405917,Archibus (2/6),0,146.9,WR Golden Tate RB Mark Ingram FLEX John Brown WR DeAndre Hopkins WR Chris Hogan RB Alvin Kamara QB Deshaun Watson DST Broncos  TE Evan Engram,,Doug Martin,4.37%,15.4
55,863414805,Archibus (5/6),0,146.9,WR Golden Tate RB Mark Ingram FLEX John Brown WR DeAndre Hopkins WR Chris Hogan RB Alvin Kamara QB Deshaun Watson DST Broncos  TE Evan Engram,,Melvin Gordon,4.37%,36
57,863405911,Archibus (1/6),0,146.66,WR DeSean Jackson QB Case Keenum RB Mark Ingram WR Julio Jones WR Adam Thielen FLEX Kareem Hunt RB Alvin Kamara DST Broncos  TE Evan Engram,,Carson Palmer,4.37%,21.92
58,863467429,Doughty74 (2/3),0,146.46,DST Patriots  QB Cam Newton TE Coby Fleener WR Randall Cobb WR Mike Evans RB Melvin Gordon WR Davante Adams FLEX Alvin Kamara RB Christian McCaffrey,,A.J. Derby,4.37%,2
58,863474548,Doughty74 (3/3),0,146.46,DST Patriots  QB Cam Newton TE Coby Fleener WR Randall Cobb WR Mike Evans RB Melvin Gordon WR Davante Adams FLEX Alvin Kamara RB Christian McCaffrey,,Patriots ,3.88%,11
60,863022642,kingzachariah,0,146.3,DST Lions  RB Chris Thompson TE Cameron Brate WR Nelson Agholor RB Todd Gurley II FLEX Kareem Hunt WR Will Fuller V QB Deshaun Watson WR T.Y. Hilton,,Jermaine Kearse,3.88%,11.9
61,861330297,Theboozetraveler,0,145.64,QB Drew Brees TE Zach Miller WR Michael Crabtree RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon FLEX Devonta Freeman WR Adam Thielen DST Broncos ,,Danny Amendola,3.88%,7
62,863233834,xomar80x,0,144.94,QB Drew Brees RB Mark Ingram WR DeAndre Hopkins RB Jerick McKinnon FLEX Devonta Freeman WR Amari Cooper WR Adam Thielen DST Broncos  TE Evan Engram,,Emmanuel Sanders,3.88%,12.6
63,863444495,tcahill53 (2/2),0,144.46,QB Cam Newton RB Chris Thompson TE Cameron Brate RB Jerick McKinnon WR Devin Funchess WR Will Fuller V FLEX Leonard Fournette DST Broncos  WR T.Y. Hilton,,Mike Evans,3.88%,18.5
64,860887147,loopy22 (3/3),0,144.38,FLEX Jordy Nelson WR Torrey Smith WR Antonio Brown TE Zach Ertz RB Jerick McKinnon QB Carson Wentz WR Nelson Agholor RB Alvin Kamara DST Broncos ,,Jordan Reed,3.40%,7.7
65,863355141,trixgold,0,143.12,DST Rams  QB Carson Palmer RB Mark Ingram WR Terrelle Pryor Sr. TE Zach Ertz WR DeAndre Hopkins WR Davante Adams RB Duke Johnson Jr. FLEX Rishard Matthews,,Kyle Rudolph,3.40%,9.7
66,863258650,Hooligans (3/6),0,142.9,DST Falcons  RB Mark Ingram WR Julio Jones WR DeAndre Hopkins RB Jerick McKinnon FLEX Todd Gurley II WR Demarcus Robinson TE Hunter Henry QB Deshaun Watson,,Austin Hooper,3.40%,11.8
