player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median,New Projection,,Week,Name,Pos,DK points,New Predicted,Average Projection
Vikings,DST,13.23,2.92,7.4,19.07,12.88,14.5,#N/A,,4,David Johnson,RB,15.401,13.3000486,19.29
Texans,DST,11.22,3.93,3.36,19.09,10.57,10.2,#N/A,,4,Rashard Higgins,WR,0.001,2.2273022,4.42
Redskins,DST,11.15,6.95,-2.74,25.04,9.5,7.9,#N/A,,4,Mike Tolbert,RB,0.901,7.2100128,4.101666667
Panthers,DST,11.02,3.19,4.65,17.4,10.59,10.35,#N/A,,4,Charles Johnson,WR,9.001,2.7189899,6.633333333
Broncos,DST,10.52,3.26,4,17.05,10.08,9.35,#N/A,,4,Dion Sims,TE,1.901,15.54325,5.901666667
Buccaneers,DST,10.32,6.81,-3.29,23.94,8.65,7.1,#N/A,,4,Albert Wilson,WR,10.201,4.7999833,4.398333333
Jaguars,DST,10.3,4.04,2.22,18.38,9.6,7.8,#N/A,,4,Kenyan Drake,RB,1.501,6.1490674,4.78
Colts,DST,10.27,4.29,1.7,18.84,9.4,9.1,#N/A,,4,Darren Fells,TE,2.701,17.82145,4.363333333
Cardinals,DST,9.85,2.45,4.95,14.75,9.58,8.7,#N/A,,4,Tim Hightower,RB,1.101,7.2264786,4.45
Giants,DST,9.53,4.6,0.34,18.73,8.57,6.9,#N/A,,4,Garrett Celek,TE,12.901,8.70865,5.273333333
Lions,DST,9.48,3.81,1.86,17.09,8.86,7.55,#N/A,,4,Alfred Morris,RB,3.401,9.2089718,4.836666667
Patriots,DST,9.35,3.87,1.6,17.1,8.71,7.55,#N/A,,4,Justin Hardy,WR,0.001,4.459802,4.626666667
Chiefs,DST,9.35,2.44,4.47,14.23,9.01,9.5,#N/A,,4,Kamar Aiken,WR,3.901,6.5826933,5.183333333
Bengals,DST,9.3,3.38,2.54,16.06,8.74,7.7,#N/A,,4,Dwayne Washington,RB,2.401,7.647313,7.731666667
Seahawks,DST,9.25,3.43,2.4,16.1,8.71,7.95,#N/A,,4,Orleans Darkwa,RB,10.801,3.2393706,4.605
Steelers,DST,9,2.95,3.11,14.89,8.59,7.6,#N/A,,4,Jamaal Charles,RB,0.701,11.1359174,15.08
Raiders,DST,8.38,4.52,-0.67,17.42,7.39,6.55,#N/A,,4,Breshad Perriman,WR,5.401,7.2254067,4.768333333
Falcons,DST,8.34,7,-5.66,22.34,6.36,4.7,#N/A,,4,Will Tye,TE,8.301,11.5564,5.19
Jets,DST,8.32,4.19,-0.06,16.7,7.39,6.6,#N/A,,4,Shaun Draughn,RB,1.801,6.3264978,7.055
Bills,DST,8.12,4.56,-1,17.25,7.17,5.7,#N/A,,4,Larry Donnell,TE,0.001,11.5564,5.67
Dolphins,DST,8.1,4.32,-0.53,16.73,7.02,6.5,#N/A,,4,Travaris Cadet,RB,0.001,8.3243962,5.088333333
Bears,DST,7.98,3.52,0.94,15.01,7.35,6.4,#N/A,,4,Tyler Lockett,WR,2.301,5.5205725,9.608333333
Saints,DST,7.88,4.27,-0.65,16.41,6.95,6.5,#N/A,,4,Quinton Patton,WR,2.301,5.2416734,6.933333333
Ravens,DST,7.85,4.2,-0.54,16.24,6.96,6.05,#N/A,,4,Jermaine Kearse,WR,5.301,5.825065,7.58
Titans,DST,7.83,4.88,-1.94,17.59,6.55,6.1,#N/A,,4,Devin Funchess,WR,7.601,6.6331499,6.603333333
Cowboys,DST,7.65,3.81,0.03,15.27,6.86,6.1,#N/A,,4,DeAndre Washington,RB,6.601,5.4134086,4.793333333
Chargers,DST,7.28,3.33,0.61,13.94,6.67,5.7,#N/A,,4,Markus Wheaton,WR,12.001,6.04386,6.975
49ers,DST,7,4.68,-2.37,16.37,5.86,4.5,#N/A,,4,John Brown,WR,27.401,5.4316477,10.115
Browns,DST,6.56,3.43,-0.3,13.42,5.8,6,#N/A,,4,Ryan Griffin,TE,8.401,11.5564,6.11
Cam Newton,QB,22.94,2.23,18.48,27.4,22.83,23.02,23.675093,,4,Derrick Henry,RB,0.901,7.689197,7.426666667
Drew Brees,QB,22.65,2.02,18.61,26.69,22.55,23.04,25.7966431,,4,Tyler Boyd,WR,2.001,6.907394,8.236666667
Philip Rivers,QB,21.51,3.03,15.44,27.58,21.29,22.42,21.6981079,,4,Tajae Sharpe,WR,3.501,4.8839625,8.996666667
Andrew Luck,QB,21.33,1.4,18.52,24.14,21.29,20.96,20.8053159,,4,Clive Walford,TE,4.301,10.98685,6.96
Blake Bortles,QB,20.52,2.39,15.75,25.3,20.39,19.84,22.7432798,,4,Vincent Jackson,WR,6.801,4.3911,8.65
Matthew Stafford,QB,20.13,1.75,16.62,23.64,20.06,19.85,19.510964,,4,Torrey Smith,WR,1.301,6.2048066,10.295
