player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median,New Projection,,Week,Name,Pos,DK points,New Predicted,Average Projection
Fitzgerald Toussaint,RB,0.74,0.96,-1.19,2.67,0.43,0.44,#N/A,,,,,,,
Malcolm Johnson,RB,0.73,0.34,0.06,1.41,0.65,0.74,#N/A,,,,,,,
Patrick DiMarco,RB,0.72,0.32,0.07,1.37,0.66,0.59,#N/A,,,,,,,
Peyton Barber,RB,0.69,0.28,0.13,1.25,0.63,0.64,#N/A,,,,,,,
Jonathan Williams,RB,0.63,0.29,0.04,1.22,0.58,0.51,#N/A,,,,,,,
Jordan Todman,RB,0.63,0.71,-0.79,2.05,0.6,0.34,#N/A,,,,,,,
James Develin,RB,0.55,0.69,-0.83,1.93,0.41,0.24,#N/A,,,,,,,
Isaiah Pead,RB,0.55,0.83,-1.1,2.2,0.66,0.11,#N/A,,,,,,,
Zach Line,RB,0.52,0.54,-0.55,1.59,0.29,0.35,#N/A,,,,,,,
Troymaine Pope,RB,0.46,0.51,-0.55,1.48,0.16,0.27,#N/A,,,,,,,
Jalston Fowler,RB,0.41,0.43,-0.44,1.26,0.39,0.25,#N/A,,,,,,,
Rex Burkhead,RB,0.32,0.52,-0.72,1.35,0.17,0.1,#N/A,,,,,,,
Aaron Ripkowski,RB,0.25,0.33,-0.4,0.9,0.11,0.1,#N/A,,,,,,,
Jay Prosch,RB,0.19,0.16,-0.13,0.52,0.21,0.16,#N/A,,,,,,,
Jerome Felton,RB,0.18,0.16,-0.15,0.5,0.28,0.2,#N/A,,,,,,,
Michael Burton,RB,0.15,0.11,-0.06,0.36,0.19,0.15,#N/A,,,,,,,
Darius Jackson,RB,0.12,0.2,-0.27,0.51,0.12,0.02,#N/A,,,,,,,
George Atkinson,RB,0.12,0.22,-0.32,0.56,0.09,0.01,#N/A,,,,,,,
Daryl Richardson,RB,0.11,0.19,-0.26,0.48,0.43,0,#N/A,,,,,,,
Raheem Mostert,RB,0.1,0.14,-0.18,0.38,0.3,0,#N/A,,,,,,,
Roosevelt Nix,RB,0.06,0.07,-0.08,0.2,0.06,0.02,#N/A,,,,,,,
Dri Archer,RB,0.01,0.01,-0.02,0.03,0.03,0,#N/A,,,,,,,
Chase Reynolds,RB,0,0,-0.01,0.01,0.01,0,#N/A,,,,,,,
Marshaun Coprich,RB,0,0,0,0,,0,#N/A,,,,,,,
Gus Johnson,RB,0,0,0,0,,0,#N/A,,,,,,,
Brandon Wegher,RB,0,0,0,0,,0,#N/A,,,,,,,
DuJuan Harris,RB,0,0,0,0,,0,#N/A,,,,,,,
Khiry Robinson,RB,0,0,0,0,,0,#N/A,,,,,,,
Rod Smith,RB,0,0,0,0,,0,#N/A,,,,,,,
Andre Williams,RB,0,0,0,0,,0,#N/A,,,,,,,
Bishop Sankey,RB,0,0,0,0,,0,#N/A,,,,,,,
Dan Herron,RB,0,0,0,0,,0,#N/A,,,,,,,
Kerwynn Williams,RB,0,0,0,0,,0,#N/A,,,,,,,
Stevan Ridley,RB,0,0,0,0,,0,#N/A,,,,,,,
Joey Iosefa,RB,0,0,0,0,,0,#N/A,,,,,,,
Tommy Bohanon,RB,0,0,0,0,,0,#N/A,,,,,,,
David Cobb,RB,0,0,0,0,,0,#N/A,,,,,,,
Antone Smith,RB,0,0,0,0,,0,#N/A,,,,,,,
George Winn,RB,0,0,0,0,,0,#N/A,,,,,,,
Marcel Reece,RB,0,0,0,0,,0,#N/A,,,,,,,
Juwan Thompson,RB,0,0,0,0,,0,#N/A,,,,,,,
Greg Olsen,TE,14.43,1.96,10.51,18.35,14.31,13.91,#N/A,,,,,,,
Jordan Reed,TE,12.55,3.06,6.43,18.67,12.09,13.2,#N/A,,,,,,,
Rob Gronkowski,TE,12.2,4.42,3.35,21.05,10.91,13.77,#N/A,,,,,,,
Jason Witten,TE,11.1,3.24,4.61,17.58,10.73,10.24,#N/A,,,,,,,
Martellus Bennett,TE,10.82,1.52,7.78,13.86,10.72,10.42,#N/A,,,,,,,
Antonio Gates,TE,10.76,5.47,-0.18,21.7,9.38,10.03,#N/A,,,,,,,
Delanie Walker,TE,10.2,3.08,4.05,16.36,9.66,11.19,#N/A,,,,,,,
Kyle Rudolph,TE,9.33,1.26,6.8,11.86,9.24,9.64,#N/A,,,,,,,
Zach Ertz,TE,9.28,3.01,3.26,15.3,8.63,11.32,#N/A,,,,,,,
Eric Ebron,TE,9.22,1.66,5.91,12.53,9.04,9.65,#N/A,,,,,,,
Cameron Brate,TE,8.8,0.91,6.99,10.61,8.76,8.7,#N/A,,,,,,,
Zach Miller,TE,8.78,1.04,6.71,10.85,8.72,8.84,#N/A,,,,,,,
Gary Barnidge,TE,8.77,4.21,0.34,17.2,5.65,9.23,#N/A,,,,,,,
Clive Walford,TE,8.61,0.5,7.6,9.62,8.6,8.39,#N/A,,,,,,,
Jesse James,TE,7.82,1.37,5.08,10.55,7.67,8.16,#N/A,,,,,,,
Dennis Pitta,TE,7.76,4.02,-0.28,15.8,5.81,9.5,#N/A,,,,,,,
Charles Clay,TE,7.75,2.21,3.33,12.18,7.34,7.94,#N/A,,,,,,,
Tyler Eifert,TE,7.72,3.63,0.46,14.98,9.18,8.97,#N/A,,,,,,,
Hunter Henry,TE,7.16,3.08,1,13.31,6.36,7.78,#N/A,,,,,,,
Jacob Tamme,TE,7.07,1.97,3.13,11,6.74,7.3,#N/A,,,,,,,
