Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
26,853724527,SoulChild,0,174.22,DST Chiefs  FLEX Latavius Murray QB Brian Hoyer WR Dez Bryant WR Pierre Garcon WR T.Y. Hilton RB Le'Veon Bell TE Austin Seferian-Jenkins RB Melvin Gordon,,Jordy Nelson,9.68%,10.4
27,852825365,jdwaltrich,0,174.02,WR DeAndre Hopkins DST Raiders  QB Philip Rivers RB Marshawn Lynch FLEX Pierre Garcon WR T.Y. Hilton TE Cameron Brate WR Jarvis Landry RB Leonard Fournette,,Carlos Hyde,9.61%,2.8
28,853461064,walterhouston22,0,173.64,WR DeAndre Hopkins FLEX Tyreek Hill TE Zach Miller DST Dolphins  WR Dez Bryant WR T.Y. Hilton RB Jay Ajayi QB Dak Prescott RB Wayne Gallman,,Evan Engram,9.39%,0
29,853987198,andrewthebruin,0,173.26,DST Eagles  WR Dez Bryant WR T.Y. Hilton RB Le'Veon Bell TE Cameron Brate WR Jarvis Landry FLEX Adam Humphries RB Melvin Gordon QB Jameis Winston,,Larry Fitzgerald,8.81%,11.1
30,853759786,captnswaggnz,0,173.14,WR Tyreek Hill FLEX Travis Kelce DST 49ers  RB Marshawn Lynch TE Martellus Bennett WR Dez Bryant WR T.Y. Hilton QB Dak Prescott RB Melvin Gordon,,Leonard Fournette,8.34%,34.4
31,853927242,mugoogio,0,172.34,DST Ravens  QB Aaron Rodgers WR Dez Bryant WR Torrey Smith WR T.Y. Hilton FLEX Kenny Stills RB Le'Veon Bell TE Cameron Brate RB Melvin Gordon,,Frank Gore,8.27%,11.6
32,851896057,draftwiz,0,172.26,DST Dolphins  WR Dez Bryant WR T.Y. Hilton RB Le'Veon Bell WR Jarvis Landry FLEX Austin Seferian-Jenkins RB Melvin Gordon QB Jameis Winston TE Evan Engram,,DeAndre Hopkins,8.01%,27.2
33,853768730,ARaven52,0,171.92,RB Jordan Howard DST Cardinals  QB Brian Hoyer WR Dez Bryant WR Antonio Brown WR T.Y. Hilton RB Melvin Gordon FLEX Todd Gurley II TE George Kittle,,Cardinals ,7.58%,2
34,854257888,Cannabliss27,0,171.86,WR Will Fuller V DST Vikings  FLEX T.Y. Hilton TE Cameron Brate RB James White WR Chris Hogan WR Mike Evans QB Jameis Winston RB Leonard Fournette,,DeVante Parker,7.47%,1.6
35,852280998,abzdel265,0,171.64,QB Deshaun Watson WR DeAndre Hopkins DST Bills  WR Danny Amendola TE Charles Clay WR Keenan Allen RB Melvin Gordon FLEX Duke Johnson Jr. RB Christian McCaffrey,,Brandin Cooks,7.40%,13.5
36,852640632,phillydilly,0,171.26,TE Travis Kelce DST Jaguars  WR Dez Bryant RB LeSean McCoy FLEX Rishard Matthews WR Chris Hogan WR Adam Humphries RB Melvin Gordon QB Jameis Winston,,Dwayne Allen,7.32%,0
37,853453207,miamifins03,0,171.16,DST Ravens  WR Larry Fitzgerald WR DeSean Jackson FLEX Dez Bryant WR T.Y. Hilton TE Austin Seferian-Jenkins QB Jameis Winston RB Leonard Fournette RB Christian McCaffrey,,Stefon Diggs,7.25%,1.4
37,851954527,brycerucks,0,171.16,FLEX Lamar Miller DST Dolphins  WR Danny Amendola WR Dez Bryant RB Le'Veon Bell WR Jarvis Landry TE Austin Seferian-Jenkins RB Melvin Gordon QB Jameis Winston,,LeGarrette Blount,6.89%,7.4
39,853558234,johnsonchristoph66,0,171.06,DST Eagles  WR Dez Bryant WR Jaron Brown WR T.Y. Hilton RB Le'Veon Bell TE Austin Seferian-Jenkins RB Melvin Gordon QB Jameis Winston FLEX Duke Johnson Jr.,,Adam Thielen,6.74%,9.5
40,852508556,Hammerbeck,0,170.92,DST Bills  QB Tom Brady WR Jaron Brown WR T.Y. Hilton RB Le'Veon Bell TE Cameron Brate WR Chris Hogan FLEX Austin Seferian-Jenkins RB Melvin Gordon,,Jets ,6.42%,8
41,852725220,SGeezy,0,169.94,QB Deshaun Watson DST Colts  WR Jordy Nelson WR T.Y. Hilton FLEX Cameron Brate TE Austin Seferian-Jenkins WR Mike Evans RB Duke Johnson Jr. RB Leonard Fournette,,Chiefs ,6.09%,10
42,853073185,p2thek,0,169.66,WR Will Fuller V WR Stefon Diggs DST Ravens  WR T.Y. Hilton RB Le'Veon Bell FLEX Cameron Brate TE Austin Seferian-Jenkins QB Jacoby Brissett RB Leonard Fournette,,Lions ,6.02%,3
43,852167554,PeroEagles,0,169.36,DST Bills  FLEX Pierre Garcon WR T.Y. Hilton TE Cameron Brate WR Jarvis Landry WR Mike Evans QB Jameis Winston RB Duke Johnson Jr. RB Leonard Fournette,,Lamar Miller,5.98%,10.9
44,853870813,Ted.Bradfield,0,168.66,FLEX Lamar Miller DST Jets  TE Delanie Walker WR Larry Fitzgerald WR DeSean Jackson WR Chris Hogan RB Melvin Gordon QB Jameis Winston RB Leonard Fournette,,Vikings ,5.77%,6
44,853871275,HarpSauce,0,168.66,FLEX Lamar Miller DST Jets  TE Delanie Walker WR Larry Fitzgerald WR DeSean Jackson WR Chris Hogan RB Melvin Gordon QB Jameis Winston RB Leonard Fournette,,Pierre Garcon,5.40%,17.4
46,851640735,dmonge,0,168.06,DST Cardinals  RB Doug Martin WR Dez Bryant WR T.Y. Hilton TE Cameron Brate WR Mike Evans QB Jameis Winston FLEX Aaron Jones RB Leonard Fournette,,Randall Cobb,5.37%,6.9
47,854060019,dhess0,0,167.94,DST Dolphins  FLEX Dez Bryant WR Torrey Smith WR Jaron Brown WR Randall Cobb RB Le'Veon Bell QB Dak Prescott TE Austin Seferian-Jenkins RB Melvin Gordon,,Charles Clay,4.89%,5.1
48,851828817,HardchargerWm,0,167.74,QB Deshaun Watson WR DeAndre Hopkins FLEX Travis Kelce DST Eagles  WR DeSean Jackson RB LeGarrette Blount TE Zach Ertz WR Devin Funchess RB Christian McCaffrey,,Latavius Murray,4.89%,6.3
49,851951511,dnelson22,0,167.44,DST Bills  WR Dez Bryant WR T.Y. Hilton WR Chris Hogan QB Dak Prescott TE Austin Seferian-Jenkins FLEX Adam Humphries RB Todd Gurley II RB Leonard Fournette,,Kareem Hunt,4.64%,17.6
50,852811948,crw400,0,167.06,DST Lions  WR Antonio Brown RB LeGarrette Blount WR T.Y. Hilton RB Mike Gillislee TE Cameron Brate WR Chris Hogan QB Jameis Winston FLEX Leonard Fournette,,Delanie Walker,4.64%,5.5
51,854301861,phahn31,0,166.86,TE Kyle Rudolph DST Ravens  WR Danny Amendola WR Dez Bryant FLEX T.Y. Hilton RB James White WR Mike Evans QB Jameis Winston RB Leonard Fournette,,DeMarco Murray,4.57%,9.9
51,853697547,Parkermjp2000,0,166.86,DST Ravens  FLEX Frank Gore WR Danny Amendola WR Randall Cobb WR T.Y. Hilton RB Le'Veon Bell TE Austin Seferian-Jenkins RB Melvin Gordon QB Jameis Winston,,Christian McCaffrey,4.53%,14.8
53,851723588,bryant00,0,166.66,RB Lamar Miller DST Eagles  WR Dez Bryant WR T.Y. Hilton TE Cameron Brate FLEX Jarvis Landry WR Mike Evans RB Melvin Gordon QB Jameis Winston,,Dolphins ,4.46%,20
54,852031817,lboogeylot,0,166.56,DST Ravens  WR DeSean Jackson FLEX Pierre Garcon WR T.Y. Hilton TE Cameron Brate RB James White WR Chris Hogan QB Jameis Winston RB Ezekiel Elliott,,Golden Tate,4.35%,9.8
55,852453728,Daut44,0,165.36,DST Dolphins  RB Le'Veon Bell RB James White WR Chris Hogan TE Austin Seferian-Jenkins WR Mike Evans WR Adam Humphries FLEX Melvin Gordon QB Jameis Winston,,Martellus Bennett,4.21%,8.3
55,853452836,bwells00,0,165.36,DST Dolphins  RB Le'Veon Bell RB James White WR Chris Hogan TE Austin Seferian-Jenkins WR Mike Evans WR Adam Humphries FLEX Melvin Gordon QB Jameis Winston,,Wayne Gallman,4.21%,13.2
57,853611464,RamsfanJD,0,165.34,WR DeAndre Hopkins DST Lions  QB Aaron Rodgers WR Danny Amendola WR T.Y. Hilton RB Carlos Hyde TE Cameron Brate RB Melvin Gordon FLEX JuJu Smith-Schuster,,Jordan Howard,4.17%,7.6
57,851731245,CynthiasPomeranian,0,165.34,QB Deshaun Watson WR Will Fuller V DST Bills  WR Jordy Nelson WR Danny Amendola TE Cameron Brate FLEX Duke Johnson Jr. RB Todd Gurley II RB Leonard Fournette,,Doug Martin,4.10%,15.2
59,852818596,jurob58,0,165.16,TE Zach Miller DST Ravens  WR DeSean Jackson RB Andre Ellington WR Randall Cobb RB Le'Veon Bell WR Chris Hogan FLEX Melvin Gordon QB Jameis Winston,,Aaron Rodgers,3.92%,24.04
60,851194656,jagfa18,0,165.04,QB Deshaun Watson WR Adam Thielen DST Titans  FLEX Danny Amendola RB Andre Ellington TE Zach Ertz WR Alshon Jeffery WR Chris Hogan RB Leonard Fournette,,Travis Kelce,3.84%,17.8
60,854411017,roxie91123,0,165.04,DST Ravens  TE Jason Witten QB Aaron Rodgers WR Antonio Brown FLEX A.J. Green WR Marvin Jones Jr. RB Javorius Allen RB Aaron Jones WR Geronimo Allison,,Ameer Abdullah,3.81%,4.4
62,854435115,bluedog707,0,164.76,DST Ravens  FLEX DeSean Jackson WR Dez Bryant RB James White WR Chris Hogan TE Austin Seferian-Jenkins WR Mike Evans RB Melvin Gordon QB Jameis Winston,,Zach Miller,3.77%,12.9
63,851825746,Bohica009,0,164.44,QB Deshaun Watson RB Lamar Miller WR DeAndre Hopkins WR Will Fuller V RB Kareem Hunt DST Vikings  TE Tyler Kroft FLEX Melvin Gordon WR Sterling Shepard,,Antonio Brown,3.73%,28.7
64,854029115,Suwho55,0,164.42,DST Ravens  QB Tom Brady WR Danny Amendola FLEX Doug Martin RB Le'Veon Bell TE Cameron Brate WR Chris Hogan WR Adam Humphries RB Melvin Gordon,,Raiders ,3.59%,0
